Reporting Period	ID RSSD	UBPR0416	UBPR3506	UBPR5369	UBPR8783	UBPRE582	UBPRE583	UBPRE588	UBPRE589	UBPRE590	UBPRE602	UBPRE621	UBPRE622	UBPRE623	UBPRE624	UBPRG378	UBPRM026	UBPRM027	UBPRM028	UBPRM029	UBPRM030	UBPRM031	UBPRM032	UBPRM033	UBPRM034	UBPRM035	UBPRM036	UBPRM037	UBPRM038	UBPRM039	UBPRM042	
		PLEDGED SECURITIES-BOOK VLAUE	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	LOANS AND LEASES HELD FOR SALE	FAIR VALUE OF STRUCTURED NOTES	INV_TEMP	ASET_INV_LNLS_LT1	SEC_DBT_NCUR	INV_TEMP_TA	SEC_MKTB_TA	LNLS_LTR_CR_TA	APP_HRSK_NTE_STRU	SEC_APP_DPR_BV_SEC	SEC_APP_ECAP	SEC_PLDG_TS	PLDG LN AND LEASE	PLEDGED ASSETS / PCT OF TOT ASSETS	US TREAS GOVT AGENCIES / PCT OF TOT 	MUNI SEC / PCT OF TOT SEC	PASS-THRU MBS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	CMRL MBS / PCT OF TOT SCTY	ABS / PCT OF TOT SCTY	STRUCT FIN PROD / PCT OF TOT SCTY	OTHR DOM DEBT SECS / PCT OF TOT SCTY	FOR DEBT SEC / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	APP IN AFS SEC / PCT OF AFS SEC	PLEDGED LN / PCT OF TOT LN	LN HELD FOR SALE / PCT OF TOT LN	SEC CATEGORIES, PCT TOT SEC	
3/31/2005 11:59:59 PM	37	2012	0	0	1921	4972	16730	0	6.23	0	54.29	-0.11	-0.54	-1.12	6.96			46.57	20.39	32.17	0		0		0.86	0	0			0	100	
3/31/2005 11:59:59 PM	242	2919	0	0	1262	3276	7808	0	11.37	0	66.15	-0.32		0	40.89			92.55	0	0.14	0		0		7.31	0	0	-1.46		0	100	
3/31/2005 11:59:59 PM	279	8	0	0	0	1081	6019	0	0.85	0	29.56	0	-0.66	-2.02	0.01			1.21	6.06	90.69	0		0		2.04	0	0	-1.05		0	100	
3/31/2005 11:59:59 PM	354	1909	0	0	0	334	1217	0	4.1	0	47.69	0		0	52.9			100	0	0	0		0		0	0	0	-1.96		0	100	
3/31/2005 11:59:59 PM	439	15747	0	0	1964	4556	51969	0	2.66	0	73.95	-0.2	4.33	0.76	62.48			44.12	18.58	35.33	1.97		0		0	0	0	-1.99		0	100	
3/31/2005 11:59:59 PM	457	777	0	0	0	1739	11049	0	6.45	0	82.43	0	0.17	0.1	44.63			58.59	37.85	3.56	0		0		0	0	0			0	100	
3/31/2005 11:59:59 PM	505	81617	0	0	0	9118	28148	0	3.03	0	58.9	0		0	83.13			30.86	11.64	51.91	5.59		0		0	0	0	-1.82		0	100	
3/31/2005 11:59:59 PM	1146	12007	0	34642	2935	9289	155607	0	2.19	0.22	77.96	-0.19	-0.79	-0.01	30.42			62.67	0.65	33.68	0.61		0		0	0	2.4	-2.13		10.39	100	
3/31/2005 11:59:59 PM	1155	29303	0	248	0	8674	41287	0	5.56	0	65.99	0	0.67	0.28	80.33			49.72	49.37	0.87	0.04		0		0	0	0	-1.09		0.24	100	
