Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2008 11:59:59 PM	37	0	105	25236	0	601	5914	44262	0	0	10	10	0	44272	43671	13112																													0	
3/31/2008 11:59:59 PM	242	0	0	33832	0	0	0	33832	0	0	60	60	0	33892	33892	0																													0	
3/31/2008 11:59:59 PM	279	0	654	34042	0	0	13796	66723	0	0	0	0	0	66723	66723	18885																													0	
3/31/2008 11:59:59 PM	354	0	0	2691	0	159	828	4309	0	0	0	0	0	4309	4151	791																													0	
3/31/2008 11:59:59 PM	457	0	96	23482	0	0	504	26159	0	0	2	2	0	26161	26162	2174																													0	
3/31/2008 11:59:59 PM	505	0	2294	119645	0	324	15323	207724	0	3273	10118	13391	0	221114	220791	72756																													0	
3/31/2008 11:59:59 PM	1155	0	2702	118415	0	0	9229	138208	0	0	3108	3108	0	141316	141316	10564																													0	
3/31/2008 11:59:59 PM	1351	0	815	58880	0	102	8289	79580	0	0	2730	2730	0	82310	82208	12411																													0	
3/31/2008 11:59:59 PM	1454	0	22492	152891	0	0	33533	224499	336	0	0	336	0	224835	224836	38076																													0	
3/31/2008 11:59:59 PM	1557	0	224	19019	0	79	3438	23704	0	0	561	561	0	24265	24186	1247																													0	
3/31/2008 11:59:59 PM	1632	0	2715	567102	0	0	13606	622226	400	0	53319	53719	0	675945	675945	41518																													0	
3/31/2008 11:59:59 PM	1669	0	6300	56635	0	428	28731	105382	0	0	24	24	0	105406	104979	20017																													0	
3/31/2008 11:59:59 PM	1829	0	7534	155364	0	1017	16438	229813	0	0	6159	6159	0	235972	234955	58011																													0	
3/31/2008 11:59:59 PM	1856	0	0	22711	0	0	37804	62639	0	0	5	5	0	62644	62644	2124																													0	
3/31/2008 11:59:59 PM	2040	0	805	125998	0	65	5619	156836	0	0	39	39	0	156875	156810	25219																													0	
3/31/2008 11:59:59 PM	2161	0	2051	32354	0	0	8576	56482	0	0	0	0	34	56482	56482	15552																													0	
3/31/2008 11:59:59 PM	2376	0	12059	748398	0	0	79643	943001	0	0	137	137	0	943138	943138	114960																													0	
3/31/2008 11:59:59 PM	2451	0	345	24015	0	0	742	29864	0	0	3723	3723	0	33587	33588	5108																													0	
3/31/2008 11:59:59 PM	2554	0	0	3704	0	0	706	4558	0	0	0	0	0	4558	4558	148																													0	
3/31/2008 11:59:59 PM	2732	0	9135	336044	0	0	12868	400970	0	0	5678	5678	0	406648	406648	52058																													0	
