Reporting Period	ID RSSD	UBPR0416	UBPR3506	UBPR5369	UBPR8783	UBPRE582	UBPRE583	UBPRE588	UBPRE589	UBPRE590	UBPRE602	UBPRE621	UBPRE622	UBPRE623	UBPRE624	UBPRG378	UBPRM026	UBPRM027	UBPRM028	UBPRM029	UBPRM030	UBPRM031	UBPRM032	UBPRM033	UBPRM034	UBPRM035	UBPRM036	UBPRM037	UBPRM038	UBPRM039	UBPRM042	
		PLEDGED SECURITIES-BOOK VLAUE	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	LOANS AND LEASES HELD FOR SALE	FAIR VALUE OF STRUCTURED NOTES	INV_TEMP	ASET_INV_LNLS_LT1	SEC_DBT_NCUR	INV_TEMP_TA	SEC_MKTB_TA	LNLS_LTR_CR_TA	APP_HRSK_NTE_STRU	SEC_APP_DPR_BV_SEC	SEC_APP_ECAP	SEC_PLDG_TS	PLDG LN AND LEASE	PLEDGED ASSETS / PCT OF TOT ASSETS	US TREAS GOVT AGENCIES / PCT OF TOT 	MUNI SEC / PCT OF TOT SEC	PASS-THRU MBS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	CMRL MBS / PCT OF TOT SCTY	ABS / PCT OF TOT SCTY	STRUCT FIN PROD / PCT OF TOT SCTY	OTHR DOM DEBT SECS / PCT OF TOT SCTY	FOR DEBT SEC / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	APP IN AFS SEC / PCT OF AFS SEC	PLEDGED LN / PCT OF TOT LN	LN HELD FOR SALE / PCT OF TOT LN	SEC CATEGORIES, PCT TOT SEC	
3/31/2016 11:59:59 PM	37	22001	0	0	2797	4752	13780	0	5.48	0	31.76	0.01		0	42.84	0	25.38	13.45	70.34	16.21	0	0	0	0	0	0	0	2.58	0	0	100	
3/31/2016 11:59:59 PM	242	3515	0	0	493	4319	18242	0	10.58	0.01	60.26	-0.14		0	33.42	8330	29	36.7	59.34	0	0	0	0	0	3.92	0	0.05	1.82	33.64	0	100	
3/31/2016 11:59:59 PM	279	647	0	0	0	8256	20045	0	4.2	0	74.48	0	2.92	2.62	2.41	22196	11.62	0	51.19	48.81	0	0	0	0	0	0	0	5.44	15.06	0	100	
3/31/2016 11:59:59 PM	354	3130	0	0	0	353	1562	0	3.71	0	35.74	0		0	58.09	0	32.92	69.43	9.54	21.03	0	0	0	0	0	0	0	4.8	0	0	100	
3/31/2016 11:59:59 PM	457	102	0	0	0	3449	18470	0	7.69	0.01	87.62	0	6.83	0.23	28.02	19369	43.41	0	98.9	0.27	0	0	0	0	0	0	0.82	0.47	48.77	0	100	
3/31/2016 11:59:59 PM	505	76585	0	0	0	44391	67071	0	10.1	0	67.49	0		0	95.55	132193	47.51	12.77	35.15	43.68	0.72	0	0	0	7.68	0	0	1.82	44.34	0	100	
3/31/2016 11:59:59 PM	1155	25243	0	182	0	28476	75669	0	13.23	0	66.99	0	2.38	0.01	85.15	78095	48.03	61.32	38.54	0.14	0	0	0	0	0	0	0	1.03	53.42	0.12	100	
3/31/2016 11:59:59 PM	1351	21092	0	0	19113	10892	68515	0	7.03	0	52.53	-1.62	-1.06	-2.55	35.48	0	13.62	42.86	53.65	2.59	0.9	0	0	0	0	0	0	0.32	0	0	100	
3/31/2016 11:59:59 PM	1454	40416	0	1352	74635	304239	324689	0	32.46	0	31.23	-0.01		0	11.05	0	4.31	69.04	30.88	0.04	0.03	0	0	0	0	0	0.01	0.87	0	0.53	100	
3/31/2016 11:59:59 PM	1557	5336	0	0	0	5928	23184	0	7.54	0	70.19	0		0	45	15140	26.06	16.65	21.53	23.65	31.69	6.48	0	0	0	0	0	0.6	27.16	0	100	
3/31/2016 11:59:59 PM	1669	40687	0	0	0	45552	54414	0	17.04	0	35.26	0	2.42	2.6	32.06	0	15.22	75.21	24.25	0.55	0	0	0	0	0	0	0	0.56	0	0	100	
3/31/2016 11:59:59 PM	1829	21446	0	0	998	5241	24054	0	1.23	0.49	67.42	-0.01		0	20.12	80064	23.85	9.38	33.09	51.33	0	0	0	0	4.24	0	1.95	2.35	27.62	0	100	
3/31/2016 11:59:59 PM	1856	38633	0	0	0	44632	54589	0	32.66	0	28.59	0	0	0	77.84	6163	32.78	0	0	0	89.93	0	0	0	10.07	0	0	0.19	15.39	0	100	
3/31/2016 11:59:59 PM	2040	30310	0	0	0	5472	41004	0	2.77	0.01	62.56	0		0	53.48	26378	28.74	19.09	57.05	11.32	9.89	0	0	1.76	0.87	0	0.03	1.39	20.84	0	100	
3/31/2016 11:59:59 PM	2161	2622	0	0	0	23047	49310	0	16.62	0	57.66	0		0	11.61	0	1.89	0	68.52	31.48	0	0	0	0	0	0	0	2.86	0	0	100	
3/31/2016 11:59:59 PM	2376	236046	0	0	0	2023	53395	0	0.06	0	83.7	0	1.01	0.35	64.36	2428130	74.15	0	0	35.93	57.72	6.35	0	0	0	0	0	1.1	79.95	0	100	
3/31/2016 11:59:59 PM	2554	163	0	0	512	3098	4127	0	23.49	0	44.3	-1.11	0	0	4.57	129	2.21	0	72.23	0	0	0	0	0	27.77	0	0	-1.83	2.17	0	100	
3/31/2016 11:59:59 PM	2732	36466	0	0	0	79864	112474	0	14.15	0	63.48	0		0	28.66	0	6.46	51.96	47.06	0	0	0	0	0	0.55	0.43	0	0.6	0	0	100	
3/31/2016 11:59:59 PM	2750	9104	0	0	0	4720	27096	0	8.08	6.7	68.97	0		0	83.26	15056	41.38	7.56	42.29	14.38	0	0	0	0	0	0	35.77	-0.18	36.8	0	100	
3/31/2016 11:59:59 PM	3177	103989	0	0	0	90118	124833	0	8.59	0	75.74	0	4.62	0.03	97.7	418284	49.76	0.03	0.35	11.81	0	82.37	0	0	5.4	0	0.04	-0.69	52.55	0	100	
3/31/2016 11:59:59 PM	3252	76467	0	0	138	1473	1473	0	0.8	0	51.76	0		0	93.77	30681	58.24	1.1	21.03	33.16	36.65	7.83	0.06	0.17	0	0	0	0.94	31.47	0	100	
3/31/2016 11:59:59 PM	3458	11347	0	0	0	2884	6847	0	6.47	0	59.89	0	2.2	1.47	87.7	0	25.45	51.92	21.01	25.38	0	0	0	0	1.69	0	0	0.78	0	0	100	
3/31/2016 11:59:59 PM	3720	31660	0	0	750	43793	77987	0	17.44	0	55.77	0	2.78	0.01	60.93	40666	28.81	65.53	13.46	21.01	0	0	0	0	0	0	0	0.84	28.76	0	100	
3/31/2016 11:59:59 PM	3971	10541	0	6763	14511	56127	126995	0	7.34	0.13	75.44	0.04		0	13.49	117763	16.77	31.69	0	31.52	16.57	0	0	0	18.9	0	1.31	1.15	20.11	1.15	100	
3/31/2016 11:59:59 PM	4156	23750	0	144	0	11633	50804	0	5.58	0	73.57	0		0	76.79	56877	38.7	46.99	53.01	0	0	0	0	0	0	0	0	0.43	36.75	0.09	100	
3/31/2016 11:59:59 PM	4231	20970	0	0	4985	9079	25048	0	7.81	0	41.09	-0.08		0	38.11	0	18.03	9.06	34.6	56.2	0.14	0	0	0	0	0	0	0.2	0	0	100	
3/31/2016 11:59:59 PM	4839	25144	0	1020	0	8305	40396	0	2.52	0	69.82	0		0	33.63	63476	26.92	11.86	43	23.56	11.03	0.88	7.18	0	2.48	0	0	0.29	27.12	0.44	100	
3/31/2016 11:59:59 PM	5069	0	0	0	0	79334	276899	0	18.99	1.26	67.53	0		0	0	103232	24.72	0	46.11	0	0	0	0	0	39.46	0	14.44	9.7	35.38	0	100	
3/31/2016 11:59:59 PM	5135	33140	0	0	17152	75049	263191	0	16.9	0	73.05	0.04		0	93.07	41297	16.76	86.65	13.35	0	0	0	0	0	0	0	0	0.6	12.64	0	100	
3/31/2016 11:59:59 PM	5210	115976	0	859	0	15085	56066	0	1.32	0.09	75.29	0	1.25	0.9	61.57	488375	53.02	40.21	13.44	41.88	0.22	0	0	0	3.68	0	0.57	2.38	56.27	0.1	100	
3/31/2016 11:59:59 PM	5461	29268	0	0	2001	30294	101989	0	5.54	0	59.02	0		0	17.84	177890	37.87	36.1	42.24	18.01	0	0	0	0	3.64	0	0	1.16	54.38	0	100	
3/31/2016 11:59:59 PM	5751	23735	0	0	0	5428	36302	0	2.8	0	68.4	0		0	54.19	22199	23.73	0	75.45	13.49	5.26	5.81	0	0	0	0	0	4.07	16.66	0	100	
3/31/2016 11:59:59 PM	6039	10402	0	0	0	12792	26958	0	14.67	0.01	61.04	0		0	83.83	0	11.93	97.7	2.24	0	0	0	0	0	0	0	0.06	0.41	0	0	100	
3/31/2016 11:59:59 PM	6141	15647	0	0	5272	5986	8158	0	9.63	0	27.47	-0.05	1.59	6.38	67.24	0	25.17	41.52	56.97	1.52	0	0	0	0	0	0	0		0	0	100	
3/31/2016 11:59:59 PM	6329	22896	0	549	2003	36048	129987	0	6.68	0	81.98	0.01		0	70.29	0	4.24	80	20	0	0	0	0	0	0	0	0	0.54	0	0.12	100	
3/31/2016 11:59:59 PM	7009	554471	0	0	0	536851	762419	0	66.26	1.29	28.63	0		0	97.99	0	68.43	87.39	10.76	0	0	0	0	0	0	0	1.85	0.21	0	0	100	
3/31/2016 11:59:59 PM	7045	0	0	0	0	9298	18120	0	4.73	0	40.93	0		0	0	0	0	1.51	36.85	61.63	0	0	0	0	0	0	0	1.17	0	0	100	
3/31/2016 11:59:59 PM	7072	2537	0	0	0	1309	10369	0	0.7	0	82.85	0	0	0	22.62	74151	40.88	0	15.16	44.95	13.81	0.02	0	0	26.06	0	0	0.04	47.71	0	100	
3/31/2016 11:59:59 PM	7157	2242	0	0	0	7901	16302	0	17.55	0	53.44	0	0	0	12.12	0	4.98	62.34	37.65	0	0.01	0	0	0	0	0	0	0.32	0	0	100	
3/31/2016 11:59:59 PM	7456	13667	0	0	642	10188	36275	0	12	0	64.94	0		0	84.21	0	16.1	3.96	92.43	3.61	0	0	0	0	0	0	0	1.58	0	0	100	
3/31/2016 11:59:59 PM	7634	4389	0	0	0	7331	18015	0	11.25	0	67.66	0	0	0	37.07	1349	8.8	2.16	39.1	53.62	5.12	0	0	0	0	0	0	1.37	3	0	100	
3/31/2016 11:59:59 PM	8033	3008	0	0	0	19717	77610	0	9.25	0	84.08	0		0	56.48	13100	7.55	53.36	46.64	0	0	0	0	0	0	0	0	0.66	7.29	0	100	
3/31/2016 11:59:59 PM	8462	25074	0	168	0	16593	26547	0	9.18	0	28.99	0		0	25.08	0	13.87	45.38	14.79	39.82	0	0	0	0	0	0	0	0.99	0	0.32	100	
3/31/2016 11:59:59 PM	8631	1196	0	0	500	14470	19126	0	21.89	0	47.8	0		0	8.67	0	1.81	97.64	2.36	0	0	0	0	0	0	0	0	-0.2	0	0	100	
3/31/2016 11:59:59 PM	9357	57623	0	95787	4998	38783	283135	0	7.96	0.21	73.5	0		0	91.96	227040	58.44	56.8	0	17.79	13.15	10.65	0	0	0	0	1.61	0.5	63.24	26.68	100	
3/31/2016 11:59:59 PM	9553	42359	0	0	0	9194	50982	0	5.58	3.46	57.82	0	3.01	6.89	76.19	33158	45.8	0.95	55.03	32.27	1.49	0	0	0	0	0	10.26	-0.64	34.47	0	100	
3/31/2016 11:59:59 PM	9807	232943	0	0	0	96985	503819	0	4.24	0	75.73	0	5.39	6.08	61.67	577282	35.42	14.59	58.19	3.53	1.08	2.94	0	15.38	4.29	0	0	3.09	33.37	0	100	
3/31/2016 11:59:59 PM	9955	21402	0	0	497	22571	53583	0	16.15	0	56.2	-0.02		0	57.84	20772	30.17	24.1	75.9	0	0	0	0	0	0	0	0	0.77	25.94	0	100	
3/31/2016 11:59:59 PM	10250	18213	0	0	0	18256	68415	0	4.87	0	64.08	0		0	19.45	130026	39.53	21.76	15.24	63.01	0	0	0	0	0	0	0	1.37	53.7	0	100	
3/31/2016 11:59:59 PM	10849	36060	0	0	0	25734	41257	0	9.79	0	45.93	0	1.12	1.47	36.31	0	13.72	35.96	9.95	39.61	13.37	0	0	0.09	1.01	0	0	-0.31	0	0	100	
3/31/2016 11:59:59 PM	11145	2632	0	0	594	18846	33465	0	8.6	0	75.92	-0.03		0	13.14	12793	7.04	21.9	62.96	3.76	11.38	0	0	0	0	0	0	1.53	7.61	0	100	
3/31/2016 11:59:59 PM	11275	47518	0	170559	9995	77894	317806	0	4.75	0	84.52	0	0.11	0.05	64.03	845956	54.49	60.94	35.63	3.42	0	0	0	0	0	0	0	-0.06	60.67	12.23	100	
3/31/2016 11:59:59 PM	11640	40682	0	0	9781	40413	125758	364	11.18	0	56.44	0.06		0	43.9	90486	36.27	24.41	47.51	3.61	0	24.47	0	0	0	0	0	1.26	43.95	0	100	
3/31/2016 11:59:59 PM	11837	39931	0	0	0	4584	18151	0	4.36	0	40.86	0		0	75.54	2713	40.58	72.58	4.79	19.38	0	0	0	0	3.25	0	0	0.43	6.19	0	100	
3/31/2016 11:59:59 PM	12030	16155	0	0	0	26044	76929	0	7.62	0	74.97	0	3.85	0.23	86.12	0	4.73	87.37	12.63	0	0	0	0	0	0	0	0	0.97	0	0	100	
3/31/2016 11:59:59 PM	12142	15415	0	0	3996	21386	55333	0	9.39	0	49.32	-0.01	0.84	0.02	20.54	0	6.77	25.33	35.52	38.16	0.98	0	0	0	0	0	0	1.49	0	0	100	
3/31/2016 11:59:59 PM	12179	0	0	0	0	2502	3811	0	6.55	0.03	77.49	0	0	0	0	18504	48.44	91.03	0	5.59	2.12	0	0	0	0	0	1.25	0.51	62.02	0	100	
3/31/2016 11:59:59 PM	12311	2912373	0	567663	0	607746	14492483	0	0.84	0.01	71.75	0	1.59	1.59	19.53	18018336	28.88	4.77	17.7	2.8	43.53	22.15	4.75	0.63	3.57	0.03	0.07	0.9	34.6	1.09	100	
3/31/2016 11:59:59 PM	12647	290	0	154	0	8204	32217	0	9.2	0	66.32	0	0.46	0.82	1.67	0	0.33	2.16	92.98	1.4	3.45	0	0	0	0	0	0		0	0.26	100	
3/31/2016 11:59:59 PM	12656	400	0	0	0	3749	5469	0	22.63	0	61.96	0	0.44	0.36	29.46	0	2.41	52.28	47.72	0	0	0	0	0	0	0	0		0	0	100	
3/31/2016 11:59:59 PM	12937	0	0	0	0	28868	55007	0	14.72	0	78.23	0		0		78436	39.98												50.69	0		
3/31/2016 11:59:59 PM	12946	145179	0	3260	9284	2493	279599	54	0.2	0.22	78.74	0		0	83.52	465187	48.28	8.37	57.74	24.93	5.34	0	0	1.9	0.1	0	1.61	1.52	46.12	0.32	100	
