Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2016 11:59:59 PM	37	27.88	5.46	8.6	64.05	13.57	32.45	19.03	0	0	3.22	0	3.22	59.23	0	0.66	0	0	69.99	2.07	67.92	81.47	17.22	64.25	41.05	58.65	28.94	12.82	0	12.82	
3/31/2016 11:59:59 PM	242	20.4	0.27	2.27	65.95	0.19	11.78	0.46	0	0	1.22	0	1.22	25.75	0	7.54	0	0	39.81	5.01	34.79	51.46	15.5	35.96	51.74	129.96	-11.93	9.76	0	9.76	
3/31/2016 11:59:59 PM	279	61.26	28.72	30.29	27.29	0.92	16.76	29.64	0	0	0	0.01	0.01	1.27	12.4	3	0.37	2.63	79.35	7.55	71.8	82.19	25.56	56.63	36.51	46.01	42.84	0	0.1	0.1	
3/31/2016 11:59:59 PM	354	17.54	1.48	14.55	75.75	0	29.09	1.48	0	0	0	0	0	56.67	0	1.54	0	0	61.53	0	61.53	69.82	0	69.82	67.66	109.95	-6.12	0	0	0	
3/31/2016 11:59:59 PM	457	20.3	0.01	1.09	67.79	1.58	2.43	1.59	0	0	0	0	0	0.48	0.33	13.74	0.02	0.23	22.32	6.95	15.37	52.84	11.88	40.96	58.78	263.36	-36.46	0	0	0	
3/31/2016 11:59:59 PM	505	38.02	18	16.19	46.95	1.5	12.5	19.5	0.13	0.13	0	0.02	0.02	18.24	0	28.87	0	0	57.11	0.26	56.85	67.6	1.38	66.23	81.37	142.49	-24.26	0	0.25	0.25	
3/31/2016 11:59:59 PM	1155	12.35	0.25	0.96	68.95	0.12	9.98	0.36	0	0	0	0	0	13.76	0.02	17.28	0	0.01	39.63	1.39	38.24	56.34	5.97	50.37	59.48	150.07	-19.84	0	0	0	
3/31/2016 11:59:59 PM	1351	13.27	0.29	1.12	75.72	0.16	24.4	0.45	0.34	0	12.58	0	12.58	2.24	36.16	3.19	-0.38	-2.56	39.58	0	39.58	49.32	11.14	38.17	37.74	95.37	1.83	84.82	0	84.82	
3/31/2016 11:59:59 PM	1454	10.05	2.86	6.29	56.25	4.09	23.3	6.95	0.01	0	7.96	0	7.96	39.01	0	8.92	0	0	46.51	1.23	45.28	59.14	2.72	56.41	80.41	172.87	-33.9	98.06	0	98.06	
3/31/2016 11:59:59 PM	1557	13.42	0.35	11.21	67.83	7.87	14.92	8.22	4.78	4.24	0	0	0	15.09	0	10.02	0	0	52.6	3.96	48.64	58.7	6.73	51.97	54.74	104.05	-2.13	0	0	0	
3/31/2016 11:59:59 PM	1669	20.12	8.68	10.55	63.58	1.27	12.53	9.95	0	0	0	0	0	29.65	17.82	1.75	0.44	2.62	53.91	1.58	52.33	72.23	4.67	67.56	63.77	118.3	-9.86	0	0	0	
3/31/2016 11:59:59 PM	1829	39.24	17.36	17.37	52.79	6.34	23.04	23.7	0	0	0.23	0.07	0.3	25.04	0	24.96	0	0	74.7	4.78	69.92	83.92	8.12	75.81	57.87	77.46	16.84	2.58	0.75	3.33	
3/31/2016 11:59:59 PM	1856	3.14	0.07	0.44	29.82	0	4.77	0.07	32.66	4.34	0	0	0	32.66	3.66	3.29	0	0	15.16	2.71	12.45	58.17	34.31	23.86	17.78	117.27	-2.62	0	0	0	
3/31/2016 11:59:59 PM	2040	13.38	1.34	3.24	75.25	7.14	13.23	8.48	2.84	2.06	0	0	0	28.73	0	6.07	0	0	51.91	7.44	44.47	71.27	17.37	53.9	53.28	102.65	-1.38	0	0	0	
3/31/2016 11:59:59 PM	2161	31.99	1.02	11.08	42.45	0.09	12.34	1.11	0	0	0	0	0	16.28	0	4.85	0	0	42.58	0.78	41.8	55.34	3.25	52.1	69.14	162.36	-26.56	0	0	0	
3/31/2016 11:59:59 PM	2376	9.46	3.71	4.47	79.1	5.43	62.83	9.14	5.89	4.68	0	0	0	5.98	4.23	1.94	0.04	0.34	87.06	11.5	75.56	92.52	22.12	70.4	36.57	42	50.49	0	0	0	
3/31/2016 11:59:59 PM	2554	1.09	0	0.11	70.26	1.9	9.87	1.9	0	0	3.98	0	3.98	25.16	1.9	8.67	0	0	21.97	0.09	21.87	36.86	4.34	32.52	64.66	294.37	-42.69	44.99	0	44.99	
3/31/2016 11:59:59 PM	2732	3.98	0	0.06	81.96	0	0.77	0	0	0	0	0	0	22.54	0	14.64	0	0	26.34	0.42	25.92	53.96	2.09	51.87	63.44	240.86	-37.1	0	0	0	
3/31/2016 11:59:59 PM	2750	8.21	0.15	0	73.89	2.83	7.43	2.98	0	0	0	0	0	18.73	0	26.72	0	0	21.24	0.89	20.35	40.76	6.37	34.38	53.17	250.33	-31.93	0	0	0	
3/31/2016 11:59:59 PM	3177	61.63	45.88	13.1	15.55	5.46	2.53	51.34	8.35	4.43	0	0	0	10.09	0.06	5.54	0	0.03	73.05	7.12	65.92	79.22	13.31	65.91	61.35	83.99	11.7	0	0	0	
3/31/2016 11:59:59 PM	3252	14.98	0.43	10.16	62.48	0.25	4.97	0.68	17.18	3.3	0.08	0	0.08	44.33	0	5.91	0	0	28.29	2.22	26.08	51.89	7.85	44.04	58.58	207.04	-30.28	0.58	0	0.58	
3/31/2016 11:59:59 PM	3458	18.73	4.3	3.51	70.82	0.69	5.79	4.99	0	0	0	0	0	22.92	6.1	2.91	0.14	1.48	53.13	2.06	51.07	77.91	11.67	66.24	41.19	77.53	11.94	0	0	0	
3/31/2016 11:59:59 PM	3720	16.02	0.35	5.33	60.88	0.44	5.78	0.8	0	0	0.3	0	0.3	20.64	0.06	8.47	0	0.01	41.77	0.33	41.44	61.61	2.25	59.36	61.53	147.31	-19.76	2.22	0	2.22	
3/31/2016 11:59:59 PM	3971	18.2	5.56	4.08	65.21	0.58	17.43	6.14	1.69	1.26	1.89	0.01	1.9	10.21	0	16.58	0	0	48.16	6.99	41.18	63.54	17.39	46.15	53.46	111.01	-5.3	14.48	0.04	14.52	
3/31/2016 11:59:59 PM	4156	18.91	6.12	9.44	70.11	3.24	20.58	9.36	0	0	0	0	0	14.85	0	11.58	0	0	50.25	3.55	46.7	65.7	8.67	57.02	59.05	117.52	-8.8	0	0	0	
3/31/2016 11:59:59 PM	4231	33.84	14.85	12.27	53.5	13.55	7.4	28.41	0.07	0	4.3	0	4.3	47.32	0	1.88	0	0	55.16	7.1	48.06	73.53	14.09	59.44	49.2	89.19	5.96	32.25	0	32.25	
3/31/2016 11:59:59 PM	4839	14.04	4.09	1.66	75.59	3.32	8.72	7.41	2.5	1.43	0	0	0	22.71	0	11.26	0	0	43.91	7.28	36.63	66.73	17.12	49.61	41.9	95.42	2.01	0	0	0	
3/31/2016 11:59:59 PM	5069	8.99	0	0	63.54	3.01	1.56	3.01	0	0	0	0	0	8.71	0	8.69	0	0	7.51	2.06	5.45	19.5	7.44	12.07	21.99	292.74	-14.48	0	0	0	
3/31/2016 11:59:59 PM	5135	11.37	0.01	0.39	69.9	2.47	4.76	2.49	0	0	3.86	0	3.86	8.02	0	15.33	0	0	16.77	0.36	16.41	36.01	4.03	31.98	42.36	252.65	-25.59	30.03	0	30.03	
3/31/2016 11:59:59 PM	5210	34.84	11.85	13.86	57.34	2.78	14.38	14.62	0.04	0.04	0	0	0	10.41	6.11	18.74	0.08	0.87	59.65	2.24	57.41	73.82	12.55	61.26	59.15	99.15	0.51	0	0	0	
3/31/2016 11:59:59 PM	5461	11.47	4.14	3.9	77.61	5.36	23.35	9.51	0	0	0.37	0	0.37	29.99	0	11.27	0	0	55.27	0.14	55.13	73.33	0.37	72.95	83.39	150.87	-28.12	3.91	0	3.91	
3/31/2016 11:59:59 PM	5751	13.99	7.81	4.51	74.92	14.82	29.45	22.63	2.5	1.31	0	0	0	22.63	0	10.45	0	0	67.75	3.48	64.26	73.58	10.25	63.34	57.46	84.82	10.28	0	0	0	
3/31/2016 11:59:59 PM	6039	6.96	0	2.94	68.73	1	11.14	1	0	0	0	0	0	14.23	0	9.85	0	0	31.21	0.07	31.14	53.7	1.29	52.41	56.75	181.82	-25.54	0	0	0	
3/31/2016 11:59:59 PM	6141	6.19	0.32	4.12	58.25	8.85	29.64	9.17	0	0	8.49	0	8.49	0	37.43	1.8	0.6	6.38	53.55	0.09	53.46	60.87	1.18	59.69	72.22	134.87	-18.67	89.57	0	89.57	
3/31/2016 11:59:59 PM	6329	16.75	0.21	0.31	70.83	0.33	11.4	0.55	0	0	0.37	0	0.37	6.03	0	8.68	0	0	43.23	0.92	42.31	65.32	6.92	58.4	50.93	117.79	-7.69	4.03	0	4.03	
