Reporting Period	ID RSSD	UBPR7414	UBPRE497	UBPRE498	UBPRE499	UBPRE500	UBPRE501	UBPRE502	UBPRE503	UBPRE504	UBPRE521	UBPRE522	UBPRE523	UBPRE524	UBPRE529	UBPRE530	UBPRE531	UBPRE532	UBPRE533	UBPRE534	UBPRE535	UBPRE536	UBPRE537	UBPRE538	UBPRE539	UBPRE540	UBPRE541	UBPRE542	UBPRE544	UBPRE545	UBPRE546	UBPRE547	UBPRE549	UBPRE550	UBPRE551	UBPRE552	UBPRF896	UBPRFC07	UBPRFC08	UBPRFC09	UBPRFC10	UBPRFC11	UBPRFC12	UBPRFC13	UBPRFC14	UBPRFC15	UBPRFC16	UBPRFC17	UBPRFC18	UBPRFC19	UBPRFC20	UBPRFC21	UBPRFC22	UBPRK264	UBPRK265	UBPRK266	
		NONCURRENT ASSETS AS PERCENT OF TOTL	LN_CMID_TOT_DOM	LN_CMID_NACCR_DOM	LN_CMID_NCUR_TOT	LN_CMID_30_89_TOT	LN_INV_PD_90_TOT	LN_INV_NACCR_TOT	LN_INV_NCUR_TOT	LN_INV_30_90_TOT	LN_CRCD_PD_90	LN_NACCR_CRCD	LN_NCUR_CRCD	LN_CRCD_PD_30_89	LS_PD_90_TOT_LS	LS_FIN_RCV_TOT_LS	LS_FIN_RCV_NCUR_LS	LS_FIN_RCV_PD_3089	LN_AG_PD_90_TOT	LN_NACCR_AG_N34S	LN_NCUR_AG_NPD_30	LN_AG_PD_30_90_TOT	LNLS_OTH_PD_90	LNLS_OTH_NACCR_TOT	LNLS_PD_90_NCUR	LNLS_OTH_PD_30_89	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	LNLS_TOT_PD_30_89	LNLS_NCUR_ALWNC	LNLS_NCUR_EQCAP	LNLS_TOT_PD_NACCR	LNLS_NPRF_LNLS_ORE	LNLS_NCUR_NACCR	LNLS_TOT_NCUR	LN_RESTR_TOT_TOTLN	LN_1T4_FORCL_TOT14	FIN INST LN 90+ PD RTO	FIN INST LN NACCR RTO	FIN INST LN TAL DLNQT RTO	FIN INST LN 30-89 PD RTO	AUTO LN 90+ PD RTO	AUTO LN NACCR RTO	AUTO LN TAL DLNQT RTO	AUTO LN 30-89 PD RTO	LS IND 90+ RTO	LS IND NACCR RTO	LS IND TAL DLNQT RTO	LS IND 30-89 RTO	OTHR LS 90+ RTO	OTHR LS NACCR RTO	OTHR LS TAL DLNQT RTO	OTHR LS 30-89 RTO	GTY LN LS PD 90MOR PCT TOT LN LS 90M	:GTY LN LS NONACR PCT TOT LN LS NONA	GTY LN LS PD 30-89 PCT TOT LN LS 30-	
3/31/2016 11:59:59 PM	656032	0.27	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0.27	0	13.22	1.01	0.27	1.24	0	3.75	3.75	0.07					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	656247	0.7	0.65	0	0.65	15.12	0	1.54	1.54	0.77									0	0.37	0.37	0.45	8.14	0	8.14	0	0.09	0.6	2.14	58.62	2.47	2.83	0.76	0	0	0	0					0	2.82	2.82	1.41									0	0	0	
3/31/2016 11:59:59 PM	656359	1.76	0	0	0	0	0.04	0	0.04	0.07					0	0	0	0	0	0	0	0	0	0	0	0.32	0.08	1.68	0.18	115.43	11.64	1.94	1.76	0.88	3.58	2.7	0					0	0	0	0.07									0	0	0	
3/31/2016 11:59:59 PM	656377	0.72	0	0.23	0.23	0.17	0	0.2	0.2	0.61					0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0.38	63.63	3.58	1.1	1.12	0.22	1.23	1.01	0.18					0	0	0	0					0	0	0	0		0.64	0.09	
3/31/2016 11:59:59 PM	656470	0.38	0	0.59	0.59	0.77	0.06	0.05	0.11	0.89	0.33	0	0.33	2.27					0	0	0	0	0	0	0	5.07	0.01	0.38	0.43	22.25	1.79	0.81	0.58	0.13	0.39	0.26	0.42					0	0.05	0.05	0.8									0	0.2	26.1	
3/31/2016 11:59:59 PM	656658	0	0	0	0	0	0	0	0	5.89									0	0	0	0	0	0	0	6.67	0	0	0.2	0	0	0.2	0.83	0	0	0	0					0	0	0	9.46											0	
3/31/2016 11:59:59 PM	656733	1.63	0.04	0.49	0.53	0.4	0.01	0.41	0.42	0.4	0.26	0	0.26	0.92	0.03	0.09	0.12	0.66					0	1.06	1.06	0.26	0.71	0.93	0.37	128.78	7.92	2.01	1.99	0.23	0.48	0.26	1.09	0	0	0	0	0	0	0	0					0.03	0.09	0.12	0.66	3.61	0	0.47	
3/31/2016 11:59:59 PM	656779	1.76	0	0	0	0	0	0	0	0																	0	1.76	1.19	235.55	9.75	2.96	2.34	0.47	1.64	1.17	0.76																		0	0	
3/31/2016 11:59:59 PM	657178	1.99					0	51.09	51.09	1.46													0	0	0	0	0	1.99	0.03	160.07	7.35	2.02	1.99	0	0.76	0.76	0																		0	0	
3/31/2016 11:59:59 PM	657271	0.06	0	0	0	0.11	0.01	0.04	0.06	0.21													0	0	0	21.2	0.03	0.03	0.26	10.7	0.48	0.32	0.13	0	0.01	0.01	0.05					0.02	0.04	0.06	0.18									0	0	15.89	
