Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2011 11:59:59 PM	3953	0	0	9767	0	1293	4383	95143	0	1293	1475	0	0	2237	8474	0	8474	9767	0	102887	0	0	585	585	0	103472	0	101997	0	0	5507	
3/31/2011 11:59:59 PM	4156	0	0	19144	0	1684	4032	100250	0	1684	382	0	0	7793	19243	1783	17460	19144	0	130735	0	0	4003	4003	0	134738	0	134356	0	0	22692	
3/31/2011 11:59:59 PM	4231	0	0	15320	0	787	0	69428	0	787	0	0	0	6408	14533	0	14533	15320	0	89904	0	0	478	478	0	90382	0	90383	0	0	14069	
3/31/2011 11:59:59 PM	4437	0	0	27167	0	2069	18848	112407	0	2069	1154	0	0	14079	25098	0	25098	27167	0	157909	0	2	7627	7629	0	165538	0	164384	0	0	31423	
3/31/2011 11:59:59 PM	4839	0	0	33654	0	3235	15358	230478	0	3235	1231	0	0	8251	30419	0	30419	33654	0	253534	0	0	5268	5268	0	258802	0	257572	0	0	14806	
3/31/2011 11:59:59 PM	5005	122	0	16587	0	1832	49087	150507	4932	1954	0	0	0	8682	22867	3302	14633	16587	0	219852	0	0	39	39	0	219891	0	219891	0	0	60663	
3/31/2011 11:59:59 PM	5069	88	0	135686	0	5473	53771	421554	0	5561	15195	0	0	410	130125	0	130125	135686	0	437725	0	0	158	158	0	437883	0	422689	0	0	15762	
3/31/2011 11:59:59 PM	5135	0	0	39563	0	2972	40922	199050	0	2972	553	0	0	5296	37633	1042	36591	39563	0	231828	0	0	5942	5942	0	237770	0	237217	0	0	27482	
3/31/2011 11:59:59 PM	5210	0	0	88952	0	8266	36246	478426	0	8266	6134	0	0	32384	80686	0	80686	88952	0	658565	0	0	2742	2742	0	661307	0	655173	0	0	147755	
3/31/2011 11:59:59 PM	5331	0	0	38555	0	1936	4286	168780	0	1936	0	0	0	41838	36619	0	36619	38555	0	227556	2	2552	4659	7213	0	234768	0	234768	0	0	16938	
