Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2011 11:59:59 PM	37	12312	17582	570		17012	570																																	
3/31/2011 11:59:59 PM	242	4020	4431	171		4260	171																																	
3/31/2011 11:59:59 PM	279	22985	23426	444		22982	444																																	
3/31/2011 11:59:59 PM	354	462	971	63		908	63																																	
3/31/2011 11:59:59 PM	457	895	3797	402		3395	402																																	
3/31/2011 11:59:59 PM	505	13697	32475	2734		29741	2734																																	
3/31/2011 11:59:59 PM	1155	11073	19532	1959		17573	1959																																	
3/31/2011 11:59:59 PM	1351	20131	22086	1186		20900	1186																																	
3/31/2011 11:59:59 PM	1454	46184	51426	3025		48398	3028																																	
3/31/2011 11:59:59 PM	1557	4142	5823	481		5342	481																																	
3/31/2011 11:59:59 PM	1669	40772	42949	1398		41551	1398																																	
3/31/2011 11:59:59 PM	1829	37498	35117	2985		32132	2985																																	
3/31/2011 11:59:59 PM	1856	2204	21016	628		20388	628																																	
3/31/2011 11:59:59 PM	2040	15277	21987	1960		20027	1960																																	
3/31/2011 11:59:59 PM	2161	10890	13736	593		13143	593																																	
3/31/2011 11:59:59 PM	2376	419956	431233	22764		408469	22764																																	
3/31/2011 11:59:59 PM	2554	102	918	80		838	80																																	
3/31/2011 11:59:59 PM	2732	67801	77162	4684		72478	4684																																	
3/31/2011 11:59:59 PM	2750	5277	5961	508		5453	508																																	
3/31/2011 11:59:59 PM	3252	17524	19009	986		18023	986																																	
3/31/2011 11:59:59 PM	3458	2014	3522	307		3215	307																																	
3/31/2011 11:59:59 PM	3720	13890	28106	1374		26732	1374																																	
3/31/2011 11:59:59 PM	3953	4294	9767	1293		8474	1293																																	
3/31/2011 11:59:59 PM	4156	11386	19144	1684		17460	1684																																	
3/31/2011 11:59:59 PM	4231	1933	15320	787		14533	787																																	
3/31/2011 11:59:59 PM	4437	20385	27167	2069		25098	2069																																	
3/31/2011 11:59:59 PM	4839	15615	33654	3235		30419	3235																																	
3/31/2011 11:59:59 PM	5005	-254	16587	1832		14633	1954																																	
3/31/2011 11:59:59 PM	5069	121497	135686	5473		130125	5561																																	
3/31/2011 11:59:59 PM	5135	17633	39563	2972		36591	2972																																	
3/31/2011 11:59:59 PM	5210	70433	88952	8266		80686	8266																																	
3/31/2011 11:59:59 PM	5331	17429	38555	1936		36619	1936																																	
3/31/2011 11:59:59 PM	5461	39961	50338	4258		46080	4258																																	
3/31/2011 11:59:59 PM	5751	22715	24806	791		24015	791																																	
3/31/2011 11:59:59 PM	6039	2696	9529	764		8765	764																																	
3/31/2011 11:59:59 PM	6141	541	5153	358		4795	358																																	
3/31/2011 11:59:59 PM	6329	11970	38551	4581		33970	4581																																	
3/31/2011 11:59:59 PM	6972	3787	99467	8144		91323	8144																																	
3/31/2011 11:59:59 PM	7009	46932	48702	0		47984	718																																	
3/31/2011 11:59:59 PM	7045	12204	15482	853		14629	853																																	
3/31/2011 11:59:59 PM	7157	3622	4349	327		4022	327																																	
3/31/2011 11:59:59 PM	7456	1251	4934	383		4551	383																																	
3/31/2011 11:59:59 PM	7634	-3031	3703	584		3119	584																																	
3/31/2011 11:59:59 PM	8033	9591	15803	962		14841	962																																	
3/31/2011 11:59:59 PM	8462	13239	14401	462		13939	462																																	
3/31/2011 11:59:59 PM	8631	5201	6935	434		6501	434																																	
3/31/2011 11:59:59 PM	9357	12434	41435	2335		39100	2335																																	
3/31/2011 11:59:59 PM	9553	6889	9312	823		8489	823																																	
3/31/2011 11:59:59 PM	9807	163950	324852	28630		296222	28630																																	
3/31/2011 11:59:59 PM	9955	9031	12565	784		11781	784																																	
3/31/2011 11:59:59 PM	10250	-2494	22460	4003		18457	4003																																	
3/31/2011 11:59:59 PM	10849	10622	24789	2470		22319	2470																																	
3/31/2011 11:59:59 PM	10858	19904	37069	2645		34420	2649																																	
3/31/2011 11:59:59 PM	11145	10819	17724	1355		16369	1355																																	
3/31/2011 11:59:59 PM	11640	5977	32822	2925		29897	2925																																	
3/31/2011 11:59:59 PM	11837	-28	11307	625		10682	625																																	
3/31/2011 11:59:59 PM	12030	33933	37636	3103		34533	3103																																	
3/31/2011 11:59:59 PM	12142	5349	21444	1595		19849	1595																																	
3/31/2011 11:59:59 PM	12245	7951	13853	902		12951	902																																	
3/31/2011 11:59:59 PM	12311	-1798712	5603840	542087		3790392	1813448																																	
3/31/2011 11:59:59 PM	12647	1673	10334	707		9627	707																																	
3/31/2011 11:59:59 PM	12656	895	1492	137		1355	137																																	
3/31/2011 11:59:59 PM	12937	25983	33941	1958		31983	1958																																	
3/31/2011 11:59:59 PM	12946	54307	66604	6344		60260	6344																																	
3/31/2011 11:59:59 PM	12955	2463	13189	926		12263	926																																	
3/31/2011 11:59:59 PM	13037	6721	17063	1153		15910	1153																																	
3/31/2011 11:59:59 PM	13103	135096	171768	10302		161466	10302																																	
3/31/2011 11:59:59 PM	13251	2008	4060	302		3758	302																																	
3/31/2011 11:59:59 PM	13457	5606	5944	136		5808	136																																	
3/31/2011 11:59:59 PM	14052	3795	6532	505		6027	505																																	
3/31/2011 11:59:59 PM	14155	13889	15417	1192		14225	1192																																	
3/31/2011 11:59:59 PM	14650	2235	2868	223		2645	223																																	
3/31/2011 11:59:59 PM	14753	793	3646	299		2370	1276																																	
3/31/2011 11:59:59 PM	14865	12439	28783	2522		26261	2522																																	
3/31/2011 11:59:59 PM	14977	7462	7782	320		7462	320																																	
3/31/2011 11:59:59 PM	16458	28954	34124	2170		31954	2170																																	
3/31/2011 11:59:59 PM	16551	10352	17153	1706		15447	1706																																	
3/31/2011 11:59:59 PM	16748	3033	6384	392		5992	392																																	
3/31/2011 11:59:59 PM	16944	1424	4139	215		3924	215																																	
3/31/2011 11:59:59 PM	16953	2209	5184	100		5084	100																																	
3/31/2011 11:59:59 PM	17110	11111	18716	319		18397	319																																	
3/31/2011 11:59:59 PM	17147	131363	444940	37547		407393	37547																																	
3/31/2011 11:59:59 PM	17259	5159	6889	192		6697	192																																	
3/31/2011 11:59:59 PM	17464	-10585	230403	16238		214159	16244																																	
3/31/2011 11:59:59 PM	17950	11362	24960	2121		22839	2121																																	
3/31/2011 11:59:59 PM	18050	29039	39840	2533		37307	2533																																	
3/31/2011 11:59:59 PM	18135	12771	20818	1535		19283	1535																																	
3/31/2011 11:59:59 PM	18377	3130	3332	202		3130	202																																	
3/31/2011 11:59:59 PM	18827	33058	41486	3292		38194	3292																																	
3/31/2011 11:59:59 PM	18836	11323	14641	1456		13179	1462																																	
3/31/2011 11:59:59 PM	18854	13311	20469	1058		19411	1058																																	
3/31/2011 11:59:59 PM	18957	-115	1124	234		890	234																																	
3/31/2011 11:59:59 PM	19356	2950	8756	581		8175	581																																	
3/31/2011 11:59:59 PM	19730	62174	196937	22151		174786	22151																																	
3/31/2011 11:59:59 PM	19936	7561	22235	1848		20387	1848																																	
3/31/2011 11:59:59 PM	19972	165	12950	250		12700	250																																	
3/31/2011 11:59:59 PM	20053	1906	6550	569		5980	570																																	
3/31/2011 11:59:59 PM	20370	-18750	5340	1589		3751	1589																																	
3/31/2011 11:59:59 PM	20512	8401	10144	558		9586	558																																	
3/31/2011 11:59:59 PM	20633	24118	29387	2867		26520	2867																																	
3/31/2011 11:59:59 PM	20857	6847	15826	621		15205	621																																	
