Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2013 11:59:59 PM	37	0	0	18040	0	527	1737	18048	0	527	389	0	0	6269	17513	0	17513	18040	0	42131	0	0	1	1	0	42132	0	41743	0	0	17814	
3/31/2013 11:59:59 PM	242	0	0	4761	0	169	0	39454	0	169	0	0	0	0	4592	0	4592	4761	0	39454	0	0	10	10	0	39464	0	39464	0	0	0	
3/31/2013 11:59:59 PM	279	0	0	25578	0	628	1262	35388	0	628	0	0	0	8620	24955	5	24950	25578	0	78616	0	0	0	0	0	78616	0	78616	0	0	34608	
3/31/2013 11:59:59 PM	354	0	0	1020	0	60	0	2682	58	60	116	0	0	1374	1018	0	960	1020	0	4806	0	0	0	0	0	4806	0	4690	0	0	750	
3/31/2013 11:59:59 PM	457	0	0	4211	0	429	222	28710	0	429	46	0	0	1136	3782	0	3782	4211	0	33740	0	0	608	608	0	34348	0	34303	0	0	3895	
3/31/2013 11:59:59 PM	505	0	0	36014	0	3298	57498	154468	0	3298	1292	0	0	14232	33714	998	32716	36014	0	231010	0	747	32099	32846	0	263856	0	262564	0	0	62310	
3/31/2013 11:59:59 PM	1155	0	0	19935	0	1841	6256	120822	0	1841	774	0	0	13797	18094	0	18094	19935	0	147011	0	0	249	249	0	147260	0	146487	0	0	12393	
3/31/2013 11:59:59 PM	1351	0	0	21587	0	1361	1154	80438	0	1361	303	0	0	11743	20226	0	20226	21587	0	106103	0	0	2762	2762	0	108865	0	108562	0	0	13922	
3/31/2013 11:59:59 PM	1454	8	0	63469	0	2812	90670	164213	0	2820	0	0	0	53718	60649	0	60649	63469	0	272332	16637	0	115	16752	0	289084	0	289085	0	0	54401	
