Reporting Period	ID RSSD	UBPR0416	UBPR3506	UBPR5369	UBPR8783	UBPRE582	UBPRE583	UBPRE588	UBPRE589	UBPRE590	UBPRE602	UBPRE621	UBPRE622	UBPRE623	UBPRE624	UBPRG378	UBPRM026	UBPRM027	UBPRM028	UBPRM029	UBPRM030	UBPRM031	UBPRM032	UBPRM033	UBPRM034	UBPRM035	UBPRM036	UBPRM037	UBPRM038	UBPRM039	UBPRM042	
		PLEDGED SECURITIES-BOOK VLAUE	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	LOANS AND LEASES HELD FOR SALE	FAIR VALUE OF STRUCTURED NOTES	INV_TEMP	ASET_INV_LNLS_LT1	SEC_DBT_NCUR	INV_TEMP_TA	SEC_MKTB_TA	LNLS_LTR_CR_TA	APP_HRSK_NTE_STRU	SEC_APP_DPR_BV_SEC	SEC_APP_ECAP	SEC_PLDG_TS	PLDG LN AND LEASE	PLEDGED ASSETS / PCT OF TOT ASSETS	US TREAS GOVT AGENCIES / PCT OF TOT 	MUNI SEC / PCT OF TOT SEC	PASS-THRU MBS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	CMRL MBS / PCT OF TOT SCTY	ABS / PCT OF TOT SCTY	STRUCT FIN PROD / PCT OF TOT SCTY	OTHR DOM DEBT SECS / PCT OF TOT SCTY	FOR DEBT SEC / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	APP IN AFS SEC / PCT OF AFS SEC	PLEDGED LN / PCT OF TOT LN	LN HELD FOR SALE / PCT OF TOT LN	SEC CATEGORIES, PCT TOT SEC	
3/31/2013 11:59:59 PM	37	11197	0	0	3185	9178	19885	0	10.52	0	38.01	-0.07		0	26.68	0	12.83	19.98	46.68	33.35	0	0	0	0	0	0	0	3.49	0	0	100	
3/31/2013 11:59:59 PM	242	2312	0	0	1589	5134	16769	0	12.96	0.01	53.46	-0.22		0	19.68	7952	25.91	37.21	60.21	0	0	0	0	0	2.55	0	0.03	2.89	37.27	0	100	
3/31/2013 11:59:59 PM	279	457	0	0	0	7399	13110	0	4.99	0	52.07	0	5.26	9.73	0.86	8683	6.16	0.02	33.6	65.41	0	0	0	0	0.97	0	0	6.75	11.15	0	100	
3/31/2013 11:59:59 PM	354	425	0	0	552	426	1198	0	3.88	0	31.61	0.21		0	6.61	0	3.88	90.64	9.36	0	0	0	0	0	0	0	0	0.5	0	0	100	
3/31/2013 11:59:59 PM	457	90	0	0	0	4882	20719	0	11.64	0	83.09	0	3.47	0.16	15.82	18246	43.73	0	99.65	0.35	0	0	0	0	0	0	0	0.5	51.87	0	100	
3/31/2013 11:59:59 PM	505	74710	0	671	0	57602	88796	0	14.19	0	61.75	0		0	94.74	118236	47.52	0	45.64	36.87	1.28	0	0	0	16.2	0	0	3.52	46.48	0.26	100	
3/31/2013 11:59:59 PM	1155	21418	0	273	0	47108	88278	0	21.54	0	58.95	0	3.16	0.02	78.71	131304	69.82	69.75	29.91	0.33	0.01	0	0	0	0	0	0	1.9	100	0.21	100	
3/31/2013 11:59:59 PM	1351	15526	0	0	31566	4009	60523	0	2.41	0	42.51	-2	1.12	4.63	17.66	0	9.32	43.3	54.4	1.16	1.14	0	0	0	0	0	0	1.16	0	0	100	
3/31/2013 11:59:59 PM	1454	40202	0	675	60285	74620	103226	0	11.76	0	50.61	-0.76		0	13.67	0	6.33	64.32	33.66	1.76	0.25	0	0	0	0	0	0.01	1.78	0	0.28	100	
