Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2007 11:59:59 PM	37	10588	15844	556		15288	556																																	
3/31/2007 11:59:59 PM	242	3591	3991	160		3831	160																																	
3/31/2007 11:59:59 PM	279	20494	20811	324		20487	324																																	
3/31/2007 11:59:59 PM	354	451	1030	54		976	54																																	
3/31/2007 11:59:59 PM	439	2034	17434	1848		15586	1848																																	
3/31/2007 11:59:59 PM	457	364	2991	277		2714	277																																	
3/31/2007 11:59:59 PM	505	7886	25900	2507		23393	2507																																	
3/31/2007 11:59:59 PM	1146	581	40921	4633		30288	10633																																	
3/31/2007 11:59:59 PM	1155	8088	15814	1726		14088	1726																																	
3/31/2007 11:59:59 PM	1351	14557	16249	922		15327	922																																	
3/31/2007 11:59:59 PM	1454	31125	35156	1869		33287	1869																																	
3/31/2007 11:59:59 PM	1557	3582	4863	281		4582	281																																	
3/31/2007 11:59:59 PM	1632	22310	59016	7033		51983	7033																																	
3/31/2007 11:59:59 PM	1669	38161	39457	1221		38236	1221																																	
3/31/2007 11:59:59 PM	1829	35452	33492	2810		29967	3525																																	
3/31/2007 11:59:59 PM	1856	-40	18318	174		18144	174																																	
3/31/2007 11:59:59 PM	2040	11026	17471	1695		15776	1695																																	
3/31/2007 11:59:59 PM	2161	8677	11498	568		10930	568																																	
3/31/2007 11:59:59 PM	2376	188459	181246	8201		173033	8213																																	
3/31/2007 11:59:59 PM	2451	1037	2853	212		2641	212																																	
3/31/2007 11:59:59 PM	2554	109	735	26		709	26																																	
3/31/2007 11:59:59 PM	2732	56522	64802	3678		61124	3678																																	
3/31/2007 11:59:59 PM	2750	4790	5316	345		4971	345																																	
3/31/2007 11:59:59 PM	2938	15015	34882	4089		30793	4089																																	
