Reporting Period	ID RSSD	UBPRE836	UBPRE837	UBPRE838	UBPRE839	UBPRE840	UBPRE841	UBPRE842	UBPRE843	UBPRE844	UBPRE845	UBPRE846	UBPRE847	UBPRE848	UBPRE849	UBPRE850	UBPRE851	UBPRE852	UBPRE853	UBPRE854	UBPRE855	UBPRE856	UBPRE857	UBPRE858	UBPRE859	UBPRE860	UBPRE861	UBPRE862	UBPRE863	UBPRE864	UBPRE865	UBPRE866	UBPRE867	UBPRE868	UBPRE869	UBPRE870	UBPRE871	UBPRE872	UBPRE873	UBPRE874	UBPRE875	UBPRE876	
		PDS_3089_FAMRES_T	PDS_3089_HOMEQ_T	PDS_3089_CRCD_T	PDS_3089_AUTLN_T	PDS_3089_CMLLN_T	PDS_3089_OTHLN_T	PDS_3089_TOT_T	PDS_90MOR_FAMRES_T	PDS_90MOR_HOMEQ_T	PDS_90MOR_CRCD_T	PDS_90MOR_AUTLN_T	PDS_90MOR_CMLLN_T	PDS_90MOR_OTHLN_T	PDS_90MOR_TOT_T	PDS_SEC_ASET_T	NCOS_FAMRES_T	NCOS_HOMEQ_T	NCOS_CRCD_T	NCOS_AUTLN_T	NCOS_CMLLN_T	NCOS_OTHLN_T	NCOS_TOT_T	PDM_3089_FAMRES_T	PDM_3089_HOMEQ_T	PDM_3089_CRCD_T	PDM_3089_CMLLN_T	PDM_3089_OTHLN_T	PDM_3089_TOT_T	PDM_90MOR_FAMRES_T	PDM_90MOR_HOMEQ_T	PDM_90MOR_CRCD_T	PDM_90MOR_CMLLN_T	PDM_90MOR_OTHLN_T	PDM_90MOR_TOT_T	PDM_SEC_ASET_T	NCOS_FAMRES_TM_T	NCOS_HOMEQ_TM_T	NCOS_CRCD_TM_T	NCOS_CMLLN_TM_T	NCOS_OTHLN_TM_T	NCOS_TOT_TM_T	
3/31/2007 11:59:59 PM	18827																																										
3/31/2007 11:59:59 PM	18836																																										
3/31/2007 11:59:59 PM	18854																																										
3/31/2007 11:59:59 PM	18957																																										
3/31/2007 11:59:59 PM	19356																																										
3/31/2007 11:59:59 PM	19730																																										
3/31/2007 11:59:59 PM	19936																																										
3/31/2007 11:59:59 PM	19972																																										
3/31/2007 11:59:59 PM	20053	0					0	0	0					0	0	0	0					0	0	2.58		0	20.29	0.92	3.67			0	0		0	3.67	0		21.92	0	0	0.08	
3/31/2007 11:59:59 PM	20147																																										
3/31/2007 11:59:59 PM	20259																																										
3/31/2007 11:59:59 PM	20370																																										
3/31/2007 11:59:59 PM	20512																																										
3/31/2007 11:59:59 PM	20633																																										
3/31/2007 11:59:59 PM	20839																																										
3/31/2007 11:59:59 PM	20857																																										
3/31/2007 11:59:59 PM	20866																																										
3/31/2007 11:59:59 PM	21256																																										
3/31/2007 11:59:59 PM	21359																																										
3/31/2007 11:59:59 PM	21630																																										
3/31/2007 11:59:59 PM	21658																																										
3/31/2007 11:59:59 PM	22048																																										
3/31/2007 11:59:59 PM	22235																																										
3/31/2007 11:59:59 PM	22356																																										
3/31/2007 11:59:59 PM	22459																																										
3/31/2007 11:59:59 PM	22543																																										
3/31/2007 11:59:59 PM	22552																																										
3/31/2007 11:59:59 PM	22730																																										
3/31/2007 11:59:59 PM	22936																																										
3/31/2007 11:59:59 PM	22954																																										
3/31/2007 11:59:59 PM	23036																																										
3/31/2007 11:59:59 PM	23045																																										
3/31/2007 11:59:59 PM	23241																																										
3/31/2007 11:59:59 PM	23456																																										
3/31/2007 11:59:59 PM	23504																																										
3/31/2007 11:59:59 PM	23540																																										
3/31/2007 11:59:59 PM	23643																																										
3/31/2007 11:59:59 PM	23755																																										
3/31/2007 11:59:59 PM	23812																																										
3/31/2007 11:59:59 PM	24006																																										
3/31/2007 11:59:59 PM	24266																																										
3/31/2007 11:59:59 PM	24453																																										
3/31/2007 11:59:59 PM	24659																																										
3/31/2007 11:59:59 PM	24668																																										
3/31/2007 11:59:59 PM	24855																																										
3/31/2007 11:59:59 PM	24949																																										
3/31/2007 11:59:59 PM	25357																																										
3/31/2007 11:59:59 PM	25647																																										
3/31/2007 11:59:59 PM	25852																																										
3/31/2007 11:59:59 PM	26149																																										
3/31/2007 11:59:59 PM	26242																																										
3/31/2007 11:59:59 PM	26457																																										
3/31/2007 11:59:59 PM	26765																																										
3/31/2007 11:59:59 PM	26859																																										
3/31/2007 11:59:59 PM	26916																																										
3/31/2007 11:59:59 PM	27548																																										
3/31/2007 11:59:59 PM	27614																																										
3/31/2007 11:59:59 PM	27838																																										
3/31/2007 11:59:59 PM	27847																																										
3/31/2007 11:59:59 PM	28013																																										
3/31/2007 11:59:59 PM	28152																																										
3/31/2007 11:59:59 PM	28255																																										
3/31/2007 11:59:59 PM	28349																																										
3/31/2007 11:59:59 PM	28406																																										
3/31/2007 11:59:59 PM	28572																																										
3/31/2007 11:59:59 PM	28732																																										
3/31/2007 11:59:59 PM	29104																																										
3/31/2007 11:59:59 PM	29252																																										
3/31/2007 11:59:59 PM	29636																																										
3/31/2007 11:59:59 PM	29850																																										
3/31/2007 11:59:59 PM	29944																																										
3/31/2007 11:59:59 PM	29953																																										
3/31/2007 11:59:59 PM	30052																																										
