Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2007 11:59:59 PM	37	0	174	25290	0	592	5698	44447	0	0	27	27	0	44474	43882	13459																													0	
3/31/2007 11:59:59 PM	242	0	0	32070	0	0	0	32070	0	0	0	0	0	32070	32070	0																													0	
3/31/2007 11:59:59 PM	279	0	836	31033	0	0	12703	62136	0	0	0	0	0	62136	62136	18400																													0	
3/31/2007 11:59:59 PM	354	0	58	2840	0	131	660	4306	0	0	0	0	0	4306	4176	807																													0	
3/31/2007 11:59:59 PM	439	0	1656	127888	0	65	6488	147503	0	0	308	308	0	147811	147746	13127																													0	
3/31/2007 11:59:59 PM	457	0	127	19255	0	40	622	22117	0	0	54	54	0	22171	22131	2240																													0	
3/31/2007 11:59:59 PM	505	0	2426	114330	0	223	16666	191401	0	1206	7958	9164	0	200564	200341	60405																													0	
3/31/2007 11:59:59 PM	1146	0	16199	341837	0	0	12262	410816	0	0	644	644	0	411460	411460	56717																													0	
3/31/2007 11:59:59 PM	1155	0	2901	115931	0	100	9432	135871	0	0	2181	2181	0	138052	137953	10509																													0	
3/31/2007 11:59:59 PM	1351	0	893	52892	0	208	6844	71511	0	0	2253	2253	0	73764	73557	11776																													0	
3/31/2007 11:59:59 PM	1454	0	17780	151166	0	0	36801	220882	242	0	0	242	0	221124	221125	32916																													0	
3/31/2007 11:59:59 PM	1557	0	225	17836	0	97	3113	22045	0	0	433	433	0	22478	22381	1096																													0	
3/31/2007 11:59:59 PM	1632	0	2886	477373	0	303	10526	525360	0	0	38072	38072	0	563432	563129	37461																													0	
3/31/2007 11:59:59 PM	1669	0	6686	52922	0	379	25237	97662	0	0	24	24	0	97686	97307	19503																													0	
3/31/2007 11:59:59 PM	1829	0	7311	136869	0	1679	19261	218187	0	0	6591	6591	0	224778	223099	62057																													0	
