Reporting Period	ID RSSD	UBPR7414	UBPRE497	UBPRE498	UBPRE499	UBPRE500	UBPRE501	UBPRE502	UBPRE503	UBPRE504	UBPRE521	UBPRE522	UBPRE523	UBPRE524	UBPRE529	UBPRE530	UBPRE531	UBPRE532	UBPRE533	UBPRE534	UBPRE535	UBPRE536	UBPRE537	UBPRE538	UBPRE539	UBPRE540	UBPRE541	UBPRE542	UBPRE544	UBPRE545	UBPRE546	UBPRE547	UBPRE549	UBPRE550	UBPRE551	UBPRE552	UBPRF896	UBPRFC07	UBPRFC08	UBPRFC09	UBPRFC10	UBPRFC11	UBPRFC12	UBPRFC13	UBPRFC14	UBPRFC15	UBPRFC16	UBPRFC17	UBPRFC18	UBPRFC19	UBPRFC20	UBPRFC21	UBPRFC22	UBPRK264	UBPRK265	UBPRK266	
		NONCURRENT ASSETS AS PERCENT OF TOTL	LN_CMID_TOT_DOM	LN_CMID_NACCR_DOM	LN_CMID_NCUR_TOT	LN_CMID_30_89_TOT	LN_INV_PD_90_TOT	LN_INV_NACCR_TOT	LN_INV_NCUR_TOT	LN_INV_30_90_TOT	LN_CRCD_PD_90	LN_NACCR_CRCD	LN_NCUR_CRCD	LN_CRCD_PD_30_89	LS_PD_90_TOT_LS	LS_FIN_RCV_TOT_LS	LS_FIN_RCV_NCUR_LS	LS_FIN_RCV_PD_3089	LN_AG_PD_90_TOT	LN_NACCR_AG_N34S	LN_NCUR_AG_NPD_30	LN_AG_PD_30_90_TOT	LNLS_OTH_PD_90	LNLS_OTH_NACCR_TOT	LNLS_PD_90_NCUR	LNLS_OTH_PD_30_89	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	LNLS_TOT_PD_30_89	LNLS_NCUR_ALWNC	LNLS_NCUR_EQCAP	LNLS_TOT_PD_NACCR	LNLS_NPRF_LNLS_ORE	LNLS_NCUR_NACCR	LNLS_TOT_NCUR	LN_RESTR_TOT_TOTLN	LN_1T4_FORCL_TOT14	FIN INST LN 90+ PD RTO	FIN INST LN NACCR RTO	FIN INST LN TAL DLNQT RTO	FIN INST LN 30-89 PD RTO	AUTO LN 90+ PD RTO	AUTO LN NACCR RTO	AUTO LN TAL DLNQT RTO	AUTO LN 30-89 PD RTO	LS IND 90+ RTO	LS IND NACCR RTO	LS IND TAL DLNQT RTO	LS IND 30-89 RTO	OTHR LS 90+ RTO	OTHR LS NACCR RTO	OTHR LS TAL DLNQT RTO	OTHR LS 30-89 RTO	GTY LN LS PD 90MOR PCT TOT LN LS 90M	:GTY LN LS NONACR PCT TOT LN LS NONA	GTY LN LS PD 30-89 PCT TOT LN LS 30-	
3/31/2015 11:59:59 PM	37	2.67	0	0	0	1.17	0.17	2.94	3.11	2.88													0	0	0	1.8	1.38	1.29	3.78	81.89	4.32	6.46	2.72	0	0	0	0					0	4.58	4.58	4.02									0	0	0	
3/31/2015 11:59:59 PM	242	2.87	0	1.24	1.24	6.69	0.49	0.31	0.8	1.26									0	0	0	0	0	0	0	0	2.65	0.22	1.19	377.25	13.69	4.07	2.87	0	0.05	0.05	0					0.59	0.16	0.75	1.67									0	0	0	
3/31/2015 11:59:59 PM	279	0.22	0.2	0	0.2	1.61	0	0.29	0.29	0.77													0	0	0	1.96	0	0.21	2.22	38.64	1.03	2.43	0.22	0.09	0.09	0	0					0	0	0	0.89									0	0	0	
3/31/2015 11:59:59 PM	354	1.48	0	0	0	11.45	0	4.74	4.74	0.65									0	0	0	0	0	10.53	10.53	0	0.44	1.04	2.69	24.04	4.34	4.17	1.48	0	0	0	0					0	6.74	6.74	1.04									0	0	0	
3/31/2015 11:59:59 PM	457	1.59	0	0.17	0.17	0	0	0.58	0.58	0									0	0	0	0	0	0	0	0	0	1.59	0.36	116.02	13.48	1.94	1.85	0	1.03	1.03	0					0	0.68	0.68	0										0	0	
3/31/2015 11:59:59 PM	505	2.22	0	7.58	7.58	0	0	0	0	1.46													0	0	0	0	0.11	2.11	0.72	142.76	17.24	2.93	2.73	0.02	0.07	0.06	0.94					0	0	0	0.12									0	0	8.25	
3/31/2015 11:59:59 PM	1155	1.42	0	0.79	0.79	0.46	0	0.3	0.3	1.16	0	0	0	2.81					0	0	0	0.18	0.93	0	0.93	0.98	0.36	1.06	1.38	97.75	11.07	2.8	3.31	0.71	0.82	0.11	0.78					0	0.69	0.69	1.99									0	0	0	
3/31/2015 11:59:59 PM	1351	3.87	0	12.67	12.67	2.67	0.07	0.99	1.05	3.33									0	0.6	0.6	0.12	0	0	0	0	0.01	3.86	2.42	220.38	12.73	6.29	4.4	0	3.73	3.73	0					0.14	1.97	2.11	3.84									0	0	0	
3/31/2015 11:59:59 PM	1454	0.39	0.73	0	0.73	0.93	0.01	0.2	0.21	0.66					0	0	0	0	0	0	0	0.19	0	0	0	0	0.37	0.02	0.54	33.83	1.28	0.94	0.39	0	0.71	0.71	0					0	0.26	0.26	0.4					0	0	0	0	0	0	0	
