Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2015 11:59:59 PM	3252	11.51	0.85	9.51	62.25	0.22	5.28	1.08	18.98	18.98	0.36	0	0.36	41.99	0.36	8.93	0	0	41.92	2.56	39.36	48.53	10	38.53	57.05	136.1	-15.13	2.86	0	2.86	
3/31/2015 11:59:59 PM	3458	13.58	2.7	2.93	76.79	0.69	9.67	3.39	0	0	0	0	0	26.5	6.4	2.44	0.25	2.71	55.29	0.68	54.6	78.99	8.75	70.25	44.41	80.34	10.87	0	0	0	
3/31/2015 11:59:59 PM	3720	18.82	0.55	6.7	61.6	0.55	6.32	1.1	0	0	0.65	0	0.65	22.11	0.07	8.93	0	0.02	47.09	0.39	46.7	67.41	1.52	65.89	60.26	127.98	-13.18	4.66	0	4.66	
3/31/2015 11:59:59 PM	3971	20.75	6.71	5.13	64.6	1.61	18.82	8.31	1.29	0.78	2.65	0.01	2.66	10.47	0	15.56	0	0	49.48	6.99	42.49	66.98	16.53	50.45	52.49	106.09	-3.01	19.29	0.05	19.34	
3/31/2015 11:59:59 PM	4156	18.24	5.16	9.61	71.36	0.38	21.67	5.54	0	0	0.23	0	0.23	16.36	0	10.81	0	0	52.7	3.1	49.6	68.46	10.11	58.35	55.48	105.26	-2.77	2.41	0	2.41	
3/31/2015 11:59:59 PM	4231	32.47	13.14	12.31	51.5	12.18	6.73	25.32	0.09	0	5	0	5	43.43	0	1.86	0	0	52.6	5.4	47.2	71.08	15.27	55.81	47.97	91.2	4.63	38.34	0	38.34	
3/31/2015 11:59:59 PM	4437	28.88	0.74	11.9	51.93	1.26	8.67	2	0.28	0.28	0	0	0	32.25	0	12.1	0	0	45.37	0.94	44.43	65.54	10.25	55.29	67.53	148.83	-22.16	0	0	0	
3/31/2015 11:59:59 PM	4839	17	4.87	2.6	71.38	1.79	8.78	6.67	3.25	3.25	0	0	0	23.54	0	8.1	0	0	43.69	7.09	36.6	70.06	22.04	48.03	41.27	94.47	2.42	0	0	0	
3/31/2015 11:59:59 PM	5069	12.46	0	0	61.28	2.87	1.59	2.87	0	0	0	0	0	9.37	0	5.16	0	0	6.98	1.79	5.18	23.13	18.35	4.78	17.98	257.66	-11	0	0	0	
3/31/2015 11:59:59 PM	5135	10.93	0.02	0.87	68.63	2.01	6.39	2.03	0	0	4.61	0	4.61	6.84	0	15.9	0	0	16.98	0.41	16.57	36.83	3.98	32.84	42.5	250.3	-25.52	35.6	0	35.6	
