Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2015 11:59:59 PM	37	-5	1038	1	0	0	0.2	-0.06			3.26	3.26	32145	13.95	0.01	0.07	2.53	-0.05		0	0	-0.07		0	0			0		-0.17		0		0	0	0	0	-0.07	0	0				
3/31/2015 11:59:59 PM	242	0	189	0	0	0	0	0			0.76	0.76	25406	0	0	0	3.44	0		0	0	0			0		0	0		0		0			0		0	0	0	0				
3/31/2015 11:59:59 PM	279	79	722	86	0	0	0.15	0.26	2.58	2.28	0.56	0.56	121292	73.68	0.28	0.02	2.64	0		0	0	0	0	0	0			-0.82		8.04		0		0	0	0	0	0	0	0				
3/31/2015 11:59:59 PM	354	-2	183	0	0	0	0	-0.26			6.15	6.15	3031	800	0	0.26	5.9	0			0	0		0	0		-0.8	0		-0.69		0				0		0		-1.08				
3/31/2015 11:59:59 PM	457	-4	493	0	0	0	0	-0.04			1.37	1.37	36327	19.05	0	0.04	0.86	0		0	0	0	0	0	0		-0.17	0		-0.15		0		0	0	0	0	0	0	0				
3/31/2015 11:59:59 PM	505	42	4181	48	0	0	0.03	0.06	16.24	24.89	1.56	1.56	266457	10.53	0.07	0.01	0.74	0.03		0		0.04	0	0	0			0		0.46		0		0	0	0	0	0.05	0	0.17				
3/31/2015 11:59:59 PM	1155	68	2181	86	0	0	0.41	0.18	17.15	8.02	1.47	1.46	147441	13.64	0.23	0.05	1.37	0.22		0	0	0.71	-5.8	0	-0.06		0	0		0.7	0	0.27		0	0	-0.11	0	0.98	0	1.21				
3/31/2015 11:59:59 PM	1351	31	1359	34	0	0	0.23	0.16	13.16	10.96	1.76	1.76	76681	2.31	0.18	0.02	0.45	0		0	0	0			0		0	0.41		0.68		0		0	0	0	0	0		1.06				
3/31/2015 11:59:59 PM	1454	88	2844	110	0	0	0.02	0.14	25.14	8.08	1.16	1.16	243864	55.35	0.18	0.04	52.67	0	0	0	0	0	0	0	0		0	-0.03	0	1.36		0		0	0	0	0	0	0	-0.15			0	
3/31/2015 11:59:59 PM	1557	-1	451	0	0	0	0.08	-0.01			0.74	0.74	56601	30.77	0	0.01		0		0	0	0			0		0	0		-0.2		0		0	0	0	0	0		-0.4				
3/31/2015 11:59:59 PM	1669	89	2839	100	0	0	0.05	0.38	8.73	7.97	3.08	3.08	92745	26.83	0.43	0.05	7.61	0.33		0	0	0.42		0	0			0	0	0.7		0.9		0	0	0	0	0.44	0	0.16				
3/31/2015 11:59:59 PM	1829	63	3572	63	0	0	0.08	0.09	16.59	14.17	1.29	1.29	277024	0	0.09	0	1.58	0		0		0	0	0	0			0	0	20.47	38.24	0		0	0	0	0	0	0	0			0	
3/31/2015 11:59:59 PM	1856	-1	1044	0	0	0	0	-0.01			2.3	2.3	42092	11.11	0	0.01		0		0	0	0		0	0			0		-0.88		0			0	0	0	0		0	0			
3/31/2015 11:59:59 PM	2040	-5	3561	1	0	0	0.12	-0.02			2.94	2.94	120585	1.97	0	0.02	0.68	-0.02	0	0	0	0	0	0	-0.04			-0.02		0.27		0		0	0	-0.06	0	0	0	0				
3/31/2015 11:59:59 PM	2161	0	758	0	0	0	0	0			1.01	1.01	73544	0	0	0	252.67	0		0	0	0			0		0	0		0	0	0		0		0		0	0	0				
3/31/2015 11:59:59 PM	2376	376	30639	376	0	0	0	0.06	43.92	20.37	1.13	1.13	2632198	0	0.06	0	2.33	0.06	0	0		0.06	0	0	0.09			0		0		0			0	0	0.1	0.06	0					
3/31/2015 11:59:59 PM	2554	0	171	0	0	0	0.18	0			3.14	3.14	5410	0	0	0	0.9	0			0	0			0		0	0		0		0				0		0		0				
3/31/2015 11:59:59 PM	2732	-62	3870	10	0	0	0.2	-0.08			1.18	1.18	323660	5.66	0.01	0.09	4.46	0.01		-0.09	0	0	0	-0.01	0.02			-0.79		0		0		0	-0.38	-0.01	0.04	0	0	0				
3/31/2015 11:59:59 PM	2750	0	675	0	0	0	-0.29	0			1.68	1.68	39484	0	0	0	0.42	0		0	0	0			0		0	0		0		0		0		0	0	0	0	0				
3/31/2015 11:59:59 PM	3177	529	3384	529	0	0	0.06	0.28	5.39	1.6	0.44	0.44	766864	0	0.28	0	0.53	0.28		5.02		0.14	0	0	0			0		0				0	24.56	0	0	0.11	2.85					
3/31/2015 11:59:59 PM	3252	35	2634	139	0	0	0.51	0.15	28.09	18.81	2.81	2.81	94532	58.59	0.59	0.44	0.81	-0.01		0	-0.02	0			0		-0.06	-0.14	0	3.11		0			0		0	0		0				
3/31/2015 11:59:59 PM	3458	0	342	0	0	0	0.21	0			1.46	1.46	22122	0	0	0	5.26	0		0	0	0		0	0		0	0		0		0		0	0	0	0	0	0	0				
3/31/2015 11:59:59 PM	3720	-49	1701	1	0	0	0.01	-0.15			1.27	1.27	134181	303.03	0	0.15	10.37	-0.19	0	0	0	0	0	0	-0.42		0	0		0.06		0		0	0	0	-0.82	0	0	0				
3/31/2015 11:59:59 PM	3971	391	10942	605	0	0	0	0.28	0.03	7	2.02	1.98	568503	24.21	0.43	0.15	1.46	0.13	0	0.35	0	0.26	0.25	0	0.03		0	-0.09	-0.5	4.72		0		-0.93	0.54	0	0.05	0.25	0.35	0			-0.49	
3/31/2015 11:59:59 PM	4156	-76	1959	0	0	0	0.05	-0.19			1.21	1.2	160384	201.32	0	0.19	8.63	-0.01		-0.09	0	-0.01	0	0	0		-2.55	-0.02	0	-0.24				-0.3	0	0	0	-0.01	0	-0.45				
3/31/2015 11:59:59 PM	4231	-7	736	0	0	0	0.17	-0.06			1.47	1.47	50519	5.3	0	0.06	0.34	-0.04		0	0	-0.16			0			0		-0.25		0			0	0	0	-0.16		-0.77				
3/31/2015 11:59:59 PM	4437	-15	2054	56	0	0	0.04	-0.05			1.55	1.55	132201	56.8	0.17	0.21	0.42	-0.06		0	0	0.02	0	0	-0.2			0		0.18		0		0	0	-0.3	0	0.03	0	0				
3/31/2015 11:59:59 PM	4839	373	5475	374	0	0	0.61	0.62	3.39	3.67	2.31	2.29	242591	0.19	0.62	0	0.49	0.62		0		1.09	0	0.2	0.71			0		1.55		0		0	0	1.15	0	1.3	0	0				
3/31/2015 11:59:59 PM	5069	0	12330	0	0	0	0	0			4.56	4.56	268414		0	0	0.65	0		0		0	0	0	0			0						0	0	0	0	0	0					
3/31/2015 11:59:59 PM	5135	42	4007	47	0	0	0.01	0.06	47.52	23.85	1.37	1.37	278104	6.45	0.07	0.01	27.63	0.01		0	0	0.04		0	0		0	0.28		0.58	5.81	0.21		0	0	0	0	0.04	0	0.84				
3/31/2015 11:59:59 PM	5210	107	15065	133	0	0	0	0.05	31.83	35.2	1.85	1.84	807415	8.73	0.07	0.01	2.53	0.04		0	0	0.07	0	0	0		0	-0.19		0.53		0.32		0	0	0	0	0	0.96	0				
3/31/2015 11:59:59 PM	5461	44	5564	45	0	0	0	0.06	23.68	31.61	1.83	1.83	306998	0.51	0.06	0	1.73	0.03	0	0.92	0	0	0	0	0		0	0.29		0		0		10.54	0	0	0	0	0	0				
3/31/2015 11:59:59 PM	5751	-11	1424	0	0	0	0.07	-0.03			1.11	1.11	129377	19.82	0	0.03	9.07	0		0	0	0	0	0	0		0	-0.17	0	0		0		0	0	0	0	0	0	0				
3/31/2015 11:59:59 PM	6039	0	992	2	0	0	0.14	0			2	2	50215	1.57	0.02	0.02	0.92	-0.01		0	0	0		0	-0.02		0	0		0.14	1.52	0		0	0	-0.09	0	0	0	0				
3/31/2015 11:59:59 PM	6141	-15	407	17	0	0	0.09	-0.33			2.29	2.29	18275	69.57	0.37	0.7	6.67	0			0	0			0		0	0		-1.47		0					0	0						
