Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2017 11:59:59 PM	37	11	1020	13	0	0	0.02	0.17	17.09	23.18	3.84	3.84	26295	29.63	0.2	0.03	3.97	0.11		-0.57	0	0.17		0	0			0		0.08		3.68			-0.57	0	0	0.17	0	0.14				
3/31/2017 11:59:59 PM	242	1	183	2	0	0	0	0.02	138	45.75	0.71	0.71	26262	50	0.03	0.02	0.29	0			0	0			0		0	0		0.14		0					0	0	0	0				
3/31/2017 11:59:59 PM	279	-5	958	3	0	0	0	-0.01			0.7	0.7	139324	400	0.01	0.02	2.99	0		0	0	0	0	0	0			-0.13	0	-0.47		0		0	0	0	0	0	0	-3.62				
3/31/2017 11:59:59 PM	354	8	147	9	0	0	0	0.9	-3.5	4.59	4.22	4.22	3571	13.33	1.01	0.11	3.34	0			0	0			0		0	0		4.55		0				0	0	0		6.8				
3/31/2017 11:59:59 PM	457	0	501	0	0	0	0	0			1.26	1.26	40088	0	0	0	0.37	0		0	0	0	0	0	0		0	0		0		0		0	0	0	0	0	0	0				
3/31/2017 11:59:59 PM	505	-40	4155	2	0	0	0.07	-0.05			1.22	1.22	334629	46.93	0	0.05	1.56	0	0	0		0	0	0	0			-0.63		-0.09		0		0	0	0	0	0	0	-0.57				
3/31/2017 11:59:59 PM	1155	5	2485	13	0	0	0.39	0.01	150.2	124.25	1.47	1.47	167845	4.56	0.03	0.02	10.18	-0.02		0	0	-0.02	0	0	-0.03			0		0	0	0.38		0	0	-0.05	0	-0.02	0	0				
3/31/2017 11:59:59 PM	1351	269	1101	300	0	0	0.45	1.25	2.99	1.02	1.28	1.28	86180	24.03	1.39	0.14	0.58	0		0	0	0			0		-0.31	6.2		0.21		0		0	0	0		0		-0.36				
3/31/2017 11:59:59 PM	1454	66	3434	77	0	0	0.03	0.11	40.56	13.01	1.35	1.35	249678	10.21	0.12	0.02	22.44	0.01	0	0	0	0	0	0	0.04		0	0.2	0	0.73		43.24		0	0	0	0.09	0	0	0.44				
