Reporting Period	ID RSSD	UBPRD490	UBPRD646	UBPRD647	UBPRD648	UBPRD649	UBPRD650	UBPRE392	UBPRE632	UBPRE657	UBPRE658	UBPRE663	UBPRE880	UBPRE881	UBPRE882	UBPRE883	UBPRE884	UBPRE885	UBPRE886	UBPRE887	UBPRE888	UBPRE889	UBPRE890	UBPRE891	UBPRE892	UBPRE893	UBPRE894	UBPRE895	UBPRFB78	UBPRFB79	UBPRFB80	UBPRFB81	UBPRFB82	UBPRFB83	
		LN_CNSTRC_CYA_TC	CONST_RE_TLN	CRE_NONOWN_TC	CRE_NONOWN_TLN	CRE_TOT_TC	CRE_TOT_TLN	LN_NFRM_NRES_TC	LN_1T4_CNSTRC_TC	LN_OTH_CNSTRC_TC	LN_RE_LNLS_CYA_TC	LN_HE_CYA_TC	LN_RE_FARM_TC	LN_FAM_MULT_TC	LN_NFARM_LNLS_TC	LN_NFRM_OWNROCC_TC	RE_TOT_CYA_TC	LN_FIN_CYA_TC	LN_FARM_CYA_TC	LN_CMID_CYA_TC	LN_DOM_IND_TC	LN_CRCD_CYA_TC	LN_SCM_DOM_TC	LN_OFC_FGN_TC	LN_DOM_CYA_TC	LS_DOM_RCV_TC	LN_GOVT_FGN_TC	LN_CML_RE_TC	RTO 1-4 FAM 1ST LIEN LN CPT	RTO 1-4 FAM JR LIEN LN CPT	RTO RE LN IN FO CPT	RTO AUTO LN CPT	RTO LS IND CPT	RTO OTHR LS CPT	
3/31/2017 11:59:59 PM	37	4.51	2.53	13.72	7.71	18.22	10.24	8.97	0	4.51	94.4	0	5.73	0.24	13.47	4.5	118.35	0	0.33	21.8	31.69	0	5.5	0	0.37	0		0	94.18	0.22		18.17			
3/31/2017 11:59:59 PM	242	0	0	87.06	18.15	87.06	18.15	87.06	0	0	171.2	0	62.93	0	87.06	0	321.19	0	63.3	41.4	51.2	0	2.52	0	0.11	0		0	167.53	3.67		33.64			
3/31/2017 11:59:59 PM	279	20.19	4.32	66.47	14.21	73.57	15.72	45.73	10.49	9.69	361.14	1.14	9.51	0.56	52.82	7.09	444.22	0	1.4	10.4	11.27	0	0.35	0	0.21	0		0	351.16	8.84		2.67			
3/31/2017 11:59:59 PM	354	0	0	3.94	1.15	15.57	4.54	3.94	0	0	53.3	0	62.46	0	15.57	11.63	131.33	0	73.6	66.11	68.18	0	0	0	3.65	0		0	53.3	0		45.12			
3/31/2017 11:59:59 PM	457	25.18	3.36	41.71	5.57	77.9	10.41	8.21	13.82	11.36	217.65	22.05	131.12	8.32	44.39	36.18	426.67	0	114.91	130.54	51.83	0	24.08	0	0.32	0		0	178.16	17.44		26.76			
3/31/2017 11:59:59 PM	505	60.53	7.46	201.33	24.82	281.17	34.67	93.36	41.72	18.82	386.11	31.44	0	44.81	173.2	79.84	664.66	0	0	60.09	56.32	0	28.01	0	5.23	0		2.62	348.95	5.72		8.51			
3/31/2017 11:59:59 PM	1155	81.49	10.59	151.2	19.65	263.55	34.25	55.8	19.86	61.63	162.64	3.01	53.59	13.91	168.15	112.34	479.77	0	36.07	197.88	24.54	2.32	7.95	0	23.18	0		0	152.82	6.81		9.41			
3/31/2017 11:59:59 PM	1351	4.02	1.19	4.02	1.19	101.68	30.08	0	3.59	0.43	74.42	0	35.2	0	97.66	97.66	211.3	0	26.13	63.27	36.5	0	0	0	0	0.86		0	74.42	0		17.95			
3/31/2017 11:59:59 PM	1454	8.02	2.72	46.6	15.79	108.05	36.62	35.23	1.66	6.36	116.79	10.74	6.97	2.17	96.69	61.46	230.63	0	4.72	31.82	25.77	0	0	0	0.09	3.06		1.18	104.37	1.67		19.79			
3/31/2017 11:59:59 PM	1557	1.78	0.38	26.85	5.71	38.34	8.15	25.06	1.78	0	57.11	0	88.14	0	36.56	11.49	183.58	0	214.4	53.83	17.97	0	0	0	0.68	0		0	57.11	0		5.76			
3/31/2017 11:59:59 PM	1669	2.59	1.07	13.02	5.39	49.97	20.69	10.39	2.39	0.2	128.24	0	0.01	0.05	47.33	36.95	178.22	0	8.14	19.57	27.63	0	7.73	0	0.18	0		0	124.32	3.93		13.29			
3/31/2017 11:59:59 PM	1829	29.25	4.05	255.59	35.37	315.98	43.72	204.43	3.6	25.65	324.67	23.71	0	21.91	264.82	60.39	640.65	0	0	69.98	2.37	1.4	0	0	0.02	10.55		0	282.17	18.79		0.12	0	10.55	
3/31/2017 11:59:59 PM	1856	8.52	5.28	72.35	44.86	72.5	44.95	36.41	0	8.52	27.66	0	14.23	27.42	36.56	0.15	114.38	0	2.07	37.45	1.3	0	1.96	0	0.01	4.1		0	27.53	0.13		0.48			
3/31/2017 11:59:59 PM	2040	17.68	3.11	166.6	29.28	326.22	57.34	99.08	5.64	12.04	91.26	4.14	17.04	49.84	258.7	159.62	434.51	0	23.13	101.44	6.2	0	3.63	0	0.03	0		0	83.92	3.19		0.67			
3/31/2017 11:59:59 PM	2161	6.82	1.23	6.82	1.23	21.14	3.82	0	6.82	0	246.65	0	0.08	0	14.32	14.32	267.87	0	84.42	154.48	46.51	1.73	0	0	0.22	0		0	246.3	0.35		15.5			
3/31/2017 11:59:59 PM	2376	0.53	0.08	590.46	90.8	602.94	92.72	269.41	0	0.53	45.63	1.02	0	318.33	281.88	12.47	646.37	0	0	3.9	0.01	0	0	0	0	0		2.2	44.06	0.56		0	0	0	
3/31/2017 11:59:59 PM	2554	0	0	0	0	6.35	1.37	0	0	0	16.27	0	205.18	0	6.35	6.35	227.79	4.38	54.92	112.62	30.05	0	24.43	0	10.28	0		0	16.27	0		17.36			
3/31/2017 11:59:59 PM	2732	44.35	9.65	331.05	72.03	383.8	83.5	129.43	11.32	33.02	39.5	13.68	0	142.25	182.18	52.75	408.28	0	0	50.6	1.09	0	0	0	0.17	0		15.03	24.95	0.87		0.47	0	0	
3/31/2017 11:59:59 PM	2750	7.4	1.33	53.57	9.6	66.38	11.9	46.17	7.4	0	37.68	0	87.35	0	58.98	12.81	191.4	17.32	289.88	27.68	9.06	0	4.76	0	17.63	0		0	36.74	0.94		4.06			
3/31/2017 11:59:59 PM	3252	3.23	0.82	27.9	7.07	27.9	7.07	24.68	0	3.23	1.24	0	100.98	0	24.68	0	130.12	0	182.32	42.5	22.25	0	14.37	0	2.59	0.39		0	1.24	0		6.03			
3/31/2017 11:59:59 PM	3458	8	1.21	20.16	3.04	75.08	11.32	7.98	8	0	110.56	0	208.27	4.19	62.89	54.92	393.91	0	113.77	111.51	44.21	0	0	0	0	0		0	109.82	0.74		30.06			
3/31/2017 11:59:59 PM	3720	28.47	7.3	108.01	27.71	183.44	47.07	70.69	17.01	11.46	97.7	6.83	27.36	7.2	146.13	75.44	306.86	0	21.32	39.13	19.47	0	2.57	0	0.41	0		1.65	89.08	1.79		6.47			
3/31/2017 11:59:59 PM	3971	48.37	8.04	226.3	37.6	271.24	45.07	129.46	1.77	46.59	131.58	24.25	27.31	47.88	174.4	44.94	429.54	0	38.31	72.31	27.51	0	0	0	0.02	34.14		0.59	101.91	5.43		0.48			
3/31/2017 11:59:59 PM	4156	29.28	4.61	207.64	32.7	239.84	37.77	136.32	9.3	19.98	180.27	10.67	85.24	42.03	168.52	32.2	505.35	0	51.2	69.35	6.6	0	0	0	0	2.53		0	166.08	3.52		3.78			
3/31/2017 11:59:59 PM	4231	10.38	3.86	87	32.36	141.23	52.54	76.61	1.32	9.06	45.34	0	36.43	0	130.85	54.24	223	0	1.52	13.25	26.38	0	4.58	0	0.08	0		0	45.34	0		4.32			
3/31/2017 11:59:59 PM	4839	32.94	5.97	292.8	53.04	457.3	82.84	140.48	18.63	14.31	78.61	13.26	0	119.38	304.98	164.5	535.92	0	0	9.31	4.16	0	0	0	2.66	0		0	60.74	4.61		0.5			
3/31/2017 11:59:59 PM	5069	76.1	36.26	120.11	57.23	167.54	79.83	43.05	57.78	18.32	36.85	0.54	6.25	0.96	90.48	47.43	210.63	0	0	1.21	0	0	0	0	0	0		0	27.14	9.17		0			
