Reporting Period	ID RSSD	UBPR3530	UBPR8725	UBPR8726	UBPR8761	UBPR8762	UBPR8764	UBPRA126	UBPRA127	UBPRA251	UBPRD508	UBPRE278	UBPRE279	UBPRE280	UBPRE281	UBPRE282	UBPRE283	UBPRE284	UBPRE285	UBPRE286	UBPRE287	UBPRE288	UBPRE289	UBPRE290	UBPRE291	UBPRE292	UBPRE293	UBPRE294	UBPRE295	UBPRE296	UBPRE297	UBPRE298	UBPRE299	UBPRE300	UBPRE301	UBPRE302	UBPRE303	UBPRHP02	UBPRHP03	UBPRHP04	
		REPLMT COST OF CONTRCTS-PAS DU 90 DY	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTL FGN EXCH CONTRCS-MKD TO MARKET	NET INCREASE(DECREASE) TO INT INCOME	NET INCREASE(DECREASE) TO INT EXPNSE	NET CURRENT CREDIT EXPOSURE	TOTAL INT RATE CONTRACTS TRADING	TOTAL FGN EXCH CONTRACTS TRADING	CR LOSSES ON OFF-BALC SHEET DERIVTVS	CNTRC_EQCM_HFT_DER	CNTRC_TOT_DER	CNTRC_INT_RTE_DER	CNTRC_FGN_EXCH_DER	CNTRC_EQY_OTH_DER	CNTRC_FUT_FWD_DER	CNTRC_TOT_WO_DER	CNTRC_EXTRD_WO_DER	CNTRC_OTC_WO_DER	CNTRC_TOT_PO_DER	CNTRC_EXTRD_PO_DER	CNTRC_OTC_PO_DER	CNTRC_TOT_SWAP_DER	CNTRC_TOT_HFT_DER	CNTRC_TOT_NTR_DER	CNTRC_EQCM_NTR_DER	CNTRC_MTM_NTR_DER	CNTRC_RBC_TOT_DER	CNTRC_LT1Y_RBC_DER	CNTRC_1T5Y_RBC_DER	CNTRC_OV5Y_RBC_DER	CNTRC_NEG_TOT_DER	CNTRC_POS_TOT_DER	CNTRC_POS_HFT_DER	CNTRC_POS_NTR_DER	CNTRC_MTM_NTRPODER	NET_INC_CHG_NT_DER	NINT RT DRV CNT	HLD TRD NINT RT DRV CNT	NTRD RT DRV CNT	
3/31/2017 11:59:59 PM	37		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	242		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	279		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	354		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	457		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	505		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	1155		950				0	0				950	950											0	950			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	1351		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	1454		423				0	0				423	423											0	423			423	423	0	0							0	0	0	
3/31/2017 11:59:59 PM	1557		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	1669		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	1829		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	1856		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	2040		9985				62	9985				19970	19970											9985	9985			9985	0	7000	2985							0	0	0	
3/31/2017 11:59:59 PM	2161		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	2376		430000	0			5419	0	0	0	0	430000	430000	0	0	0	0	0	0	0	0	0	430000	0	430000	0	430000	430000	45000	135000	250000	6165	5794	0	5794	5794		0	0	0	
3/31/2017 11:59:59 PM	2554		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	2732		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	2750		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	3252		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	3458		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	3720		565	0			52	0	0		0	565	565	0	0	565	0	0	0	0	0	0	0	0	565	0	565	52	52	0	0	0	52	0	52	52		0	0	0	
3/31/2017 11:59:59 PM	3971		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	4156		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	4231		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	4839		8290				137	0				8290	8290											0	8290			12287	3997	0	8290							0	0	0	
3/31/2017 11:59:59 PM	5069		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	5135		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	5210		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	5461		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	5751		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	6039		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	6141		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
3/31/2017 11:59:59 PM	6329		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	7009		6000				170	0				6000	6000											0	6000			6000	0	6000	0							0	0	0	
3/31/2017 11:59:59 PM	7045		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2017 11:59:59 PM	7072		0				0	0				0	0											0	0			0	0	0	0							0	0	0	
