Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2017 11:59:59 PM	37	24.05	4.96	7.68	64.21	12.4	34.01	17.36	0	0	3.26	0	3.26	57.57	0	3.28	0	0	69.77	0.69	69.08	79.6	16.3	63.3	49.3	70.66	20.47	19.38	0	19.38	
3/31/2017 11:59:59 PM	242	21.65	0.25	1.36	64.23	0.25	9.43	0.51	0	0	0	0	0	25.45	0	8.65	0	0	35.02	3.92	31.1	53.28	13.46	39.82	56.76	162.08	-21.74	0	0	0	
3/31/2017 11:59:59 PM	279	65.54	26.3	38.11	23.31	1.18	13.48	27.48	0	0	0	0.02	0.02	5.15	16.17	3.2	-0.11	-0.81	82.07	7.13	74.94	84.06	23.12	60.94	38.3	46.67	43.76	0	0.11	0.11	
3/31/2017 11:59:59 PM	354	19.12	1.63	12.3	68.68	0	14.31	1.63	0	0	0	0	0	46.99	0	1.83	0	0	43.91	0	43.91	62.38	0	62.38	67.84	154.48	-23.92	0	0	0	
3/31/2017 11:59:59 PM	457	19.29	0.01	0.48	60.92	2.28	0.66	2.29	0	0	0	0	0	0.3	0.11	10.11	0.01	0.12	23.49	11.27	12.22	45.75	16.59	29.16	59.21	252.07	-35.72	0	0	0	
3/31/2017 11:59:59 PM	505	39.26	19.08	16.78	51.62	1.64	17.37	20.72	0.11	0.11	0	0.01	0.01	16.79	0	34.46	0	0	62.74	0.11	62.63	70.47	1.44	69.02	84.91	135.34	-22.17	0	0.13	0.13	
3/31/2017 11:59:59 PM	1155	14.16	0.18	0.97	69.71	0.1	8.95	0.28	0	0	0	0	0	12.38	0.01	16.49	0	0.01	35.92	0.77	35.15	54.46	8.6	45.85	58.85	163.82	-22.92	0	0	0	
3/31/2017 11:59:59 PM	1351	13.42	0	1.44	76.69	0	14.46	0	0.55	0.29	0	0	0	3.63	31.73	3.4	-0.32	-2	40.4	0	40.4	52.87	10.26	42.61	38.21	94.6	2.18	0	0	0	
3/31/2017 11:59:59 PM	1454	10.86	3.41	6.5	68.92	6.05	25.84	9.46	0.01	0	10.59	0	10.59	49.02	0	9.49	0	0	56.71	1.15	55.56	72	3.02	68.97	78.03	137.59	-21.32	106.04	0	106.04	
