Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2012 11:59:59 PM	37	12602	17850	548		17302	548																																	
3/31/2012 11:59:59 PM	242	4208	4618	170		4448	170																																	
3/31/2012 11:59:59 PM	279	24106	24614	511		24103	511																																	
3/31/2012 11:59:59 PM	354	466	985	61		924	61																																	
3/31/2012 11:59:59 PM	457	525	3702	377		3325	377																																	
3/31/2012 11:59:59 PM	505	14834	33866	2932		30934	2932																																	
3/31/2012 11:59:59 PM	1155	12262	20637	1875		18762	1875																																	
3/31/2012 11:59:59 PM	1351	17810	19865	1280		18585	1280																																	
3/31/2012 11:59:59 PM	1454	52406	57641	3016		54620	3021																																	
3/31/2012 11:59:59 PM	1557	4508	6079	371		5708	371																																	
3/31/2012 11:59:59 PM	1669	41599	43976	1422		42554	1422																																	
3/31/2012 11:59:59 PM	1829	38597	36525	3123		33402	3123																																	
3/31/2012 11:59:59 PM	1856	991	19999	824		19175	824																																	
3/31/2012 11:59:59 PM	2040	15741	22145	1655		20490	1655																																	
3/31/2012 11:59:59 PM	2161	11250	14201	596		13605	596																																	
3/31/2012 11:59:59 PM	2376	421618	441590	25659		415931	25659																																	
3/31/2012 11:59:59 PM	2554	169	991	86		905	86																																	
3/31/2012 11:59:59 PM	2732	70635	79706	4394		75312	4394																																	
3/31/2012 11:59:59 PM	2750	635	5715	559		5156	559																																	
3/31/2012 11:59:59 PM	3177	45780	99979	3406		96567	3412																																	
3/31/2012 11:59:59 PM	3252	18966	20577	1111		19466	1111																																	
3/31/2012 11:59:59 PM	3458	2119	3644	324		3320	324																																	
3/31/2012 11:59:59 PM	3720	15018	29389	1342		28047	1342																																	
3/31/2012 11:59:59 PM	3953	-4836	-656	447		-656	0																																	
3/31/2012 11:59:59 PM	3971	-77763	89541	5794		83739	5802																																	
3/31/2012 11:59:59 PM	4156	12495	20215	1646		18569	1646																																	
3/31/2012 11:59:59 PM	4231	2084	15495	811		14684	811																																	
3/31/2012 11:59:59 PM	4437	20542	27216	1961		25255	1961																																	
3/31/2012 11:59:59 PM	4839	17468	35522	3250		32272	3250																																	
3/31/2012 11:59:59 PM	5005	3808	25575	60		25515	60																																	
3/31/2012 11:59:59 PM	5069	120327	133922	4900		128956	4966																																	
3/31/2012 11:59:59 PM	5135	16266	42342	3118		39224	3118																																	
3/31/2012 11:59:59 PM	5210	73310	92267	8687		83563	8704																																	
3/31/2012 11:59:59 PM	5331	17889	39493	2413		37080	2413																																	
3/31/2012 11:59:59 PM	5461	38277	49129	4578		44551	4578																																	
3/31/2012 11:59:59 PM	5751	23470	25575	805		24770	805																																	
3/31/2012 11:59:59 PM	6039	2667	9459	723		8736	723																																	
3/31/2012 11:59:59 PM	6141	734	5479	345		5134	345																																	
3/31/2012 11:59:59 PM	6329	10215	36066	4171		31895	4171																																	
3/31/2012 11:59:59 PM	7009	50967	52275	0		52019	256																																	
3/31/2012 11:59:59 PM	7045	13169	16548	954		15594	954																																	
3/31/2012 11:59:59 PM	7072	25167	25152	1123		24029	1123																																	
3/31/2012 11:59:59 PM	7157	3942	4675	333		4342	333																																	
3/31/2012 11:59:59 PM	7456	1065	5467	402		5065	402																																	
3/31/2012 11:59:59 PM	7634	-2735	6034	509		5525	509																																	
3/31/2012 11:59:59 PM	8033	10830	17154	1074		16080	1074																																	
3/31/2012 11:59:59 PM	8462	14038	15226	488		14738	488																																	
3/31/2012 11:59:59 PM	8631	5299	7062	463		6599	463																																	
3/31/2012 11:59:59 PM	9357	15561	45787	3020		42767	3020																																	
3/31/2012 11:59:59 PM	9553	7615	9947	732		9215	732																																	
3/31/2012 11:59:59 PM	9807	133304	293463	27887		265576	27887																																	
3/31/2012 11:59:59 PM	9955	9680	13509	846		12663	846																																	
3/31/2012 11:59:59 PM	10250	-3816	22209	3533		18676	3533																																	
3/31/2012 11:59:59 PM	10849	11055	28068	2316		25752	2316																																	
3/31/2012 11:59:59 PM	10858	16804	33944	2588		31348	2596																																	
3/31/2012 11:59:59 PM	11145	11333	18304	1421		16883	1421																																	
3/31/2012 11:59:59 PM	11275	50637	147422	13267		134155	13267																																	
3/31/2012 11:59:59 PM	11640	5797	35100	2933		32167	2933																																	
3/31/2012 11:59:59 PM	11837	337	11674	592		11082	592																																	
3/31/2012 11:59:59 PM	12030	37804	41332	2928		38404	2928																																	
3/31/2012 11:59:59 PM	12142	5696	21650	1454		20196	1454																																	
3/31/2012 11:59:59 PM	12179	6635	6868	309		6559	309																																	
