Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2018 11:59:59 PM	37	24.21	5.29	7.09	66.25	6.8	42.41	12.09	0	0	2.82	0	2.82	59.15	0	2.95	0	0	73.14	3.33	69.82	81.22	12.66	68.56	48.24	65.96	24.9	15.1	0	15.1	
3/31/2018 11:59:59 PM	242	21.01	0	1.66	63.02	0.18	7.78	0.18	0	0	0	0	0	27.49	0	8.39	0	0	31.93	5.19	26.74	52.52	9.63	42.89	58.67	183.74	-26.74	0	0	0	
3/31/2018 11:59:59 PM	279	70.26	26.28	40.39	19.72	1.58	10.62	27.86	0	0	0	0.01	0.01	7.32	20.16	1.49	-0.51	-3.8	82.93	4.18	78.75	86.03	18.92	67.11	42.27	50.96	40.67	0	0.09	0.09	
3/31/2018 11:59:59 PM	354	4.64	0.68	1.23	46.87	0	0.24	0.68	0	0	0	0	0	1.66	8.66	2.02	0.05	0.32	7.44	0	7.44	11.23	0.48	10.76	61.01	820.12	-53.57	0	0	0	
3/31/2018 11:59:59 PM	457	18.43	0.01	0.07	65.45	2.52	0.67	2.52	0	0	0	0	0	0.51	0.1	12.48	0.01	0.08	23.21	10.52	12.7	46.2	16.57	29.63	60.91	262.38	-37.7	0	0	0	
3/31/2018 11:59:59 PM	505	39.75	19.33	17.7	53.61	2.43	21.54	21.76	0.09	0.09	0	0.01	0.01	14.36	0	28.54	0	0	70.4	0.15	70.25	75.89	1.29	74.61	79.48	112.89	-9.08	0	0.11	0.11	
3/31/2018 11:59:59 PM	1155	16.03	0	1.05	69.84	0.1	10.03	0.1	0	0	0	0	0	10.82	0.01	15.99	0	0	36.47	0.53	35.94	55.8	9.48	46.32	63.72	174.73	-27.25	0	0	0	
3/31/2018 11:59:59 PM	1351	13.6	0	1.23	79.34	0	9.51	0	0.43	0.25	0	0	0	3.38	29.71	3.3	-0.62	-3.74	36.13	0	36.13	53.99	11.98	42.01	38.92	107.73	-2.79	0	0	0	
3/31/2018 11:59:59 PM	1454	12.77	4.85	6.64	78.97	6.32	24.58	11.17	0.32	0.32	11.98	0	11.98	56.08	0	9.47	0	0	58.54	0.7	57.84	77.11	3.23	73.88	76.31	130.36	-17.77	99.12	0	99.12	
