Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2018 11:59:59 PM	37	0	1019	1	0	0	0	0			3.96	3.96	24946	12.9	0.02	0.02	6.29	0		0	0	0			0			0		0		0			0	0	0	0	0	0				
3/31/2018 11:59:59 PM	242	0	184	1	0	0	0	0			0.73	0.73	25821	30.77	0.02	0.02	0.3	0			0	0			0		0	0		0		0					0	0	0	0				
3/31/2018 11:59:59 PM	279	3	970	5	0	0	0	0.01	110.67	80.83	0.71	0.71	138661	53.33	0.01	0.01	1.08	0.01		0	0	0.01	0	0	0			-0.26	0	0.24		0		0	0	0	0	0.01	0	0				
3/31/2018 11:59:59 PM	354	-3	126	0	0	0	0	-0.34			3.5	3.5	3503	16.22	0	0.34	2.38	0			0	0			0		0	0		-1.52		-16				0		0		-2.14				
3/31/2018 11:59:59 PM	457	31	485	47	0	0	0	0.3	6.61	3.91	1.17	1.17	41359	1280	0.45	0.15	0.42	0.4		0	1.28	0	0	0	0		0.78	0		-1.51		0		0	0	0	0	0	0	0				
3/31/2018 11:59:59 PM	505	-6	5001	1	0	0	0.12	-0.01			1.25	1.25	399614	34.57	0	0.01	1.86	0	0	0		0	0	0	0			-0.05		-0.03		0.03		0	0	0	0	-0.01	0	-0.24				
3/31/2018 11:59:59 PM	1155	-165	3470	8	0	0	0.26	-0.37			1.98	1.98	176130	1081.25	0.02	0.39	7.75	-0.56		-0.19	0	-0.01	0	0	-1.61		0	-0.06		-1.06	-0.79	0.27		0	-0.28	-2.49	0	-0.01	0	0				
3/31/2018 11:59:59 PM	1351	72	1218	120	0	0	0.24	0.32	9.47	4.23	1.32	1.32	90414	28.24	0.53	0.21	0.91	0		0	0	0			0		-0.12	1.38		0		0		0	0	0		0		-0.08				
3/31/2018 11:59:59 PM	1454	36	3328	50	0	0	0	0.06	62.5	23.11	1.31	1.31	256037	25.34	0.08	0.02	29.19	0	0	0	0	0	0	0	0		0	0.35	0	0.14		57.14		0	0	0	0	0	0	0.1				
