Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2018 11:59:59 PM	37	10278	15756	521		15235	521	-496	-753				0	0	4700	0	14482	0	0	0		0	15235	0	0	0	15235	0	0	0	0	0	0	0	0	0	521	0	0	
3/31/2018 11:59:59 PM	242	5097	5521	184		5337	184	-125	-125				0	0	240	0	5212	0	0	0		0	5337	0	0	0	5337	0	0	0	0	0	0	0	0	0	184	0	0	
3/31/2018 11:59:59 PM	279	29360	30331	970		29361	970	-229	-229				0	0	1	0	29132	0	0	0		0	29361	0	0	0	29361	0	0	0	0	0	0	0	0	0	970	0	0	
3/31/2018 11:59:59 PM	354	305	1318	52		1266	52	-6	-6				0	0	1036	0	1335	0	0	75		0	1266	0	0	0	1266	0	0	0	0	0	0	0	0	0	52	0	0	
3/31/2018 11:59:59 PM	457	1061	5546	485		5061	485	0	0				0	0	4000	0	5061	0	0	0		0	5061	0	0	0	5061	0	0	0	0	0	0	0	0	0	485	0	0	
3/31/2018 11:59:59 PM	505	24412	45054	4675		40379	4675	-3417	-3417				0	0	17133	0	38128	1189	0	0		0	40356	0	0	0	40356	0	0	23	23	0	23	0	0	0	4675	0	0	
3/31/2018 11:59:59 PM	1155	14889	23781	2392		21389	2392	-347	-347				0	0	6500	0	21042	0	0	0		0	21389	0	0	0	21389	0	0	0	0	0	0	0	0	0	2392	0	0	
3/31/2018 11:59:59 PM	1351	24411	26399	1218		25181	1218	-164	-164				0	0	770	0	25017	0	0	0		0	25181	0	0	0	25181	0	0	0	0	0	0	0	0	0	1218	0	0	
3/31/2018 11:59:59 PM	1454	83453	89022	3328		85667	3355	-9231	-9231				0	0	2214	0	76436	0	0	0		0	85667	0	0	0	85667	0	0	0	0	0	0	0	0	0	3355	0	27	
3/31/2018 11:59:59 PM	1669	44811	47763	1711		46052	1711	-916	-557				0	0	1600	0	45495	0	0	0		0	46052	0	0	0	46052	0	0	0	0	0	0	0	0	0	1711	0	0	
3/31/2018 11:59:59 PM	1856	-270	14995	581		14414	581	-835	-835				0	0	14782	0	13677	98	0	0		0	14414	0	0	0	14414	0	0	0	0	0	0	0	0	0	581	0	0	
3/31/2018 11:59:59 PM	2040	17900	24231	2001		22230	2001	-171	249				0	0	4750	0	22479	0	0	0		0	22230	0	0	0	22230	0	0	0	0	0	0	0	0	0	2001	0	0	
3/31/2018 11:59:59 PM	2161	14132	17436	948		16488	948	29	29				0	0	2356	0	16517	0	0	0		0	16488	0	0	0	16488	0	0	0	0	0	0	0	0	0	948	0	0	
3/31/2018 11:59:59 PM	2376	455434	530406	30473		499933	30473	9080	9079				0	0	44498	0	509012	0	0	0		0	499933	0	0	0	499933	0	0	0	0	0	0	0	0	0	30473	0	0	
3/31/2018 11:59:59 PM	2554	289	1475	150		1325	150	-21	-21				0	0	1325	0	1593	289	0	0		0	1325	0	0	0	1325	0	0	0	0	0	0	0	0	0	150	0		
3/31/2018 11:59:59 PM	2732	85474	94846	4695		90151	4695	-341	-341				0	0	5789	0	90922	0	1112	0		0	90151	0	0	0	90151	0	0	0	0	0	0	0	0	0	4695	0	0	
3/31/2018 11:59:59 PM	2750	499	7699	580		7119	580	-261	-65				0	0	6816	0	7054	0	0	0		0	7119	0	0	0	7119	0	0	0	0	0	0	0	0	0	580	0	0	
3/31/2018 11:59:59 PM	3252	24929	26899	1470		25429	1470	-945	-945				0	0	500	0	24484	0	0	0		0	25429	0	0	0	25429	0	0	0	0	0	0	0	0	0	1470	0	0	
3/31/2018 11:59:59 PM	3458	3433	5017	383		4634	383	-33	-33				0	0	1201	0	4601	0	0	0		0	4634	0	0	0	4634	0	0	0	0	0	0	0	0	0	383	0	0	
3/31/2018 11:59:59 PM	3720	15955	38605	1650		36955	1650	-1491	-1491				0	0	21000	0	35464	0	0	0		0	36955	0	0	0	36955	0	0	0	0	0	0	0	0	0	1650	0	0	
3/31/2018 11:59:59 PM	3971	-55293	114519	8461		106058	8461	-779	-779				0	0	171278	0	115206	9913	0	14		0	106058	0	0	0	106058	0	0	0	0	0	0	0	0	0	8461	0	0	
3/31/2018 11:59:59 PM	4156	15229	23182	1879		21303	1879	-876	-876				0	0	7857	0	22210	1783	0	0		0	21303	0	0	0	21303	0	0	0	0	0	0	0	0	0	1879	0	0	
3/31/2018 11:59:59 PM	4231	4219	17597	655		16942	655	-1162	-1471				0	0	12600	0	15657	0	0	149		0	16979	0	37	37	16942	0	0	0	0	37	0	0	0	0	655	0	0	
3/31/2018 11:59:59 PM	4839	25322	45374	3337		42037	3337	-2108	-2108				0	0	16715	0	39929	0	0	0		0	42037	0	0	0	42037	0	0	0	0	0	0	0	0	0	3337	0	0	
3/31/2018 11:59:59 PM	5069	171642	185233	4985		180248	4985	2784	2807				0	0	8629	0	183055	0	0	0		0	180248	0	0	0	180248	0	0	0	0	0	0	0	0	0	4985	0	0	
3/31/2018 11:59:59 PM	5135	42611	69022	4317		64705	4317	-780	1126				0	0	25042	0	66873	1042	0	0		0	64705	0	0	0	64705	0	0	0	0	0	0	0	0	0	4317	0	0	
3/31/2018 11:59:59 PM	5210	105841	155600	13498		142102	13498	-8362	-8364				0	0	48151	0	145630	10275	1617	0		0	142102	0	0	0	142102	0	0	0	0	0	0	0	0	0	13498	0		
3/31/2018 11:59:59 PM	5461	52566	64581	5715		58866	5715	-2346	-2346				0	0	6300	0	56520	0	0	0		0	58866	0	0	0	58866	0	0	0	0	0	0	0	0	0	5715	0	0	
3/31/2018 11:59:59 PM	5751	24388	34404	1917		32487	1917	-19	-19				0	0	9352	0	33721	1089	164	0		0	32487	0	0	0	32487	0	0	0	0	0	0	0	0	0	1917	0	0	
3/31/2018 11:59:59 PM	6039	-1962	31633	2558		29075	2558	-243	-243				0	0	31037	0	28832	0	0	0		0	29075	0	0	0	29075	0	0	0	0	0	0	0	0	0	2558	0	0	
3/31/2018 11:59:59 PM	6329	40794	72035	7288		64747	7288	-136	-136				0	0	25000	0	65658	0	0	1047		0	64747	0	0	0	64747	0	0	0	0	0	0	0	0	0	7288	0	0	
3/31/2018 11:59:59 PM	7009	73013	75187	0		74065	1122	488	488				0	0	1052	0	74553	0	0	0		0	74065	0	0	0	74065	0	0	0	0	0	0	0	0	0	1122	0	1122	
3/31/2018 11:59:59 PM	7045	18078	21605	1102		20503	1102	-2292	-2292				0	0	2425	0	18211	0	0	0		0	20503	0	0	0	20503	0	0	0	0	0	0	0	0	0	1102	0	0	
3/31/2018 11:59:59 PM	7072	31341	29741	1868		27873	1868	-336	-336				0	0	4061	0	35066	3707	1051	2771		0	27873	0	0	0	27873	0	0	0	0	0	0	0	0	0	1868	0		
3/31/2018 11:59:59 PM	7456	2188	8557	869		7688	869	-5	-5				0	0	5500	0	7683	0	0	0		0	7688	0	0	0	7688	0	0	0	0	0	0	0	0	0	869	0	0	
3/31/2018 11:59:59 PM	7634	926	9759	573		9186	573	-265	-265				0	0	8260	0	8921	0	0	0		0	9186	0	0	0	9186	0	0	0	0	0	0	0	0	0	573	0	0	
3/31/2018 11:59:59 PM	8033	28268	35355	1248		34107	1248	-73	88				0	0	6000	0	34195	0	0	0		0	34107	0	0	0	34107	0	0	0	0	0	0	0	0	0	1248	0	0	
3/31/2018 11:59:59 PM	8462	21340	22988	948		22040	948	-1528	-1528				0	0	700	0	20512	0	0	0		0	22040	0	0	0	22040	0	0	0	0	0	0	0	0	0	948	0	0	
3/31/2018 11:59:59 PM	8631	5595	7322	427		6895	427	-234	-234				0	0	1300	0	6661	0	0	0		0	6895	0	0	0	6895	0	0	0	0	0	0	0	0	0	427	0	0	
3/31/2018 11:59:59 PM	9357	28767	60486	3314		57172	3314	-1359	-1351				0	0	55160	0	82568	26747	0	0		0	57172	0	0	0	57172	0	0	0	0	0	0	0	0	0	3314	0	0	
3/31/2018 11:59:59 PM	9553	12939	16046	1007		15039	1007	-908	-908				0	0	2100	0	14131	0	0	0		0	15039	0	0	0	15039	0	0	0	0	0	0	0	0	0	1007	0		
3/31/2018 11:59:59 PM	9807	224479	383151	26400		356751	26400	-2149	-2149				0	0	132272	0	354602	0	0	0		0	356751	0	0	0	356751	0	0	0	0	0	0	0	0	0	26400	0		
3/31/2018 11:59:59 PM	9955	16130	20471	1208		19263	1208	-423	-423				0	0	3133	0	18840	0	0	0		0	19263	0	0	0	19263	0	0	0	0	0	0	0	0	0	1208	0	0	
3/31/2018 11:59:59 PM	10250	6590	42009	3119		38890	3119	-1972	-1972				0	0	32300	0	36918	0	0	0		0	38890	0	0	0	38890	0	0	0	0	0	0	0	0	0	3119	0	0	
3/31/2018 11:59:59 PM	10849	11989	26955	1149		25806	1149	-2093	-2093				0	0	15391	0	25287	694	0	704		0	25982	0	176	176	25806	0	0	0	0	176	0	0	0	0	1149	0	0	
3/31/2018 11:59:59 PM	11145	10761	24622	2311		22311	2311	-201	-201				0	0	12000	0	22560	450	0	0		0	22311	0	0	0	22311	0	0	0	0	0	0	0	0	0	2311	0		
3/31/2018 11:59:59 PM	11640	4918	48391	3578		44813	3578	-1489	-1489				0	0	39895	0	43324	0	0	0		0	44813	0	0	0	44813	0	0	0	0	0	0	0	0	0	3578	0	0	
3/31/2018 11:59:59 PM	11837	2255	14928	673		14255	673	-993	-993				0	0	12000	0	13262	0	0	0		0	14255	0	0	0	14255	0	0	0	0	0	0	0	0	0	673	0	0	
3/31/2018 11:59:59 PM	12030	54681	58360	3203		55157	3203	-62	62				0	0	600	0	55219	0	0	0		0	55157	0	0	0	55157	0	0	0	0	0	0	0	0	0	3203	0	0	
3/31/2018 11:59:59 PM	12142	8656	26199	1643		24556	1643	-3599	-3599				0	0	15900	0	20957	0	0	0		0	24556	0	0	0	24556	0	0	0	0	0	0	0	0	0	1643	0		
3/31/2018 11:59:59 PM	12179	7825	7965	140		7825	140	-6	-6				0	0	0	0	7819	0	0	0		0	7825	0	0	0	7825	0	0	0	0	0	0	0	0	0	140	0	0	
