Reporting Period	ID RSSD	UBPRB705	UBPRB706	UBPRB707	UBPRB708	UBPRB710	UBPRB712	UBPRB713	UBPRB714	UBPRB715	UBPRB717	UBPRB719	UBPRB720	UBPRB721	UBPRB722	UBPRB724	UBPRE711	UBPRE712	UBPRE713	UBPRE714	UBPRE715	UBPRE716	UBPRE717	UBPRE718	UBPRE719	UBPRE720	UBPRE721	UBPRE722	UBPRE723	UBPRE724	UBPRE725	UBPRE726	UBPRE727	UBPRE728	UBPRE729	UBPRE730	UBPRE731	UBPRE732	UBPRE733	UBPRE734	UBPRE735	UBPRE736	UBPRE737	UBPRE738	UBPRE739	UBPRE740	UBPRE741	UBPRE742	UBPRE743	UBPRE744	UBPRE745	UBPRE746	UBPRE747	UBPRE748	UBPRE749	UBPRE750	UBPRE751	UBPRE752	UBPRE753	UBPRE754	UBPRE755	UBPRE756	UBPRE757	UBPRE758	UBPRE759	UBPRE760	UBPRE761	UBPRE762	UBPRE763	UBPRE764	UBPRE765	UBPRE766	UBPRE767	UBPRE768	UBPRE769	UBPRE770	UBPRE771	UBPRE772	UBPRE773	UBPRE774	UBPRE775	UBPRE776	UBPRE777	UBPRE778	UBPRE779	UBPRE780	UBPRE781	UBPRE782	UBPRE783	UBPRE784	UBPRE785	UBPRE786	UBPRE787	UBPRE788	UBPRE789	UBPRE790	UBPRE791	UBPRE792	UBPRE793	UBPRE794	UBPRE795	UBPRE796	UBPRE797	UBPRE798	UBPRE799	UBPRE800	UBPRE801	
3/31/2018 11:59:59 PM	3720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				25.18	1.64	0	5.28	9.55	58.35																																																													
3/31/2018 11:59:59 PM	3971																0															0										17.17																																																																		
3/31/2018 11:59:59 PM	4156																0															0										26.15																																																																		
3/31/2018 11:59:59 PM	4231																0															0										18.27																																																																		
3/31/2018 11:59:59 PM	4839																0															0										11.37																																																																		
3/31/2018 11:59:59 PM	5069																0															0										18.92																																																																		
3/31/2018 11:59:59 PM	5135																0															0										25.67																																																																		
3/31/2018 11:59:59 PM	5210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.74	8.44	0	0.69	4.91	52.22																																																													
3/31/2018 11:59:59 PM	5461																0															0										9.3																																																																		
3/31/2018 11:59:59 PM	5751																0															0										18.17																																																																		
3/31/2018 11:59:59 PM	6039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				14.54	0.42	0.26	3.17	8.62	72.99																																																													
3/31/2018 11:59:59 PM	6329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				20.1	0.46	0	33.56	7.65	38.24																																																													
3/31/2018 11:59:59 PM	7009																0															0										0																																																																		
3/31/2018 11:59:59 PM	7045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				44.83	0.97	0.63	13.5	6.3	33.76																																																													
3/31/2018 11:59:59 PM	7072																0															0										62.95																																																																		
3/31/2018 11:59:59 PM	7456																0															0										8.2																																																																		
3/31/2018 11:59:59 PM	7634																0															0										28.18																																																																		
3/31/2018 11:59:59 PM	8033																0															0										44.85																																																																		
3/31/2018 11:59:59 PM	8462																0															0										17.31																																																																		
3/31/2018 11:59:59 PM	8631																0															0										43.58																																																																		
3/31/2018 11:59:59 PM	9357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				23.73	0.5	0	0.93	33.56	41.28																																																													
3/31/2018 11:59:59 PM	9553																0															0										8.12																																																																		
