Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2018 11:59:59 PM	37		0	15756		521	6858	14677	0	521	498			2822		0	15235	15756		41401	0	241	4	245	0	41645		41147			23902	
3/31/2018 11:59:59 PM	242		0	5521		184	3501	16711	0	184	0			2591		0	5337	5521		25385	0	0	15	15	0	25401		25401			5050	
3/31/2018 11:59:59 PM	279		0	30331		970	266	47950	0	970	0			11790		0	29361	30331		115266	0	0	645	645	0	115911		115911			55526	
3/31/2018 11:59:59 PM	354		0	1318		52	1898	3136	75	52	74			618		0	1266	1318		4179	0	0	0	0	0	4179		4105			200	
3/31/2018 11:59:59 PM	457		0	5546		485	4402	32753	0	485	0			269		0	5061	5546		39314	0	0	1632	1632	0	40946		40946			4726	
3/31/2018 11:59:59 PM	505		0	45054		4675	14088	231816	0	4675	418			14883		1189	40379	45054		341232	0	1561	18014	32747	0	373979		373561			94181	
3/31/2018 11:59:59 PM	1155		0	23781		2392	17242	143577	0	2392	1078			5783		0	21389	23781		180827	486	255	8442	10568	3021	191396		190318			19660	
3/31/2018 11:59:59 PM	1351		0	26399		1218	0	90326	0	1218	0			7312		0	25181	26399		111001	168	0	783	951	0	111952		111952			11266	
3/31/2018 11:59:59 PM	1454		0	89022		3328	84626	174725	0	3355	0			71175		0	85667	89022		300401	0	2894	50	2944	15087	303345		303345			52827	
3/31/2018 11:59:59 PM	1669		0	47763		1711	45509	78014	0	1711	1193			20630		0	46052	47763		133899	0	0	2974	2974	0	136873		135680			34404	
3/31/2018 11:59:59 PM	1856		0	14995		581	16981	29939	0	581	0			11220		98	14414	14995		49371	0	0	4562	4562	0	53934		53934			3992	
3/31/2018 11:59:59 PM	2040		0	24231		2001	18309	122712	0	2001	769			4460		0	22230	24231		152516	0	0	7575	7575	0	160091		159322			24048	
3/31/2018 11:59:59 PM	2161		0	17436		948	2591	69873	0	948	0			8391		0	16488	17436		98202	0	0	0	0	1571	98202		98202			19938	
3/31/2018 11:59:59 PM	2376		0	530406		30473	18831	3402220	0	30473	0			75329		0	499933	530406		3691930	3705	0	12845	16550	200800	3708480		3708480			172739	
3/31/2018 11:59:59 PM	2554		0	1475		150	0	9962	0	150	11			495		289	1325	1475		11626	0	0	445	445	0	12071		12060			963	
3/31/2018 11:59:59 PM	2732		0	94846		4695	60839	389563	0	4695	0			16846		1112	90151	94846		439257	0	0	35814	35814	0	475071		475071			29563	
3/31/2018 11:59:59 PM	2750		0	7699		580	1974	40585	0	580	292			1195		0	7119	7699		46470	0	0	0	0	0	46471		46179			1663	
3/31/2018 11:59:59 PM	3252		0	26899		1470	24667	90649	0	1470	2416			14052		0	25429	26899		114465	0	0	3107	3107	0	117573		115157			2679	
3/31/2018 11:59:59 PM	3458		0	5017		383	3738	31138	0	383	0			1889		0	4634	5017		37590	0	0	1092	1092	0	38682		38682			3450	
3/31/2018 11:59:59 PM	3720		0	38605		1650	52270	110761	0	1650	0			14839		0	36955	38605		148051	0	0	16822	16822	0	164873		164873			17502	
3/31/2018 11:59:59 PM	3971		0	114519		8461	59555	509468	14	8461	1729			12980		9913	106058	114519		603177	49	5244	64010	73712	0	676888		675159			66423	
3/31/2018 11:59:59 PM	4156		0	23182		1879	8317	107753	0	1879	72			9189		1783	21303	23182		143894	0	0	5592	6467	0	150362		150290			25855	
3/31/2018 11:59:59 PM	4231		0	17597		655	28252	38333	149	655	0			7877		0	16942	17597		53120	0	0	352	352	0	53472		53472			6910	
3/31/2018 11:59:59 PM	4839		0	45374		3337	17755	219902	0	3337	978			13873		0	42037	45374		256257	1014	0	9661	10675	7123	266934		265956			14306	
3/31/2018 11:59:59 PM	5069		0	185233		4985	71212	349755	0	4985	7497			2028		0	180248	185233		388400	0	0	4964	10393	0	398793		391296			773	
3/31/2018 11:59:59 PM	5135		0	69022		4317	79907	275019	0	4317	205			4395		1042	64705	69022		329928	0	0	15446	15446	0	345375		345170			48773	
3/31/2018 11:59:59 PM	5210		0	155600		13498	52765	820897	0	13498	0			55954		11892	142102	155600		1108268	0	0	2311	11069	26400	1119338		1119338			218023	
3/31/2018 11:59:59 PM	5461		0	64581		5715	48031	392461	0	5715	602			30472		0	58866	64581		445153	0	0	12051	12051	0	457205		456603			19789	
3/31/2018 11:59:59 PM	5751		0	34404		1917	7365	111925	0	1917	263			9762		1253	32487	34404		144181	0	0	9210	9210	0	153392		153129			17643	
3/31/2018 11:59:59 PM	6039		0	31633		2558	12192	167560	0	2558	287			12950		0	29075	31633		194175	0	0	10456	10456	0	204631		204344			13665	
3/31/2018 11:59:59 PM	6329		0	72035		7288	39758	478467	1047	7288	2846			10852		0	64747	72035		569481	0	1705	11930	13635	0	583116		580270			58410	
3/31/2018 11:59:59 PM	7009		0	75187		0	445809	249136	0	1122	0			33203		0	74065	75187		328635	0	145	0	145	0	328780		328780			1375	
3/31/2018 11:59:59 PM	7045		0	21605		1102	15122	49814	0	1102	0			18114		0	20503	21605		96559	0	0	1640	1640	0	98199		98199			28631	
3/31/2018 11:59:59 PM	7072		0	29741		1868	4651	101152	2771	1868	0			5126		4758	27873	29741		204683	0	0	6516	6516	0	211199		211199			88299	
3/31/2018 11:59:59 PM	7456		0	8557		869	5086	66430	0	869	0			3204		0	7688	8557		71774	0	0	38	38	0	71812		71812			2140	
3/31/2018 11:59:59 PM	7634		0	9759		573	7359	34215	0	573	451			2301		0	9186	9759		45339	0	0	515	515	0	45854		45403			7933	
3/31/2018 11:59:59 PM	8033		0	35355		1248	12872	98187	0	1248	0			4046		0	34107	35355		182160	0	0	8130	8130	0	190290		190290			61645	
3/31/2018 11:59:59 PM	8462		0	22988		948	17569	47875	0	948	134			20952		0	22040	22988		73719	0	0	2080	2080	0	75800		75666			4893	
3/31/2018 11:59:59 PM	8631		0	7322		427	6264	26479	0	427	0			3464		0	6895	7322		37716	0	50	745	795	0	38511		38511			7773	
3/31/2018 11:59:59 PM	9357		0	60486		3314	5597	243525	0	3314	0			21414		26747	57172	60486		310418	0	2226	2123	4349	0	314767		314767			45479	
3/31/2018 11:59:59 PM	9553		0	16046		1007	7062	85990	0	1007	0			11511		0	15039	16046		105763	0	0	6554	7358	0	113122		113122			5256	
3/31/2018 11:59:59 PM	9807		0	383151		26400	225020	1307181	0	26400	4618			33382		0	356751	383151		1918957	0	298	165954	193022	29647	2111979		2107361			229736	
3/31/2018 11:59:59 PM	9955		0	20471		1208	18276	77882	0	1208	347			10689		0	19263	20471		92334	0	0	3608	4320	0	96654		96307			3763	
3/31/2018 11:59:59 PM	10250		0	42009		3119	15232	233321	0	3119	0			22781		0	38890	42009		287172	0	0	5493	5493	0	292666		292666			26776	
3/31/2018 11:59:59 PM	10849		0	26955		1149	63396	121212	704	1149	0			12264		694	25806	26955		152097	1113	0	51	1164	0	153261		153261			17310	
3/31/2018 11:59:59 PM	11145		0	24622		2311	17889	150631	0	2311	0			4877		450	22311	24622		192418	0	0	1483	1483	0	193902		193902			33162	
3/31/2018 11:59:59 PM	11640		0	48391		3578	52098	193330	0	3578	121			16688		0	44813	48391		257137	0	0	25681	29101	0	286239		286118			29751	
3/31/2018 11:59:59 PM	11837		0	14928		673	9908	40170	0	673	155			7493		0	14255	14928		53328	0	0	472	472	0	53801		53646			5351	
3/31/2018 11:59:59 PM	12030		0	58360		3203	66954	197660	0	3203	6101			10065		0	55157	58360		246763	0	0	9464	9464	0	256227		250126			31079	
3/31/2018 11:59:59 PM	12142		0	26199		1643	11328	94425	0	1643	0			17482		0	24556	26199		137395	18	368	5023	5408	0	142804		142804			21186	
3/31/2018 11:59:59 PM	12179		0	7965		140	1133	15411	0	140	0			1138		0	7825	7965		27488	0	153	700	853	0	28341		28341			10271	
3/31/2018 11:59:59 PM	12311		0	11434731		802051	15818963	62424176	28825	1802658	0			1420357		2194798	9632073	11434731		73133908	19496	6106	8229410	8343729	169374	81477638		81477638			7574162	
3/31/2018 11:59:59 PM	12647		0	18315		1044	11394	80183	0	1044	0			7301		893	17271	18315		103533	0	0	3937	3937	0	107470		107470			15707	
3/31/2018 11:59:59 PM	12656		0	1957		120	413	5144	0	120	99			1095		0	1837	1957		9450	0	0	202	202	0	9652		9553			3211	
3/31/2018 11:59:59 PM	12937		0	37050		2033	49902	129288	0	2033	97			481		0	35017	37050		145193	0	595	16849	17444	0	162637		162540			14015	
3/31/2018 11:59:59 PM	12946		0	148942		14130	63106	820375	0	14130	3900			42706		15345	134812	148942		1066584	0	260	60724	63839	0	1130424		1126524			166123	
3/31/2018 11:59:59 PM	13103		0	269238		15314	8045	1083473	0	30596	0			30733		11479	238642	269238		1929334	0	11762	60814	72576	0	2001910		2001910			323900	
3/31/2018 11:59:59 PM	13251		0	5375		381	10085	18683	0	381	99			984		0	4994	5375		27509	0	0	446	3001	0	30510		30411			6088	
3/31/2018 11:59:59 PM	13457		0	6266		142	7144	7989	0	142	72			1972		0	6124	6266		10342	0	0	1051	1051	0	11393		11321			7	
3/31/2018 11:59:59 PM	14052		0	7490		513	8315	30981	0	513	0			2552		0	6977	7490		40671	0	0	3106	3106	0	43777		43777			6431	
3/31/2018 11:59:59 PM	14155		0	23549		2241	7700	127201	0	2241	315			2564		0	21308	23549		167221	0	5480	28	12083	0	179303		178988			37456	
3/31/2018 11:59:59 PM	14650		0	4533		299	4099	21113	0	299	315			1535		90	4234	4533		23403	0	0	559	559	0	23963		23648			531	
3/31/2018 11:59:59 PM	14753		0	5183		323	7805	21307	0	1300	179			2551		0	3883	5183		24483	0	0	1393	1393	0	25876		25697			589	
3/31/2018 11:59:59 PM	14865		0	43456		3672	25489	282695	322	3672	0			9160		218	39784	43456		330587	0	0	25567	25567	0	356154		356154			13220	
3/31/2018 11:59:59 PM	14977		0	9660		546	430	36357	0	546	37			1390		0	9114	9660		41819	0	0	1901	1901	0	43720		43683			4072	
3/31/2018 11:59:59 PM	16551		0	36285		3000	3889	179965	0	3000	0			11916		2884	33285	36285		239141	0	0	6855	7268	0	246409		246409			37338	
3/31/2018 11:59:59 PM	16748		0	9345		622	12681	32741	0	622	112			4418		0	8723	9345		45252	0	0	4489	4489	0	49741		49629			8093	
3/31/2018 11:59:59 PM	17110		0	24684		336	9215	109305	0	336	0			4350		0	24348	24684		114152	0	0	38697	38697	0	152850		152850			498	
3/31/2018 11:59:59 PM	17147		0	1040331		76420	116920	5457647	2234	76420	0			250036		467070	963911	1040331		7154376	29986	1560	703619	735165	0	7889541		7889541			899851	
3/31/2018 11:59:59 PM	17259		0	5803		176	7158	30888	0	176	0			434		0	5627	5803		42631	0	0	23	23	0	42655		42655			11235	
3/31/2018 11:59:59 PM	17950		0	48026		3285	55519	190636	0	3285	861			37887		3415	44741	48026		255886	0	0	6959	6959	0	262845		261984			26973	
3/31/2018 11:59:59 PM	17978		0	115082		1226	120311	34457	0	1226	219			8818		0	113856	115082		97345	0	0	790	790	0	98135		97916			53641	
3/31/2018 11:59:59 PM	18050		0	62773		4366	39643	228106	0	4366	409			38115		0	58407	62773		336304	0	166	7303	12972	0	349276		348867			53152	
3/31/2018 11:59:59 PM	18135		0	27079		1167	3136	99789	0	1167	0			33507		0	25912	27079		140219	0	0	3960	3960	0	144180		144180			4000	
3/31/2018 11:59:59 PM	18827		0	123172		6208	50253	610299	41	6241	0			28135		11868	116931	123172		944384	0	0	77312	77312	0	1021697		1021697			186627	
3/31/2018 11:59:59 PM	18836		0	18478		1246	6498	69067	0	1246	0			1648		0	17232	18478		105041	0	0	3262	3262	0	108304		108304			34322	
3/31/2018 11:59:59 PM	18854		0	82866		7143	151226	485861	0	7143	556			2131		1138	75723	82866		542812	0	0	28691	28691	55	571504		570948			21890	
3/31/2018 11:59:59 PM	19356		0	9406		795	2904	45866	0	795	311			3113		762	8611	9406		61795	0	0	1805	1805	15	63600		63289			12816	
3/31/2018 11:59:59 PM	19936		0	30040		2370	70231	150527	0	2370	1078			12501		0	27670	30040		180887	0	0	8590	8590	0	189477		188399			16582	
3/31/2018 11:59:59 PM	19972		0	19884		400	180	7605	0	400	0			9272		0	19484	19884		36765	0	0	0	0	0	36765		36765			19888	
3/31/2018 11:59:59 PM	20053		0	13979		1061	3428	58879	0	1061	129			3263		0	12918	13979		74550	0	0	3857	10332	0	84883		84754			10300	
3/31/2018 11:59:59 PM	20633		0	33887		2766	30392	182335	126	2766	157			8269		0	31121	33887		221069	118	0	100	218	588	221287		221130			19138	
3/31/2018 11:59:59 PM	20857		0	15286		832	7693	65376	0	832	0			10938		142	14454	15286		80542	0	0	8830	8830	0	89372		89372			3763	
3/31/2018 11:59:59 PM	21256		0	1250		52	3961	2384	0	52	26			653		0	1198	1250		4125	0	0	38	38	0	4163		4137			976	
3/31/2018 11:59:59 PM	21359		0	5813		359	12810	24683	0	359	0			2050		228	5454	5813		29768	0	0	1332	1332	0	31100		31100			3035	
3/31/2018 11:59:59 PM	21658		0	18262		1507	7954	92464	0	1507	352			6979		0	16755	18262		116152	0	0	4410	4410	115	120562		120210			16165	
3/31/2018 11:59:59 PM	22048		0	22444		1608	13273	130842	0	1608	0			5303		0	20836	22444		156598	0	0	5558	5558	0	162157		162157			20326	
3/31/2018 11:59:59 PM	22543		0	14348		642	3612	62418	0	642	0			1781		0	13706	14348		92200	0	0	7234	7234	0	99435		99435			25603	
3/31/2018 11:59:59 PM	22552		0	10159		1155	4619	80647	0	1155	206			1502		0	9004	10159		90024	0	0	2351	2351	0	92376		92170			5084	
3/31/2018 11:59:59 PM	22730		0	16351		1285	40200	67674	0	1285	0			10576		0	15066	16351		97807	835	260	2072	5491	1786	103298		103298			15828	
3/31/2018 11:59:59 PM	22936		0	17283		1199	37669	81967	2877	1199	0			8617		0	16084	17283		107581	0	23	4543	4566	0	112147		112147			16102	
3/31/2018 11:59:59 PM	23456		0	26677		1627	4652	100593	0	1627	0			12785		0	25050	26677		133631	0	0	5246	5246	0	138877		138877			16411	
3/31/2018 11:59:59 PM	23504		0	448979		33088	216149	2572487	0	33088	0			149238		108730	415891	448979		3203532	450	0	240732	241182	1710	3444714		3444714			420799	
3/31/2018 11:59:59 PM	23643		0	21819		1243	1853	95349	0	1243	0			14395		0	20576	21819		135778	0	0	3161	3161	0	138940		138940			22718	
3/31/2018 11:59:59 PM	23755		0	20045		1491	10345	88400	0	1491	0			11623		73	18554	20045		125636	0	0	9037	9675	5	135311		135311			20751	
3/31/2018 11:59:59 PM	24006		0	202158		4624	68094	660317	0	4624	0			87444		6569	197534	202158		894818	0	815	38027	38842	0	933660		933660			143080	
3/31/2018 11:59:59 PM	24378		0	7466		198	11713	6614	0	198	0			853		0	7268	7466		27611	0	188	168	356	0	27967		27967			20144	
3/31/2018 11:59:59 PM	24453		0	34719		2726	33001	167560	0	2726	307			1502		2414	31993	34719		206916	0	155	11047	11202	13	218118		217811			37488	
3/31/2018 11:59:59 PM	24659		0	6676		481	4954	30017	0	481	54			5884		0	6195	6676		38458	0	0	25	25	0	38484		38430			2366	
