Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2018 11:59:59 PM	37	0	6858	14677	0	498	2822	41401	0	241	4	245	0	41645	41147	23902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	242	0	3501	16711	0	0	2591	25385	0	0	15	15	0	25401	25401	5050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	279	0	266	47950	0	0	11790	115266	0	0	645	645	0	115911	115911	55526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	354	0	1898	3136	0	74	618	4179	0	0	0	0	0	4179	4105	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	457	0	4402	32753	0	0	269	39314	0	0	1632	1632	0	40946	40946	4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1566		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	505	0	14088	231816	0	418	14883	341232	0	1561	18014	32747	0	373979	373561	94181	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	13172	0		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	1155	0	17242	143577	0	1078	5783	180827	486	255	8442	10568	3021	191396	190318	19660	0	0	0	0	0	0	0	0	1386	0	0	0	0	0	0	0	0	11807		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	1351	0	0	90326	0	0	7312	111001	168	0	783	951	0	111952	111952	11266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2097		0	0	0	0	0	0	0	0	0	0	
3/31/2018 11:59:59 PM	1454	0	84626	174725	0	0	71175	300401	0	2894	50	2944	15087	303345	303345	52827	0	0	0	0	1270	0	0	0	0	0	1270	0	0	0	0	0	0	878		108	688	0	0	0	0	0	0	0	0	
