Reporting Period	ID RSSD	UBPRD638	UBPRE389	UBPRE393	UBPRE394	UBPRE396	UBPRE414	UBPRE415	UBPRE416	UBPRE417	UBPRE418	UBPRE419	UBPRE420	UBPRE421	UBPRE422	UBPRE423	UBPRE424	UBPRE425	UBPRE426	UBPRE428	UBPRE429	UBPRE430	UBPRE431	UBPRE432	UBPRE433	UBPRE434	UBPRE435	UBPRE436	UBPRE437	UBPRE438	UBPRE439	UBPRE440	UBPRE441	UBPRE442	UBPRE443	UBPRE444	UBPRE445	UBPRE446	UBPRE447	UBPRE448	UBPRFB71	UBPRFB72	UBPRFB74	UBPRFB75	UBPRFB76	UBPRFB77	
		RE_GNMA_FORCL_AA	LN_NFRM_NRES_LNLS	LN_1T4_CNSTRC_LNLS	LN_OTH_CNSTRC_LNLS	LN_NFRM_OWNROCC_LN	LN_CNSTRC_CYA_LNLS	LN_RE_LNLS_CYA_GRS	LN_HE_CYA_GRS	LN_RE_FARM_LNLS	LN_FAM_MULT_LNLS	LN_NFARM_LNLS	RE_TOT_CYA_LNLS	LN_FIN_CYA_LNLS	LN_FARM_CYA_LNLS	LN_CMID_CYA_LNLS	LN_DOM_IND_LNLS	LN_CRCD_CYA_LNLS	LN_SCM_DOM_LNLS	LN_OFC_FGN_LNLS	LN_DOM_CYA_LNLS	LS_DOM_RCV_LNLS	LN_GOVT_FGN_LNLS	LN_CML_RE_LNLS	CMT_EXTD_CR_QAL	LN_OFCR_SHLDR_QAL	LN_OFCR_SHLDR_ASET	RE_CSTRC_DV_A	RE_FMLD_ASET_A	RE_FAM_AVG_AA	RE_FAM_MULT_AA	RE_NFARM_NRSD_AA	RE_OFC_FGN_AA	RE_OTH_AA	RE_OTH_INV_AA	RE_OTH_TOT_AVG_AA	SRVC_1T4FAM_REC_TA	SRVC_1T4FAM_NRC_TA	SRVC_OTH_NREC_TA	SRVC_1T4OTH_TA	LOAN MIX 1-4 FAM 1ST LIEN LN	LOAN MIX 1-4 FAM JR LIEN LN	LOAN MIX RE LN IN FO	LOAN MIX AUTO LN	LOAN MIX LS IND	LOAN MIX OTHR LS	
3/31/2018 11:59:59 PM	2732	0	26.82	1.26	11.08	10.1	12.34	7.1	2.23	0	33.76	36.92	90.12	0	0	9.7	0.15	0	0	0	0.03	0		2.96	23.55	10.47	7.91	0	0	0	0	0		0	0	0				0	4.86	0		0.04			
3/31/2018 11:59:59 PM	2750	0	4.36	0.32	3.12	2.17	3.44	5.13	0	17.32	1.22	6.53	33.64	0	53.86	4.82	1.29	0	1.7	0	4.69	0		0	31.08	1.49	1.15	0	0	0	0	0		0	0	0				0	5.01	0.12		0.62			
3/31/2018 11:59:59 PM	3252	0	6.89	0	0.83	0	0.83	0.29	0	25.29	0	6.89	33.3	0	46.87	11.17	6.13	0	1.93	0	0.46	0.13		0	13.02	1.69	0.86	0	0.33	0	0	0.04		0.37	0	0.37				0	0.29	0		1.57			
3/31/2018 11:59:59 PM	3458	0	0.52	0.86	0	5.9	0.86	17.86	0	26.83	0.36	6.42	52.32	0	20.46	19.48	7.68	0	0.06	0	0	0		0	4.33	0	0	0	0	0	0	0		0	0	0				0	17.77	0.09		4.67			
3/31/2018 11:59:59 PM	3720	0	17.42	3.15	4.11	18.16	7.26	26.54	1.66	7.09	1.76	35.57	78.23	0	5.67	9.44	5.46	0	1.05	0	0.14	0		0.36	14.31	1.46	0.76	0.29	0	0	0	0.03		0.32	0	0.32	0	0	0	0	24.35	0.53		2.01			
3/31/2018 11:59:59 PM	3971	0	25.67	0.27	7.21	6.44	7.48	20.83	3.6	4.88	10.8	32.1	76.09	0	3.93	11.99	2.99	0	0	0	0	5		0.06	26.39	0	0	0.01	0	0.06	0	0		0.07	0	0.07				36.34	16.43	0.8		0.05			
3/31/2018 11:59:59 PM	4156	0	19.43	1.11	3.28	2.85	4.39	28.18	1.86	14.46	8.33	22.28	77.64	0	8.15	12.63	1.24	0	0	0	0	0.34		0	10.91	0	0	0	0	0.02	0	0		0.02	0	0.02				0	25.67	0.64		0.51			
3/31/2018 11:59:59 PM	4231	0	34.19	0	3.61	15.53	3.61	18.18	0	11.56	0	49.72	83.07	0	1.11	4.97	9.86	0	0.95	0	0.04	0		0	7.5	0.13	0.05	0	0	0	0	0.77		0.77	0	0.77				0	18.18	0		2.22			
3/31/2018 11:59:59 PM	4839	0	26.43	3.93	3.8	28.3	7.73	13.19	1.69	0	21.92	54.73	97.57	0	0	1.55	0.62	0	0	0	0.25	0		0	15.72	11.48	8.2	0	0	0.01	0	0.29		0.3	0	0.3				0	10.86	0.64		0.06			
3/31/2018 11:59:59 PM	5069	0	16.77	32.43	5.88	21.55	38.31	19.54	0.28	1.39	0.55	38.32	98.11	0	0	1.89	0	0	0	0	0	0		0	7.49	0	0	0	0	0	0	0.93		0.93	0	0.93				0	12.34	6.92		0			
3/31/2018 11:59:59 PM	5135	0	3.61	0.28	2.55	11.21	2.82	25.93	0	22.17	1.5	14.82	67.24	0	19.6	8.3	3.65	0.17	1.19	0	0.02	0		0	20.23	3.77	2.67	0	0	0	0	0		0.01	0	0.01				0	25.7	0.24		1.25			
3/31/2018 11:59:59 PM	5210	0	18.13	1.03	1.91	15.04	2.94	42.19	8.55	3.94	3.25	33.16	85.48	0	0.33	4.99	1.3	0	7.04	0	0.86	0		0	20.99	0.45	0.35	0	0	0.02	0	0.01		0.03	0	0.03	0	0	0.91	0.91	30.68	2.96		0.05	0	0	
3/31/2018 11:59:59 PM	5461	0	37.85	0.44	2.18	13.85	2.62	11.45	2.07	6.55	10.56	51.69	82.88	0	3.37	9.09	1.95	0	0	0	2.72	0		4.02	12.12	0.06	0.04	0	0	0	0	0.14		0.14	0	0.14				0	8.79	0.59		0.01			
3/31/2018 11:59:59 PM	5751	0	6.04	0.59	1.22	9.2	1.81	19.86	1.89	16.15	5.31	15.24	58.38	0	15.71	21.74	2.74	0	0.5	0	0.01	0.92		0	17.69	0.31	0.22	0	0	0.02	0	0		0.02	0	0.02				0	17.89	0.09		1.71			
3/31/2018 11:59:59 PM	6039	0	20.92	3.1	5.79	19.68	8.89	14.83	0.41	20.15	1.18	40.61	85.66	0	2.05	8.38	3.65	0.27	0	0	0.25	0		0	16.95	0.53	0.36	1.05	0	0.04	0	0.14		1.24	0	1.24	0	0	0	0	13.99	0.43		0.72			
3/31/2018 11:59:59 PM	6329	0	4.72	5.44	10.08	14.92	15.52	20.55	0.45	1.15	1.06	19.65	57.92	0	0.35	7.49	34.05	0	0.1	0	0.08	0		0	10.82	0.06	0.05	0.03	0	0.02	0	0.08		0.12	0	0.12	0	0	0	0	19.57	0.53		26.91	0	0	
3/31/2018 11:59:59 PM	7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.84	68.3	0	0	0	0.86	0		0	0	1.23	0.31	0	0	0	0	0		0	0	0				0	0	0		0			
3/31/2018 11:59:59 PM	7045	0	8.72	1.19	0.31	6.55	1.5	45.63	0.95	8.11	0	15.27	70.51	0	8.3	6.15	14.44	0.64	0.6	0	0	0		0	9.93	1.8	0.65	0	0	0	0	0.07		0.07	0	0.07	0	0	0	0	44.46	0.22		8.64			
3/31/2018 11:59:59 PM	7072	0	7.83	0.97	2.95	9.81	3.91	65.51	2.34	0.63	6.41	17.64	94.1	0	0.06	4.62	1.22	0	0	0	0	0		0	8.05	0.22	0.18	0.03	0	0.12	0	0.08		0.22	0	0.22				54.63	61.17	2		0.03			
3/31/2018 11:59:59 PM	7456	0	5.32	1.36	0.15	3.21	1.5	8.22	0	20.58	0	8.53	38.84	0	42.99	15.86	2.27	0	0.03	0	0.01	0		0	35.68	0.65	0.49	0	0	0	0	0		0	0	0				0	7.58	0.64		1.18			
3/31/2018 11:59:59 PM	7634	0	29.35	2.93	0.16	0	3.09	27.33	0	4.53	0	29.35	64.3	0	2.41	11.07	21.92	0	0	0	0.31	0		0	3.95	3.35	2.31	0	0	0	0	0.5		0.5	0	0.5				0	26.84	0.49		0.05			
3/31/2018 11:59:59 PM	8033	0	4.05	12.4	11.29	10.86	23.69	44.63	0	6.46	1.22	14.91	90.9	0	1.39	5.31	2.21	0	0	0	0.19	0		0	16.61	0.6	0.52	0.02	0	0.01	0	0.18		0.21	0	0.21				0	42.83	1.8		0.56			
3/31/2018 11:59:59 PM	8462	0	2.2	0.92	0	3.57	0.92	16.45	0	13.72	0	5.78	36.86	0	21.41	25.56	16.17	0	0	0	0	0		0	13.29	1.92	0.63	0	0	0	0	0		0	0	0				0	16.44	0.01		12.52			
3/31/2018 11:59:59 PM	8631	0	18.25	0	3.26	2.51	3.26	43.62	0	1.74	0	20.76	69.38	0	0.74	16.71	12.17	0	0.76	0	0.24	0		0	4.71	0.26	0.14	0	0	0.15	0	0		0.15	0	0.15				0	43.1	0.52		7.39			
3/31/2018 11:59:59 PM	9357	0	7.11	0.94	0	13.07	0.94	23.59	0.47	0.21	3.35	20.18	48.27	0	0.01	33.78	0.96	0	0	0	16.96	0.02		0	115.5	0	0	0	0	0	0	0		0	0	0	0	0	0	0	23.09	0.03		0.02	0	0.02	
3/31/2018 11:59:59 PM	9553	0	0	0.7	0	1.89	0.7	8.06	0.04	29.57	2.15	1.89	42.36	0	46.96	7.97	1.67	0	0	0	1.04	0		0	33.83	0.11	0.06	0	0	0	0	0		0	0	0				1.04	7.57	0.45		0.62			
3/31/2018 11:59:59 PM	9807	0	22.36	4.17	17.26	5.51	21.42	24.41	3.09	0	22.9	27.87	96.61	0	0	3.33	0.03	0	0	0	0.03	0		0	23.03	0.14	0.11	0.99	0	0.39	0.11	0		1.48	0	1.48	0	0	0	0	20.17	1.15		0	0	0	
3/31/2018 11:59:59 PM	9955	0	35.33	0	0	4.31	0	6.98	0.95	20.02	0.06	39.65	66.7	0	13.32	16.02	1.77	0	0	0	0.07	2.11		0	19.39	1.84	0.96	0	0	0	0	0		0	0	0				0.92	6.04	0		0.85			
3/31/2018 11:59:59 PM	10250	0	12.53	1.07	7.71	22.74	8.78	18.77	4.24	0.17	4.39	35.27	67.38	0	0	28.68	3.67	0.07	0.26	0	0.01	0		0	18.81	0.42	0.29	0.04	0	0	0	0		0.04	0	0.04				0	13.11	1.42		2.35			
3/31/2018 11:59:59 PM	10849	0	17.11	3.24	2.51	21.83	5.75	22.02	0.05	11.12	12.4	38.95	90.24	0	2.73	3.92	0.83	0	2.26	0	0.03	0		0	11.11	0.81	0.38	2.29	0.54	0	0	0		2.82	0	2.82				0	21.9	0.06		0.29			
3/31/2018 11:59:59 PM	11145	0	10.25	0.94	3.46	22.53	4.4	32.95	2.56	1.18	0.1	32.77	71.4	0	0.01	5.9	21.55	0	1.14	0	0	0		0	8.53	1.18	0.93	0	0	0.03	0	0.03		0.06	0	0.06	0	0.01	0	0.01	30.09	0.3		1.46			
3/31/2018 11:59:59 PM	11640	0	3.72	3.73	16.85	10.33	20.58	14.44	0.65	13.78	4.18	14.06	67.04	0	15.98	12.23	4.61	0	0	0	0.14	0		0	27.12	7.79	4.41	0	0	0	0	0		0	0	0				0	13.3	0.48		1.64			
3/31/2018 11:59:59 PM	11837	0	17.98	0.27	12.64	10.16	12.92	16.9	1.2	4.6	3.01	28.14	65.57	0	0.38	26.85	2.04	0.25	4.9	0	0.26	0		0	3.09	1.63	0.7	0.63	0	0	0	0		0.63	0	0.63				0	15.31	0.39		0.44			
3/31/2018 11:59:59 PM	12030	0	6.76	0.58	2.1	31.97	2.68	22.72	0	16.21	0.41	38.73	80.75	0	1.31	9.59	7.51	0	0.03	0	0.81	0		4.91	9.66	0.92	0.66	0.08	0.1	0.07	0	0.17		0.41	0	0.41				0	22.65	0.07		3.02			
3/31/2018 11:59:59 PM	12142	0	14.28	1.34	8.53	6.85	9.86	29.97	1.19	3.29	7.66	21.13	71.92	0	1.85	18.73	7.5	0.4	0	0	0	0		0	20.28	0.11	0.06	0	0	0	0	0		0	0	0				0	27.08	1.7		2.36			
3/31/2018 11:59:59 PM	12179	0	9.7	0.63	1.17	13.39	1.8	62.4	2.74	0.28	1.87	23.09	89.44	0	0	8.38	2.18	0	0	0	0	0		0	6.95	1.06	0.82	0	0	0	0	0		0	0	0				0	59.54	0.11		0.75			
3/31/2018 11:59:59 PM	12311	0	5.61	0.43	1.94	5.79	2.38	27.24	11.47	0.11	1.49	11.4	42.61	0.87	0.08	28.34	22.57	1.08	0.68	0	1.67	3.19	0	0.67	46.47	0.26	0.17	0	0	0.02	0	0		0.03	0.67	0.7	0.08	19.37	2.69	22.13	15.15	0.62	0	17.14	0	3.19	
3/31/2018 11:59:59 PM	12647	0	22.57	2.06	2.51	8.31	4.57	28.84	1.73	8.45	4.91	30.87	77.65	0	7.26	9.58	1.74	0.43	3.77	0	0	0		0	16.86	6.2	3.97	0.24	0	0.03	0	0		0.28	0	0.28	0	11.36	0	11.36	26.86	0.25		0.51			
3/31/2018 11:59:59 PM	12656	0	0.56	0.18	0	1.84	0.18	56.39	0	13.55	0	2.4	72.52	0	7.18	5.76	14.54	0	0	0	0	0		0	8.58	3.98	2.55	0	0	0.31	0	0		0.31	0	0.31				0	56.39	0		10.61			
3/31/2018 11:59:59 PM	12937	0	27	1.33	0	19.1	1.33	21	11.21	0.91	20.11	46.1	89.45	0	0	9.78	0.26	0	0	0	0.51	0		0	21.11	8.77	5.98	0	0	0	0	0		0	0	0				21.3	8.39	1.39		0			
3/31/2018 11:59:59 PM	12946	0	21.96	1.48	7.5	12.61	8.98	27.93	0	5.77	1.85	34.58	79.1	0.79	1.99	15.23	2.75	0.11	0.02	0	0.12	0		0	15.14	0.48	0.35	0.05	0	0.01	0	0.03		0.1	0.86	0.95	0	0	2.9	2.9	27.17	0.76		1	0	0	
3/31/2018 11:59:59 PM	13103	0	9.51	2.07	2.94	18.18	5.01	40.32	1.77	0	2.61	27.69	75.63	0	0	7.19	17	0	0	0	0.19	0		0	11.04	0.13	0.11	0	0	0	0	0.08		0.08	0	0.08	0	0	0	0	38.31	0.24		16.58	0	0	
3/31/2018 11:59:59 PM	13251	0	19.35	2.24	1.34	1.29	3.58	37.88	0	8.45	0.75	20.64	71.31	0	7.36	9.78	11.56	0	0	0	0	0		0	2.33	0.01	0	0	0.24	0.05	0	0		0.29	0	0.29				23.08	36.75	1.13		4.54			
3/31/2018 11:59:59 PM	13457	0	0	0	0	6.83	0	0.14	0	52.63	0	6.83	59.6	0	31.06	5.55	3.59	0	0.11	0	0.09	0		0	41.19	0.58	0.21	0	0	0	0	0		0	0	0				0	0.14	0		0.5			
3/31/2018 11:59:59 PM	14052	0	20.08	0.73	5.97	11.47	6.7	32.04	3.2	9.28	1.6	31.55	81.17	0	2.33	8.31	6.6	0	1.57	0	0.03	0		0	15.73	1.74	1.08	0	0	0	0	0.24		0.24	0	0.24				25.94	26.69	2.15		4.48			
3/31/2018 11:59:59 PM	14155	0	3.44	7.08	2.38	7.74	9.46	30.81	1.52	21.64	0.65	11.18	73.75	0	18.68	4.66	2.71	0	0	0	0.2	0		4.02	10.39	0.31	0.25	0	0	0.01	0	0.12		0.13	0	0.13				0.37	28.8	0.5		1.29			
