,rprt_period,RSSD,bank,alll,ncl,avg_os,ncl_rate,alll_rate,alll_to_ncl,alll_to_nonaccrual,type,Report_Date
20902,2010-09-30,3303298,Citizens,1803547,1274577,77127636,2.2,2.34,1.06,0.99,Peers,2010Q3
21556,2010-12-31,12311,Huntington,1228061,846000,37743581,2.24,3.24,1.45,1.61,Peers,2010Q4
21648,2010-12-31,30810,Discover,3278024,3682986,49733713,7.41,6.24,0.89,10.52,Non-Peers,2010Q4
21673,2010-12-31,35301,StateStreet,98955,4452,12173186,0.04,0.82,22.23,0.74,Non-Peers,2010Q4
21808,2010-12-31,60143,Comerica,901382,563920,40545210,1.39,2.24,1.6,0.83,Peers,2010Q4
21892,2010-12-31,75633,BMO,706101,295494,22618498,1.31,3.16,2.39,0.79,BMO,2010Q4
22076,2010-12-31,112837,CapOne,1874023,1555803,69714875,2.23,2.63,1.2,1.53,Non-Peers,2010Q4
22572,2010-12-31,212465,MUFG,1159389,361733,47276126,0.77,2.43,3.21,1.21,Non-Peers,2010Q4
22662,2010-12-31,233031,Regions,3185392,2791820,88015482,3.17,3.84,1.14,0.92,Peers,2010Q4
22933,2010-12-31,280110,Key,1717938,1690487,60923370,2.77,3.04,1.02,1.49,Peers,2010Q4
23785,2010-12-31,451965,Wells,19637000,15098000,732409000,2.06,2.84,1.3,0.88,Non-Peers,2010Q4
23920,2010-12-31,476810,Citi,18467000,13629000,500618500,2.72,4.14,1.35,1.15,Non-Peers,2010Q4
23947,2010-12-31,480228,BAC,24446049,13311307,739596809,1.8,3.45,1.84,0.88,Non-Peers,2010Q4
24037,2010-12-31,497404,TD,946237,550399,60146194,0.92,1.4,1.72,0.68,Non-Peers,2010Q4
24081,2010-12-31,504713,USBank,5075663,4034041,189663044,2.13,2.69,1.26,1.26,Non-Peers,2010Q4
24263,2010-12-31,541101,BNY,482000,69000,23679000,0.29,2.07,6.99,1.49,Non-Peers,2010Q4
24945,2010-12-31,675332,SunTrust,2973056,2854924,117016115,2.44,2.56,1.04,0.72,Peers,2010Q4
25180,2010-12-31,723112,FifthThird,3002438,2328522,79183024,2.94,3.88,1.29,1.52,Peers,2010Q4
25678,2010-12-31,817824,PNC,4886799,2936268,156709188,1.87,3.24,1.66,1.04,Peers,2010Q4
25863,2010-12-31,852218,JPMC,22435000,11116000,561546250,1.98,4.07,2.02,0.91,Non-Peers,2010Q4
25866,2010-12-31,852320,BBT,2489150,2307776,100281094,2.3,2.52,1.08,0.94,Non-Peers,2010Q4
26825,2010-12-31,1394676,AMEX,758891,688042,13359754,5.15,4.98,1.1,2.49,Non-Peers,2010Q4
26873,2010-12-31,1456501,MS,1000,0,12021500,0.0,0.02,,0.0,Non-Peers,2010Q4
26980,2010-12-31,2182786,Goldman,4000,0,3691000,0.0,0.09,,,Non-Peers,2010Q4
27904,2010-12-31,3303298,Citizens,1730326,1636530,77031225,2.12,2.29,1.06,0.96,Peers,2010Q4
59,2011-03-31,12311,Huntington,1117395,162615,38352015,1.7,2.93,1.72,1.79,Peers,2011Q1
150,2011-03-31,30810,Discover,2987398,652429,52062994,5.01,5.87,1.14,11.34,Non-Peers,2011Q1
175,2011-03-31,35301,StateStreet,79592,19287,12826960,0.6,0.62,1.03,0.86,Non-Peers,2011Q1
308,2011-03-31,60143,Comerica,848882,101655,39574313,1.03,2.17,2.09,0.85,Peers,2011Q1
392,2011-03-31,75633,BMO,716534,66138,21968160,1.2,3.3,2.71,0.75,BMO,2011Q1
574,2011-03-31,112837,CapOne,1707393,289219,70806014,1.63,2.45,1.48,1.36,Non-Peers,2011Q1
1067,2011-03-31,212465,MUFG,975883,52723,47962111,0.44,2.05,4.63,1.23,Non-Peers,2011Q1
1155,2011-03-31,233031,Regions,3186301,481091,83973931,2.29,3.91,1.66,0.92,Peers,2011Q1
1423,2011-03-31,280110,Key,1483293,227201,56036543,1.62,2.71,1.63,1.53,Peers,2011Q1
2270,2011-03-31,451965,Wells,18779000,2700000,709895000,1.52,2.74,1.74,0.88,Non-Peers,2011Q1
2405,2011-03-31,476810,Citi,16340000,3414000,451330000,3.03,3.69,1.2,1.37,Non-Peers,2011Q1
2432,2011-03-31,480228,BAC,24899301,2345171,744162176,1.26,3.44,2.65,0.93,Non-Peers,2011Q1
2521,2011-03-31,497404,TD,977054,129221,68100109,0.76,1.41,1.89,0.72,Non-Peers,2011Q1
2565,2011-03-31,504713,USBank,5039333,772299,195127518,1.58,2.66,1.63,1.23,Non-Peers,2011Q1
2744,2011-03-31,541101,BNY,449000,18000,23916000,0.3,1.81,6.24,1.44,Non-Peers,2011Q1
3422,2011-03-31,675332,SunTrust,2853082,571268,117703470,1.94,2.48,1.25,0.71,Peers,2011Q1
3653,2011-03-31,723112,FifthThird,2800947,367508,79313032,1.85,3.62,1.91,1.51,Peers,2011Q1
4149,2011-03-31,817824,PNC,4759138,532501,153305956,1.39,3.18,2.23,1.06,Peers,2011Q1
4333,2011-03-31,852218,JPMC,21780000,1732000,556699000,1.24,3.93,3.14,0.97,Non-Peers,2011Q1
4336,2011-03-31,852320,BBT,2427003,354116,100623261,1.41,2.48,1.71,0.93,Non-Peers,2011Q1
5289,2011-03-31,1394676,AMEX,735655,160478,16374579,3.92,4.67,1.15,2.41,Non-Peers,2011Q1
5336,2011-03-31,1456501,MS,1000,0,11694000,0.0,0.02,,0.0,Non-Peers,2011Q1
5442,2011-03-31,2182786,Goldman,4000,0,4451000,0.0,0.09,,,Non-Peers,2011Q1
6342,2011-03-31,3303298,Citizens,1711680,274354,75838121,1.45,2.22,1.56,1.0,Peers,2011Q1
6982,2011-06-30,12311,Huntington,1058160,261142,38614269,1.35,2.71,2.03,1.75,Peers,2011Q2
7070,2011-06-30,30810,Discover,2432087,1191630,52098626,4.57,4.66,1.02,10.67,Non-Peers,2011Q2
7094,2011-06-30,35301,StateStreet,54371,45931,12817611,0.72,0.42,0.59,0.62,Non-Peers,2011Q2
7226,2011-06-30,60143,Comerica,806078,191472,39383813,0.97,2.06,2.1,0.86,Peers,2011Q2
7310,2011-06-30,75633,BMO,719110,145971,21852197,1.34,3.34,2.46,1.14,BMO,2011Q2
7491,2011-06-30,112837,CapOne,1581025,494407,71036830,1.39,2.19,1.6,1.37,Non-Peers,2011Q2
7979,2011-06-30,212465,MUFG,810466,92566,48204272,0.38,1.67,4.38,1.12,Non-Peers,2011Q2
8067,2011-06-30,233031,Regions,3119985,1029341,83146686,2.48,3.84,1.52,0.99,Peers,2011Q2
8334,2011-06-30,280110,Key,1338645,394532,55528223,1.42,2.48,1.7,1.53,Peers,2011Q2
9178,2011-06-30,451965,Wells,17922000,5026000,708317500,1.42,2.6,1.78,0.91,Non-Peers,2011Q2
9312,2011-06-30,476810,Citi,15945000,5724000,458782000,2.5,3.19,1.39,1.55,Non-Peers,2011Q2
9339,2011-06-30,480228,BAC,24914663,4800962,746027079,1.29,3.38,2.59,1.0,Non-Peers,2011Q2
9427,2011-06-30,497404,TD,970176,293296,72089127,0.81,1.26,1.65,0.7,Non-Peers,2011Q2
9471,2011-06-30,504713,USBank,4848630,1488461,194233751,1.53,2.53,1.63,1.29,Non-Peers,2011Q2
9648,2011-06-30,541101,BNY,421000,36000,24386500,0.3,1.65,5.85,1.41,Non-Peers,2011Q2
10321,2011-06-30,675332,SunTrust,2742880,1076461,117260526,1.84,2.38,1.27,0.76,Peers,2011Q2
10552,2011-06-30,723112,FifthThird,2610925,671060,79193452,1.69,3.35,1.95,1.44,Peers,2011Q2
11048,2011-06-30,817824,PNC,4626907,946584,152979777,1.24,3.07,2.44,1.14,Peers,2011Q2
11229,2011-06-30,852218,JPMC,21446000,3294000,561043000,1.17,3.78,3.26,1.03,Non-Peers,2011Q2
11232,2011-06-30,852320,BBT,2303411,758914,100161174,1.52,2.33,1.52,1.06,Non-Peers,2011Q2
12182,2011-06-30,1394676,AMEX,688251,300129,16836134,3.57,4.02,1.15,2.33,Non-Peers,2011Q2
12228,2011-06-30,1456501,MS,1000,0,13064500,0.0,0.02,,0.01,Non-Peers,2011Q2
12334,2011-06-30,2182786,Goldman,4000,0,4514500,0.0,0.08,,,Non-Peers,2011Q2
13220,2011-06-30,3303298,Citizens,1646794,502227,74474947,1.35,2.24,1.64,1.03,Peers,2011Q2
13858,2011-09-30,12311,Huntington,1000154,358430,38869698,1.23,2.57,2.09,1.8,Peers,2011Q3
13944,2011-09-30,30810,Discover,2336552,1618836,52548202,4.11,4.21,1.08,10.87,Non-Peers,2011Q3
13968,2011-09-30,35301,StateStreet,22208,77837,12691203,0.82,0.19,0.21,0.39,Non-Peers,2011Q3
14099,2011-09-30,60143,Comerica,766598,268747,39629545,0.9,1.86,2.14,0.83,Peers,2011Q3
14183,2011-09-30,75633,BMO,837863,224105,50134870,0.6,1.64,2.8,0.86,BMO,2011Q3
14363,2011-09-30,112837,CapOne,1542177,699634,71563890,1.3,2.09,1.65,1.33,Non-Peers,2011Q3
14847,2011-09-30,212465,MUFG,757300,127652,48730182,0.35,1.5,4.45,1.03,Non-Peers,2011Q3
14935,2011-09-30,233031,Regions,2963731,1540594,82569297,2.49,3.73,1.44,0.97,Peers,2011Q3
15198,2011-09-30,280110,Key,1245832,533513,55170387,1.29,2.3,1.75,1.57,Peers,2011Q3
16039,2011-09-30,451965,Wells,16825000,7196000,710726000,1.35,2.4,1.75,0.9,Non-Peers,2011Q3
16173,2011-09-30,476810,Citi,25963000,14149000,499869333,3.77,4.56,1.38,2.75,Non-Peers,2011Q3
16200,2011-09-30,480228,BAC,24209269,7235104,749757616,1.29,3.24,2.51,1.02,Non-Peers,2011Q3
16283,2011-09-30,497404,TD,985840,436000,73933724,0.79,1.27,1.7,0.71,Non-Peers,2011Q3
16326,2011-09-30,504713,USBank,4744004,2132153,195480051,1.45,2.42,1.67,1.34,Non-Peers,2011Q3
16503,2011-09-30,541101,BNY,373000,49000,24542333,0.27,1.29,5.71,1.28,Non-Peers,2011Q3
17176,2011-09-30,675332,SunTrust,2598846,1568821,117336835,1.78,2.21,1.24,0.8,Peers,2011Q3
17406,2011-09-30,723112,FifthThird,2435193,932569,79437425,1.57,3.08,1.96,1.4,Peers,2011Q3
17899,2011-09-30,817824,PNC,4506717,1311729,153421763,1.14,2.91,2.58,1.17,Peers,2011Q3
18078,2011-09-30,852218,JPMC,21776000,4558000,565013667,1.08,3.78,3.58,1.05,Non-Peers,2011Q3
18081,2011-09-30,852320,BBT,2139236,1139570,100440744,1.51,2.14,1.41,1.09,Non-Peers,2011Q3
19027,2011-09-30,1394676,AMEX,624485,431861,17341423,3.32,3.61,1.08,2.24,Non-Peers,2011Q3
19073,2011-09-30,1456501,MS,3000,-63000,13515667,-0.62,0.04,,0.04,Non-Peers,2011Q3
19178,2011-09-30,2182786,Goldman,6000,0,5129000,0.0,0.07,,,Non-Peers,2011Q3
20047,2011-09-30,3303298,Citizens,1585568,762880,74227305,1.37,2.17,1.56,1.07,Peers,2011Q3
20678,2011-12-31,12311,Huntington,944660,448996,39072706,1.15,2.44,2.1,1.78,Peers,2011Q4
20764,2011-12-31,30810,Discover,2245002,2011738,53631105,3.75,3.87,1.12,11.14,Non-Peers,2011Q4
20788,2011-12-31,35301,StateStreet,22115,77747,12271297,0.63,0.22,0.28,4.57,Non-Peers,2011Q4
20918,2011-12-31,60143,Comerica,726141,328259,40093505,0.82,1.7,2.21,0.84,Peers,2011Q4
21001,2011-12-31,75633,BMO,760851,316813,50729591,0.62,1.49,2.4,0.71,BMO,2011Q4
21178,2011-12-31,112837,CapOne,1555053,963956,72488951,1.33,2.0,1.61,1.48,Non-Peers,2011Q4
21663,2011-12-31,212465,MUFG,736982,141725,49423623,0.29,1.4,5.2,1.14,Non-Peers,2011Q4
21752,2011-12-31,233031,Regions,2745404,1969988,81888064,2.41,3.53,1.39,1.02,Peers,2011Q4
22015,2011-12-31,280110,Key,1107688,663760,55114057,1.2,2.0,1.67,1.47,Peers,2011Q4
22855,2011-12-31,451965,Wells,16360000,9366000,717225500,1.31,2.3,1.75,0.9,Non-Peers,2011Q4
22989,2011-12-31,476810,Citi,24695000,17646000,521648250,3.38,4.25,1.4,2.68,Non-Peers,2011Q4
23016,2011-12-31,480228,BAC,23903519,9482332,751378151,1.26,3.22,2.52,1.07,Non-Peers,2011Q4
23099,2011-12-31,497404,TD,961631,623721,75172031,0.83,1.19,1.54,0.7,Non-Peers,2011Q4
23142,2011-12-31,504713,USBank,4557595,2725047,197862984,1.38,2.26,1.67,1.5,Non-Peers,2011Q4
23319,2011-12-31,541101,BNY,374000,73000,25281750,0.29,1.38,5.12,1.25,Non-Peers,2011Q4
23988,2011-12-31,675332,SunTrust,2455901,2040203,118359107,1.72,2.0,1.2,0.85,Peers,2011Q4
24219,2011-12-31,723112,FifthThird,2249997,1172093,80117769,1.46,2.78,1.92,1.43,Peers,2011Q4
24716,2011-12-31,817824,PNC,4346873,1638216,154774248,1.06,2.73,2.65,1.17,Peers,2011Q4
24893,2011-12-31,852218,JPMC,21507000,6311000,570458250,1.11,3.59,3.41,0.99,Non-Peers,2011Q4
24896,2011-12-31,852320,BBT,2025793,1486621,101282006,1.47,1.97,1.36,1.1,Non-Peers,2011Q4
25835,2011-12-31,1394676,AMEX,531075,598709,17627332,3.4,2.94,0.89,1.99,Non-Peers,2011Q4
25880,2011-12-31,1456501,MS,5000,-63000,13988500,-0.45,0.06,,0.08,Non-Peers,2011Q4
25982,2011-12-31,2182786,Goldman,6000,0,5894250,0.0,0.05,,,Non-Peers,2011Q4
26843,2011-12-31,3303298,Citizens,1448900,1065316,73972858,1.44,1.98,1.36,1.04,Peers,2011Q4
63,2012-03-31,12311,Huntington,897201,79494,40266375,0.79,2.21,2.82,1.94,Peers,2012Q1
156,2012-03-31,30810,Discover,1970626,358383,56853154,2.52,3.52,1.37,9.97,Non-Peers,2012Q1
183,2012-03-31,35301,StateStreet,22435,0,10840980,0.0,0.18,,4.5,Non-Peers,2012Q1
320,2012-03-31,60143,Comerica,703904,45250,42300641,0.43,1.64,3.89,0.85,Peers,2012Q1
409,2012-03-31,75633,BMO,823572,127050,51004770,1.0,1.63,1.62,0.63,BMO,2012Q1
614,2012-03-31,112837,CapOne,1516696,189051,77516694,0.98,1.93,2.01,1.48,Non-Peers,2012Q1
1144,2012-03-31,212465,MUFG,686730,53734,53253328,0.4,1.29,3.2,1.18,Non-Peers,2012Q1
1245,2012-03-31,233031,Regions,2530346,332059,78307452,1.7,3.3,1.91,1.05,Peers,2012Q1
1524,2012-03-31,280110,Key,1034501,119336,55693758,0.86,1.89,2.17,1.49,Peers,2012Q1
2450,2012-03-31,451965,Wells,15934000,1991000,739855000,1.08,2.24,2.0,0.84,Non-Peers,2012Q1
2593,2012-03-31,476810,Citi,24287000,3430000,588592000,2.33,4.18,1.77,2.47,Non-Peers,2012Q1
2621,2012-03-31,480228,BAC,23303993,2038635,743897105,1.1,3.22,2.86,1.02,Non-Peers,2012Q1
2708,2012-03-31,497404,TD,941012,184050,81950398,0.9,1.13,1.28,0.79,Non-Peers,2012Q1
2754,2012-03-31,504713,USBank,4446911,549023,208670876,1.05,2.19,2.02,1.6,Non-Peers,2012Q1
2950,2012-03-31,541101,BNY,342000,7000,25904000,0.11,1.36,12.21,1.2,Non-Peers,2012Q1
3708,2012-03-31,675332,SunTrust,2346896,421710,124960885,1.35,1.91,1.39,0.87,Peers,2012Q1
3965,2012-03-31,723112,FifthThird,2121332,219397,83637119,1.05,2.59,2.42,1.45,Peers,2012Q1
4508,2012-03-31,817824,PNC,4196132,332856,167466396,0.8,2.37,3.15,1.13,Peers,2012Q1
4708,2012-03-31,852218,JPMC,20403000,1251000,597472000,0.84,3.4,4.08,0.9,Non-Peers,2012Q1
4711,2012-03-31,852320,BBT,1976411,301633,105512394,1.14,1.91,1.64,1.08,Non-Peers,2012Q1
5735,2012-03-31,1394676,AMEX,489187,132155,17996901,2.94,2.88,0.93,2.03,Non-Peers,2012Q1
5781,2012-03-31,1456501,MS,6000,0,16206000,0.0,0.04,,,Non-Peers,2012Q1
5891,2012-03-31,2182786,Goldman,9000,0,12199000,0.0,0.07,,9.0,Non-Peers,2012Q1
6796,2012-03-31,3303298,Citizens,1339626,179431,73352614,0.98,1.83,1.87,1.06,Peers,2012Q1
7439,2012-06-30,12311,Huntington,852082,160861,40856036,0.79,2.14,2.65,1.88,Peers,2012Q2
7531,2012-06-30,30810,Discover,1897370,693373,56707914,2.45,3.31,1.37,9.96,Non-Peers,2012Q2
7558,2012-06-30,35301,StateStreet,21600,-125,11110272,0.0,0.17,,4.33,Non-Peers,2012Q2
7693,2012-06-30,60143,Comerica,666673,90442,42777437,0.42,1.52,3.69,0.93,Peers,2012Q2
7781,2012-06-30,75633,BMO,738113,292441,50681974,1.15,1.48,1.26,0.52,BMO,2012Q2
7985,2012-06-30,112837,CapOne,2081250,356417,85335523,0.84,2.07,2.92,2.04,Non-Peers,2012Q2
8510,2012-06-30,212465,MUFG,639492,83690,53662580,0.31,1.2,3.82,1.11,Non-Peers,2012Q2
8611,2012-06-30,233031,Regions,2290935,597469,78044007,1.53,3.01,1.92,1.08,Peers,2012Q2
8889,2012-06-30,280110,Key,966853,209243,55639258,0.75,1.76,2.31,1.48,Peers,2012Q2
9812,2012-06-30,451965,Wells,15480000,3819000,741486500,1.03,2.15,2.03,0.87,Non-Peers,2012Q2
9955,2012-06-30,476810,Citi,23054000,6610000,588310000,2.25,3.91,1.74,2.51,Non-Peers,2012Q2
9983,2012-06-30,480228,BAC,22137677,3873246,740409252,1.05,3.09,2.86,0.95,Non-Peers,2012Q2
10070,2012-06-30,497404,TD,952027,370970,83638179,0.89,1.09,1.28,0.81,Non-Peers,2012Q2
10116,2012-06-30,504713,USBank,4374236,1045403,211001475,0.99,2.1,2.09,1.79,Non-Peers,2012Q2
10310,2012-06-30,541101,BNY,335000,15000,25912000,0.12,1.21,11.17,1.33,Non-Peers,2012Q2
11062,2012-06-30,675332,SunTrust,2298996,771318,125753866,1.23,1.84,1.49,0.94,Peers,2012Q2
11317,2012-06-30,723112,FifthThird,2010639,400299,84007098,0.95,2.45,2.51,1.44,Peers,2012Q2
11857,2012-06-30,817824,PNC,4156248,647776,174257259,0.74,2.3,3.21,1.16,Peers,2012Q2
12057,2012-06-30,852218,JPMC,18999000,2424000,603672000,0.8,3.1,3.92,0.87,Non-Peers,2012Q2
12060,2012-06-30,852320,BBT,1921140,598865,106175350,1.13,1.8,1.6,1.19,Non-Peers,2012Q2
13075,2012-06-30,1394676,AMEX,478513,268904,18118012,2.97,2.6,0.89,2.01,Non-Peers,2012Q2
13119,2012-06-30,1456501,MS,18000,0,16528500,0.0,0.1,,1.2,Non-Peers,2012Q2
13228,2012-06-30,2182786,Goldman,16000,0,12535000,0.0,0.12,,8.0,Non-Peers,2012Q2
14116,2012-06-30,3303298,Citizens,1244192,391592,73569542,1.06,1.7,1.59,0.94,Peers,2012Q2
14753,2012-09-30,12311,Huntington,786176,258821,41197582,0.84,1.95,2.28,1.77,Peers,2012Q3
14843,2012-09-30,30810,Discover,1730187,995811,57193660,2.32,2.93,1.3,9.18,Non-Peers,2012Q3
14870,2012-09-30,35301,StateStreet,21600,-125,11306203,0.0,0.15,,4.33,Non-Peers,2012Q3
15004,2012-09-30,60143,Comerica,646980,133240,43062075,0.41,1.46,3.64,0.97,Peers,2012Q3
15092,2012-09-30,75633,BMO,703648,501131,50358560,1.33,1.43,1.05,0.45,BMO,2012Q3
15294,2012-09-30,112837,CapOne,2011981,672095,91000026,0.98,1.97,2.25,2.01,Non-Peers,2012Q3
15817,2012-09-30,212465,MUFG,652254,125784,53945054,0.31,1.19,3.89,1.21,Non-Peers,2012Q3
15918,2012-09-30,233031,Regions,2062183,859221,77667884,1.47,2.74,1.8,1.02,Peers,2012Q3
16192,2012-09-30,280110,Key,953696,330039,55949579,0.79,1.68,2.17,1.51,Peers,2012Q3
17111,2012-09-30,451965,Wells,14500000,5821000,745941000,1.04,1.99,1.87,0.8,Non-Peers,2012Q3
17254,2012-09-30,476810,Citi,21368000,10312000,590498667,2.33,3.61,1.55,2.07,Non-Peers,2012Q3
17282,2012-09-30,480228,BAC,18661616,6345172,735859463,1.15,2.58,2.21,0.81,Non-Peers,2012Q3
17369,2012-09-30,497404,TD,939491,578776,85449281,0.9,1.04,1.22,0.76,Non-Peers,2012Q3
17414,2012-09-30,504713,USBank,4287818,1556866,213241499,0.97,2.04,2.07,1.85,Non-Peers,2012Q3
17608,2012-09-30,541101,BNY,313000,18000,25964000,0.09,1.11,13.04,1.33,Non-Peers,2012Q3
18357,2012-09-30,675332,SunTrust,2237994,1282508,126236663,1.35,1.83,1.31,1.26,Peers,2012Q3
18612,2012-09-30,723112,FifthThird,1919584,557212,84234216,0.88,2.32,2.58,1.61,Peers,2012Q3
19148,2012-09-30,817824,PNC,4038768,978703,177374630,0.74,2.22,3.1,1.14,Peers,2012Q3
19343,2012-09-30,852218,JPMC,18040000,4266000,605849333,0.94,2.97,3.17,0.78,Non-Peers,2012Q3
19346,2012-09-30,852320,BBT,1827534,862955,107878812,1.07,1.67,1.59,1.21,Non-Peers,2012Q3
20351,2012-09-30,1394676,AMEX,442328,429624,18464098,3.1,2.51,0.77,2.05,Non-Peers,2012Q3
20394,2012-09-30,1456501,MS,31000,0,17260333,0.0,0.17,,1.07,Non-Peers,2012Q3
20503,2012-09-30,2182786,Goldman,18000,0,13196000,0.0,0.12,,,Non-Peers,2012Q3
21373,2012-09-30,3303298,Citizens,1121499,619328,73568064,1.12,1.54,1.36,0.75,Peers,2012Q3
22001,2012-12-31,12311,Huntington,766098,331087,41201468,0.8,1.88,2.31,1.89,Peers,2012Q4
22091,2012-12-31,30810,Discover,1787611,1308900,57940415,2.26,2.87,1.37,9.32,Non-Peers,2012Q4
22118,2012-12-31,35301,StateStreet,21600,-2666,11680892,-0.02,0.17,,,Non-Peers,2012Q4
22251,2012-12-31,60143,Comerica,628737,170449,43329876,0.39,1.37,3.69,1.22,Peers,2012Q4
22336,2012-12-31,75633,BMO,760075,592316,50286034,1.18,1.49,1.28,0.48,BMO,2012Q4
22535,2012-12-31,112837,CapOne,1994522,1113201,139408574,0.8,1.42,1.79,2.08,Non-Peers,2012Q4
23047,2012-12-31,212465,MUFG,638640,136468,54591386,0.25,1.08,4.68,1.26,Non-Peers,2012Q4
23147,2012-12-31,233031,Regions,1918770,1039634,77216703,1.35,2.59,1.85,1.08,Peers,2012Q4
23417,2012-12-31,280110,Key,943211,403115,56382096,0.71,1.63,2.34,1.52,Peers,2012Q4
24331,2012-12-31,451965,Wells,14234000,7520000,749428250,1.0,1.91,1.89,0.82,Non-Peers,2012Q4
24474,2012-12-31,476810,Citi,20913000,12929000,590724500,2.19,3.55,1.62,2.18,Non-Peers,2012Q4
24502,2012-12-31,480228,BAC,17063054,8084617,737033481,1.1,2.3,2.11,0.78,Non-Peers,2012Q4
24589,2012-12-31,497404,TD,1041000,732356,87106409,0.84,1.11,1.42,0.83,Non-Peers,2012Q4
24633,2012-12-31,504713,USBank,4230503,2001250,215282812,0.93,1.96,2.11,2.08,Non-Peers,2012Q4
24825,2012-12-31,541101,BNY,243000,25000,26004000,0.1,0.87,9.72,1.14,Non-Peers,2012Q4
25561,2012-12-31,675332,SunTrust,2173070,1680645,125978255,1.33,1.79,1.29,1.37,Peers,2012Q4
25815,2012-12-31,723112,FifthThird,1844443,704325,84685811,0.83,2.15,2.62,1.75,Peers,2012Q4
26347,2012-12-31,817824,PNC,4035708,1288752,179591932,0.72,2.17,3.13,1.2,Peers,2012Q4
26540,2012-12-31,852218,JPMC,17191000,5003000,608179000,0.82,2.77,3.44,0.77,Non-Peers,2012Q4
26543,2012-12-31,852320,BBT,1767262,1114075,108980474,1.02,1.61,1.59,1.32,Non-Peers,2012Q4
27538,2012-12-31,1394676,AMEX,454827,580813,18646362,3.11,2.37,0.78,2.11,Non-Peers,2012Q4
27577,2012-12-31,1456501,MS,37000,0,17960250,0.0,0.19,,1.54,Non-Peers,2012Q4
27685,2012-12-31,2182786,Goldman,20000,0,13650750,0.0,0.14,,5.0,Non-Peers,2012Q4
28535,2012-12-31,3303298,Citizens,1035634,791634,73563253,1.08,1.42,1.31,0.71,Peers,2012Q4
61,2013-03-31,12311,Huntington,744192,51870,41549155,0.5,1.8,3.59,1.97,Peers,2013Q1
151,2013-03-31,30810,Discover,1633248,312815,60608362,2.06,2.72,1.31,8.17,Non-Peers,2013Q1
178,2013-03-31,35301,StateStreet,21600,-550,12803385,-0.02,0.15,,,Non-Peers,2013Q1
310,2013-03-31,60143,Comerica,616966,23674,44629935,0.21,1.37,6.52,1.25,Peers,2013Q1
394,2013-03-31,75633,BMO,793938,97163,50139178,0.78,1.59,2.04,0.5,BMO,2013Q1
591,2013-03-31,112837,CapOne,1642893,345636,138036323,1.0,1.26,1.19,1.94,Non-Peers,2013Q1
1101,2013-03-31,212465,MUFG,624292,14405,59884252,0.1,1.04,10.83,1.2,Non-Peers,2013Q1
1201,2013-03-31,233031,Regions,1748713,180057,75141797,0.96,2.36,2.43,1.06,Peers,2013Q1
1467,2013-03-31,280110,Key,942530,61403,58164965,0.42,1.64,3.84,1.45,Peers,2013Q1
2370,2013-03-31,451965,Wells,14136000,1181000,771963000,0.61,1.89,2.99,0.86,Non-Peers,2013Q1
2513,2013-03-31,476810,Citi,19461000,2930000,589258000,1.99,3.36,1.66,2.2,Non-Peers,2013Q1
2541,2013-03-31,480228,BAC,15680000,1222000,756921000,0.65,2.09,3.21,0.75,Non-Peers,2013Q1
2628,2013-03-31,497404,TD,998001,153506,94694317,0.65,1.04,1.63,0.77,Non-Peers,2013Q1
2672,2013-03-31,504713,USBank,4194224,412307,223064052,0.74,1.95,2.54,2.33,Non-Peers,2013Q1
2863,2013-03-31,541101,BNY,214000,4000,28029000,0.06,0.7,13.38,1.08,Non-Peers,2013Q1
3591,2013-03-31,675332,SunTrust,2151155,226229,124439786,0.73,1.78,2.38,1.43,Peers,2013Q1
3844,2013-03-31,723112,FifthThird,1765849,130794,88739698,0.59,2.06,3.38,1.83,Peers,2013Q1
4372,2013-03-31,817824,PNC,3827409,456197,189655964,0.96,2.05,2.1,1.0,Peers,2013Q1
4565,2013-03-31,852218,JPMC,16399000,844000,619067000,0.55,2.64,4.86,0.98,Non-Peers,2013Q1
4568,2013-03-31,852320,BBT,1800116,247128,114123718,0.87,1.62,1.82,1.45,Non-Peers,2013Q1
5558,2013-03-31,1394676,AMEX,407570,115604,18166677,2.55,2.35,0.88,2.06,Non-Peers,2013Q1
5597,2013-03-31,1456501,MS,47000,0,20686000,0.0,0.23,,3.13,Non-Peers,2013Q1
5702,2013-03-31,2182786,Goldman,31000,0,14761000,0.0,0.2,,31.0,Non-Peers,2013Q1
6540,2013-03-31,3303298,Citizens,1013316,108852,73017169,0.6,1.41,2.33,0.71,Peers,2013Q1
7146,2013-06-30,12311,Huntington,730981,86912,41742487,0.42,1.75,4.21,2.02,Peers,2013Q2
7235,2013-06-30,30810,Discover,1540375,631465,60526132,2.09,2.51,1.22,8.82,Non-Peers,2013Q2
7262,2013-06-30,35301,StateStreet,21600,-625,13434404,-0.01,0.13,,,Non-Peers,2013Q2
7392,2013-06-30,60143,Comerica,613250,40321,44766132,0.18,1.35,7.6,1.36,Peers,2013Q2
7476,2013-06-30,75633,BMO,751688,200838,50283649,0.8,1.48,1.87,0.55,BMO,2013Q2
7672,2013-06-30,112837,CapOne,1613707,619478,137051553,0.9,1.24,1.3,1.93,Non-Peers,2013Q2
8178,2013-06-30,212465,MUFG,606534,22163,61426413,0.07,0.93,13.68,1.17,Non-Peers,2013Q2
8277,2013-06-30,233031,Regions,1635805,323965,75291758,0.86,2.18,2.52,1.05,Peers,2013Q2
