Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2014 11:59:59 PM	5751	0	14559	97770	0	0	8276	120996	0	0	6716	6716	0	127712	127712	14950																													0	
3/31/2014 11:59:59 PM	6039	0	9487	50643	0	608	4431	57526	0	0	1835	1835	0	59361	58753	2452																													0	
3/31/2014 11:59:59 PM	6141	0	814	15523	0	82	5818	29370	0	0	0	0	0	29370	29289	8030																													0	
3/31/2014 11:59:59 PM	6329	0	42930	311451	0	2631	11758	358576	0	105	5683	5788	0	364364	361733	35367																													0	
3/31/2014 11:59:59 PM	7009	0	18711	254130	58	0	73903	329887	0	42	0	42	0	329928	329929	1854																													0	
3/31/2014 11:59:59 PM	7045	0	13591	50987	0	28	15896	85822	0	0	96	96	0	85918	85891	18940																													0	
3/31/2014 11:59:59 PM	7072	0	4328	61308	0	224	3548	107613	0	8751	886	9637	0	117250	117026	42757																													0	
3/31/2014 11:59:59 PM	7157	0	1784	15314	0	0	4265	24003	0	0	1361	1361	0	25364	25364	4424																													0	
3/31/2014 11:59:59 PM	7456	0	10084	46689	0	0	1783	49952	0	0	38	38	0	49990	49990	1480																													0	
3/31/2014 11:59:59 PM	7634	0	7327	35909	0	522	1542	42881	0	0	193	193	0	43074	42552	5430																													0	
3/31/2014 11:59:59 PM	8033	0	17100	104557	0	0	3689	135766	926	0	424	1350	0	137116	137116	27520																													0	
3/31/2014 11:59:59 PM	8462	0	9217	38561	0	0	23930	65509	0	0	513	513	0	66022	66022	3018																													0	
3/31/2014 11:59:59 PM	8631	0	4888	24093	0	0	4350	34683	0	0	1388	1388	0	36071	36071	6240																													0	
3/31/2014 11:59:59 PM	9357	0	46005	176512	0	1405	19325	226858	0	0	1570	1570	0	228428	227023	31021																													0	
3/31/2014 11:59:59 PM	9553	0	13667	86208	0	0	9249	99949	0	0	1002	1002	0	100951	100951	4492																													0	
3/31/2014 11:59:59 PM	9807	0	202386	1421773	413	35666	52105	1738875	0	78706	159781	238487	0	1977362	1941696	264997																													0	
3/31/2014 11:59:59 PM	9955	0	23830	64197	0	443	6060	72673	0	0	3027	3027	0	75700	75257	2416																													0	
3/31/2014 11:59:59 PM	10250	0	27731	212863	0	3438	14803	247804	0	0	1160	1160	0	248964	245526	20138																													0	
3/31/2014 11:59:59 PM	10849	0	58674	127353	0	123	7262	152831	0	0	2311	2311	0	155142	155019	18216																													0	
3/31/2014 11:59:59 PM	11145	0	6507	91477	0	113	5001	130168	0	0	89	89	0	130257	130144	33690																													0	
